year,ward,dept,program,category,location,desc,blocks,unit_count,est_cost
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON HARRISON FROM S STATE ST (0 E) TO S WABASH AV (44 E),,,,$400.00
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N WESTERN AV (2400 W),,,,"$2,000.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S),,,,"$18,000.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON S WOOD ST FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S),,,3.00,"$1,200.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),,,,"$4,800.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON HOYNE FROM W MADISON ST (0 N) TO W MONROE ST (100 S),,,,"$1,400.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV (2000 W),,,,"$6,400.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,1319 S STATE ST,,,,"$21,000.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,547 S CLARK ST,,,,$350.00
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON LAKE FROM N MOZART ST (2832 W) TO N SACRAMENTO BV (3000 W),,,,"$8,000.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S CLAREMONT AV (2332 W),,,20.00,"$8,000.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W),,,,"$12,000.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),,,,"$2,000.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON SEELEY FROM W JACKSON BV (300 S) TO W VAN BUREN ST (400 S),,,,"$1,400.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON MONROE FROM S RACINE AV (1200 W) TO S GREEN ST (832 W),,,,"$5,250.00"
2012,2,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON VAN BUREN FROM S GREEN ST (832 W) TO W TILDEN ST (1124 W),,,,"$5,600.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W),,,,"$2,400.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),,,,$400.00
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S),,,4.00,"$2,750.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S),,,,$200.00
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S),,,,"$25,650.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S DAMEN AV (2000 W),,,,"$11,000.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,W ROOSEVELT RD & S WOOD ST,,,,"$3,500.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON STATE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S),,,,"$8,000.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E HARRISON ST (600 S),,,,"$19,500.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,ON ASHLAND FROM W MADISON ST (0 N) TO W ROOSEVELT RD (1200 S),,,,"$5,450.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,W ROOSEVELT RD & S PAULINA ST,,,,"$3,500.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,W ROOSEVELT RD & S ASHLAND W AVE,,,,"$3,500.00"
2012,2,CDOT: DEO,Traffic Equipment Painting,Lighting,"ON JEFFERSON FROM W MADISON ST (0 N) TO W ADAMS ST (200 S) $1,319,397.00 $603.00",,,,"$1,550.00"
2012,3,CDOT: COMM,Alley Apron Menu,Streets/CDOT,ON S MICHIGAN AVE FROM 4944 S TO E 49 ST (4900 S),,,1.00,"$8,666.00"
2012,3,CDOT: COMM,Concrete Alley Menu,Streets/CDOT,1503 S State,,,,"$216,149.00"
2012,3,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AV (44 E),,,0.00,"$51,363.00"
2012,3,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON S PRINCETON AVE FROM W 48TH PL (4850 S) TO W 50TH ST (5000 S),,,0.00,"$23,977.00"
2012,3,CDOT: COMM,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Streets/CDOT,S STATE ST & W 23RD ST,,,1.00,$550.00
2012,3,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,"4501-33 & 4524-50 S McDowell, & 1400 W 46th St",Tree planting,,,"$14,166.00"
2012,3,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,4434 S DR MARTIN LUTHER KING JR DR,,,2.00,$413.00
2012,3,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,4700 S LASALLE ST,Decorative Plaza Planter Fencing,,,"$3,370.00"
2012,3,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,E 43RD ST & S DR MARTIN LUTHER KING JR DR E,two decorative baskets,,,$680.00
2012,3,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,8 decorative garbage cans,decorative garbage cans,,,"$11,450.00"
2012,3,CDOT: COMM,Pavement Markings Menu,Streets/CDOT,W 46TH PL & S SHIELDS AVE,,,0.00,$300.00
2012,3,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S),,,0.00,"$11,175.00"
2012,3,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON W SWANN ST FROM S PRINCETON AV (300 W) TO S SHIELDS AV (328 W),,,0.00,$643.00
2012,3,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S) TO E 45 ST (4500 S),,,0.00,"$8,979.00"
2012,3,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON E 50TH PL FROM S WASHINGTON PK (432 E) TO S VINCENNES AV (480 E),,,0.00,"$30,507.00"
2012,3,CDOT: COMM,Sidewalk Menu,Streets/CDOT,ON S SHIELDS AVE FROM W SWANN ST (4642 S) TO W 47 ST (4700 S),,,0.00,"$22,651.00"
2012,3,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON E 42ND ST FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E),,,2.00,"$94,958.00"
2012,3,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),,,,"$6,790.00"
2012,3,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41 ST (4100 S),,,3.00,"$135,801.00"
2012,3,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S PRINCETON AVE FROM W ROOT ST (4134 S) TO W 43 ST (4300 S),,,2.00,"$176,667.00"
2012,3,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S PRAIRIE AVE FROM E 33 BV (3300 S) TO E 35 ST (3500 S),,,2.00,"$106,066.00"
2012,3,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S PRAIRIE AVE FROM E 48 ST (4800 S) TO E 51 ST (5100 S),,,3.00,"$188,861.00"
