ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
15,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 61ST ST (6100 S) TO W 62ND ST (6200 S),2014,5633,13440,S SACRAMENTO AVE and W 61ST ST,S SACRAMENTO AVE and AVE FROM W 61ST ST TO W 62ND ST,41.78268530500003,-87.69836750699994,census,NA,NA,google,"c(-87.6983675069999, 41.782685305)",16013,13,2095511.22107,6308.41339342,16
17,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 63RD ST (6300 S) TO W 64TH ST (6400 S),2015,3700,15143,S SACRAMENTO AVE and W 63RD ST,S SACRAMENTO AVE and AVE FROM W 63RD ST TO W 64TH ST,41.77904730700004,-87.69826298999999,census,NA,NA,google,"c(-87.69826299, 41.779047307)",16013,13,2095511.22107,6308.41339342,16
17,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 63RD ST (6300 S) TO W 64THST (6400 S),2021,2350,15360,S SACRAMENTO AVE and W 63RD ST,S SACRAMENTO AVE and AVE FROM W 63RD ST TO W 64THST,41.77904730700004,-87.69826298999999,census,NA,NA,google,"c(-87.69826299, 41.779047307)",16013,13,2095511.22107,6308.41339342,16
17,Street Resurfacing Menu (1-5),ON S SACRAMENTO AVE FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),2018,47705.77,15255,S SACRAMENTO AVE and W 65TH ST,S SACRAMENTO AVE and AVE FROM W 65TH ST TO W 66TH ST,41.77540127000003,-87.69817053199995,census,NA,NA,google,"c(-87.6981705319999, 41.77540127)",17007,7,1986714.4415,5980.93796611,17
18,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S),2014,55801,15909,S SACRAMENTO AVE and W 71ST ST,S SACRAMENTO AVE and AVE FROM W 71ST ST TO W 72ND ST,41.76445913600003,-87.69791727899997,census,NA,NA,google,"c(-87.697917279, 41.764459136)",17001,1,16356581.0565,18602.0994965,17
18,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 82ND ST (8200 S) TO W 83RD ST (8300 S),2020,63397.66,16122,S SACRAMENTO AVE and W 82ND ST,S SACRAMENTO AVE and AVE FROM W 82ND ST TO W 83RD ST,41.74440793800005,-87.69735851499996,census,NA,NA,google,"c(-87.697358515, 41.7444079380001)",18008,8,1993802.3412,6658.00559111,18
12,Street Light Residential,ON S SACRAMENTO AVE FROM W CERMAK RD (2200 S) TO W 24 ST (2400 S),2013,144000,9862,S SACRAMENTO AVE and W CERMAK RD,S SACRAMENTO AVE and AVE FROM W CERMAK RD TO W 24th ST,41.8518312,-87.7003342,google,NA,NA,google,"c(-87.7003342, 41.8518312)",12007,7,4694691.70793,11733.5155273,12
12,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W PERSHING RD (3900 S) TO W 40TH ST (4000 S),2018,3700,10146,S SACRAMENTO AVE and W PERSHING RD,S SACRAMENTO AVE and AVE FROM W PERSHING RD TO W 40TH ST,41.8226781,-87.6995459,google,NA,NA,google,"c(-87.6995459, 41.8226781)",12020,20,3192216.46868,9135.05150789,12
28,Street Light Pole Painting,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,6300,24541,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census,NA,NA,google,"c(-87.700920135, 41.8710102700001)",28035,35,3577416.36439,7572.34080414,28
28,Street Light Upgrade,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,8400,24548,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census,NA,NA,google,"c(-87.700920135, 41.8710102700001)",28035,35,3577416.36439,7572.34080414,28
28,Traffic Signal Pole,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,2950,24550,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census,NA,NA,google,"c(-87.700920135, 41.8710102700001)",28035,35,3577416.36439,7572.34080414,28
28,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W TAYLOR ST (1000 S) TO W FILLMORE ST (1100 S),2020,47167.22,24756,S SACRAMENTO AVE and W TAYLOR ST,S SACRAMENTO AVE and AVE FROM W TAYLOR ST TO W FILLMORE ST,41.8692,-87.7008702,google,NA,NA,google,"c(-87.7008702, 41.8692)",28035,35,3577416.36439,7572.34080414,28
3,Sidewalk Menu,ON S SHIELDS AVE FROM W 43RD ST (4300 S) TO W 43RD PL (4330 S),2019,35011.54,3026,S SHIELDS AVE and W 43RD ST,S SHIELDS AVE and W 43RD PL,41.81546346700003,-87.63469249099995,census,41.81546346700003,-87.63469249099995,census,"c(-87.634692491, 41.815463467)",03005,5,10194217.1038,17865.3282639,3
20,Sidewalk Menu,ON S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR FROM E 58 ST (5800 S),2013,340,17246,6202 S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR,S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR and W 62ND ST ON DR MARTIN LUTHER KING JR DR FROM E 58th ST,41.780797859000074,-87.63507270699995,census,NA,NA,google,"c(-87.6350727069999, 41.7807978590001)",20027,27,3290943.81364,8368.65353422,20
11,Street Speed Hump Menu,ON S THROOP ST FROM W 31ST ST (3100 S) TO W 31ST PL (3130 S),2021,2350,9309,S THROOP ST and W 31ST ST,S THROOP ST and W 31ST PL,41.8369664,-87.6584015,google,41.8369664,-87.6584015,google,"c(-87.6584015, 41.8369664)",11011,11,3402542.77964,8282.9491388,11
11,Sidewalk Menu,ON S UNION AVE FROM W 38 ST (3800 S) TO W 38 ST (3800 S),2012,9062,8826,S UNION AVE and W 38th ST,S UNION AVE and W 38th ST,41.8253099,-87.643529,google,41.8253099,-87.643529,google,"c(-87.643529, 41.8253099)",11024,24,1986560.59038,5989.48511026,11
11,Sidewalk Menu,ON S UNION AVE FROM W 44 ST (4400 S) TO W 44 ST (4400 S),2012,1449,8823,S UNION AVE and W 44th ST,S UNION AVE and W 44th ST,41.8143827,-87.6432546,google,41.8143827,-87.6432546,google,"c(-87.6432546, 41.8143827)",11013,13,3078890.66583,7980.45465762,11
20,Street Speed Hump Menu,ON S UNION AVE FROM W 54TH ST (5400 S) TO W 54TH PL (5430 S),2014,1850,17299,S UNION AVE and W 54TH ST,S UNION AVE and W 54TH PL,41.7952556,-87.6427609,google,41.7952556,-87.6427609,google,"c(-87.6427609, 41.7952556)",20006,6,3075353.30881,7338.94970919,20
16,Street Resurfacing Menu,ON S UNION AVE FROM W 61 ST (6100 S) TO W 61 PL (6132 S),2013,64844,14332,S UNION AVE and W 61st ST,S UNION AVE and W 61st PL,41.7825211,-87.6425562,google,41.7825211,-87.6425562,google,"c(-87.6425562, 41.7825211)",16025,25,3520236.35256,9513.16614617,16
3,Sidewalk Menu,ON S WABASH AVE FROM E 22ND ST TO E 23RD ST,2015,1,2870,S WABASH AVE and E 22ND ST,S WABASH AVE and E 23RD ST,NA,NA,google,41.851095,-87.6254599,google,"c(-87.6254599, 41.851095)",03017,17,3053529.54496,9675.45419431,3
2,Sidewalk Menu,ON S WABASH AVE FROM E 24 ST (2400 S) TO E 24 PL (2432 S),2012,29712,1944,S WABASH AVE and E 24th ST,S WABASH AVE and E 24th PL,41.848172,-87.6253715,google,41.848172,-87.6253715,google,"c(-87.6253715, 41.848172)",03017,17,3053529.54496,9675.45419431,3
