ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
21,Sidewalk Menu,ON W 95TH ST FROM S RACINE AV (1200 W) TO S RACINE AV (1200 W),2012,57400,17922,W 95TH ST and S RACINE AV,W 95TH ST and S RACINE AV,41.721392,-87.6529481,google,41.721392,-87.6529481,google,"c(-87.6529481, 41.721392)",21049,49,2220948.3284,7679.81395726,21
44,Curb & Gutter Menu,ON W ALDINE AVE FROM N BROADWAY (600 W) TO N BROADWAY (600 W),2012,37611,38352,W ALDINE AVE and N BROADWAY,W ALDINE AVE and N BROADWAY,41.9418609,-87.6444556,google,41.9418609,-87.6444556,google,"c(-87.6444556, 41.9418609)",44019,19,524560.556092,3610.40032088,44
36,Sidewalk Menu,ON W BELDEN AVE FROM N NORMANDY AV (6650 W) TO N NORMANDY AV (6650 W),2012,46667,31713,W BELDEN AVE and N NORMANDY AV,W BELDEN AVE and N NORMANDY AV,41.9211924,-87.7923374,google,41.9211924,-87.7923374,google,"c(-87.7923374, 41.9211924)",29030,30,6842449.74189,19702.5251892,29
48,Street Light Pole Painting,ON W BRYN MAWR AVE FROM N BRYN MAWR AV LSD ER (930 W) TO N LSD BRYN MAWR AV XR (900 W),2014,1500,41766,W BRYN MAWR AVE and N BRYN MAWR AV LSD ER,W BRYN MAWR AVE and N LSD BRYN MAWR AV XR,NA,NA,google,41.9829975,-87.7496357,google,"c(-87.7496357, 41.9829975)",39043,43,13935294.6923,20049.9078232,39
44,Sidewalk Menu,ON W DIVERSEY PKWY FROM N CLARK ST (637 W) TO N CLARK ST (637 W),2012,11995,38386,W DIVERSEY PKWY and N CLARK ST,W DIVERSEY PKWY and N CLARK ST,41.9327926,-87.6449142,google,41.9327926,-87.6449142,google,"c(-87.6449142, 41.9327926)",43042,42,844897.941939,5020.8204438,43
41,Street Resurfacing Menu,ON W ESTES AVE FROM N MERRIMAC AV (6233 W) TO N MERRIMAC AV (6233 W),2012,15141,35869,W ESTES AVE and N MERRIMAC AV,W ESTES AVE and N MERRIMAC AV,42.01013857200007,-87.78313085099995,census,42.01013857200007,-87.78313085099995,census,"c(-87.783130851, 42.0101385720001)",41039,39,4168229.26859,9233.02304592,41
40,Curb & Gutter Menu,ON W FARRAGUT AVE FROM N HONORE ST (1820 W) TO N HONORE ST (1820 W),2012,9241,35028,W FARRAGUT AVE and N HONORE ST,W FARRAGUT AVE and N HONORE ST,41.97698656100005,-87.67544610899995,census,41.97698656100005,-87.67544610899995,census,"c(-87.6754461089999, 41.976986561)",40032,32,17610579.8051,20523.4295089,40
40,Street Resurfacing Menu,ON W FARRAGUT AVE FROM N LEAVITT ST (2200 W) TO N DAMEN AV (2000 W) ON N PAULINA ST FROM W THORNDALE AV (5840 N) TO W,2013,75103,35094,W FARRAGUT AVE FROM N LEAVITT ST (2200 W) TO N DAMEN AV (2000 W) ON N PAULINA ST and N LEAVITT ST TO N DAMEN AV ON N PAULINA ST FROM W THORNDALE AV,W FARRAGUT AVE FROM N LEAVITT ST (2200 W) TO N DAMEN AV (2000 W) ON N PAULINA ST and N DAMEN AV ON N PAULINA ST FROM W THORNDALE AV TO W,41.988576,-87.6996448,google,NA,NA,google,"c(-87.6996448, 41.988576)",40029,29,4968527.21915,9140.94736392,40
27,Street Resurfacing Menu,ON W FULTON BLVD FROM N SACRAMENTO BLVD (3000 W) TO N KEDZIE AVE (3200 W),2022,143661.63,23983,W FULTON BLVD and N SACRAMENTO BLVD,W FULTON BLVD and BLVD TO N KEDZIE AVE,41.8864977,-87.7013495,google,NA,NA,google,"c(-87.7013495, 41.8864977)",27036,36,9993585.15033,15323.1615533,27
27,Street Light Residential,ON W FULTON BLVD FROM N SACRAMENTO BV (3000 W) TO N KEDZIE AV (3200 W),2013,16000,23619,W FULTON BLVD and N SACRAMENTO BV,W FULTON BLVD and BV TO N KEDZIE AV,41.8864977,-87.7013495,google,NA,NA,google,"c(-87.7013495, 41.8864977)",27036,36,9993585.15033,15323.1615533,27
35,Sidewalk Menu,ON W LOGAN SQ N BLVD FROM N TROY ST (3128 W) TO N TROY ST (3128 W),2013,18542,30859,W LOGAN SQ N BLVD and N TROY ST,W LOGAN SQ N BLVD and N TROY ST,41.9287718,-87.7061011,google,41.9287718,-87.7061011,google,"c(-87.7061011, 41.9287718)",32028,28,1367536.854,4843.44848707,32
44,Curb & Gutter Menu,ON W MELROSE ST FROM N BROADWAY (600 W) TO N BROADWAY (600 W),2012,34406,38348,W MELROSE ST and N BROADWAY,W MELROSE ST and N BROADWAY,41.941137205000075,-87.64443267799999,census,41.941137205000075,-87.64443267799999,census,"c(-87.644432678, 41.9411372050001)",44019,19,524560.556092,3610.40032088,44
44,Street Bump Outs Menu,ON W OAKDALE AVE FROM N HALSTED ST (800 W) TO N HALSTED ST (800 W),2013,13414,38459,W OAKDALE AVE and N HALSTED ST,W OAKDALE AVE and N HALSTED ST,41.9354421,-87.6491154,google,41.9354421,-87.6491154,google,"c(-87.6491154, 41.9354421)",44029,29,1313419.80394,4627.20755106,44
26,Curb & Gutter Menu,ON W REFECTORY DR FROM W HUMBOLT DR TO W PARKING LOT DR,2012,78593,22651,W REFECTORY DR and W HUMBOLT DR,W REFECTORY DR and W PARKING LOT DR,41.9011913,-87.7022585,google,NA,NA,google,"c(-87.7022585, 41.9011913)",26027,27,9955203.69684,13641.4977359,26
44,Sidewalk Menu,ON W SURF ST FROM N PINE GROVE AV (450 W) TO N PINE GROVE AV (500 W),2012,16476,38376,W SURF ST and N PINE GROVE AV,W SURF ST and N PINE GROVE AV,41.9342827,-87.6417733,google,41.9342827,-87.6417733,google,"c(-87.6417733, 41.9342827)",44041,41,638124.331571,3702.83416748,44
40,Street Resurfacing Menu,ON W THOME AVE FROM N RAVENSWOOD AVE E (1781 W) TO N RAVENSWOOD AVE W (1800 W),2020,11694.93,35390,W THOME AVE and N RAVENSWOOD AVE E,W THOME AVE and N RAVENSWOOD AVE W,41.99556246000003,-87.67493156299997,census,41.99556246000003,-87.67493156299997,census,"c(-87.674931563, 41.99556246)",40037,37,2028534.74645,5999.44561632,40
42,Street Resurfacing Menu,ON W WACKER DR FROM N COLUMBUS DR (300 E) TO N LSD WACKER DR XR (490 E),2014,147761,36740,W WACKER DR and N COLUMBUS DR,W WACKER DR and N LSD WACKER DR XR,41.8878169,-87.6204934,google,41.8878169,-87.6204934,google,"c(-87.6204934, 41.8878169)",42040,40,1650009.15346,6709.1442983,42
47,Sidewalk Menu,ON W WAVELAND AVE FROM N WOLCOTT AV (1900 W) TO N WOLCOTT AV (1900 W),2012,1972,40726,W WAVELAND AVE and N WOLCOTT AV,W WAVELAND AVE and N WOLCOTT AV,41.9487178,-87.6761809,google,41.9487178,-87.6761809,google,"c(-87.6761809, 41.9487178)",47027,27,1786114.03812,5343.60022217,47
32,Street Bump Outs Menu,ON W WEBSTER AVE FROM N DOMINICK ST (1533 W) TO N DOMINICK ST (1533 W),2012,43788,28199,W WEBSTER AVE and N DOMINICK ST,W WEBSTER AVE and N DOMINICK ST,41.92160055300008,-87.66649783999998,census,41.92160055300008,-87.66649783999998,census,"c(-87.66649784, 41.9216005530001)",02020,20,12160989.6846,21408.461863,2
47,Alley Apron Menu,ON W WILSON AVE FROM 1616 W TO N ASHLAND AV (1600 W),2013,8647,40744,1616 W WILSON AVE,W WILSON AVE and N ASHLAND AV,NA,NA,census,41.9652248,-87.6694196,google,"c(-87.6694196, 41.9652248)",47034,34,1283001.41137,6134.6286587,47
47,Alley Apron Menu,ON W WILSON AVE FROM 1729 W TO N PAULINA ST (1700 W),2015,8354,40876,1729 W WILSON AVE,W WILSON AVE and N PAULINA ST,NA,NA,census,41.965207,-87.6709217,google,"c(-87.6709217, 41.965207)",47034,34,1283001.41137,6134.6286587,47
