ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
41,Curb & Gutter Menu,ON N MINNEHAHA AVE FROM N HIAWATHA AV (6482 N) TO N HIAWATHA AV (6482 N),2012,9327,35844,N MINNEHAHA AVE and N HIAWATHA AV,N MINNEHAHA AVE and N HIAWATHA AV,41.99889896600007,-87.76088479499998,census,41.99889896600007,-87.76088479499998,census,"c(-87.760884795, 41.9988989660001)",41,19,41019
41,Street Resurfacing Menu,ON N NEWARK AVE FROM W THORNDALE AVE (5900 N) TO N AVONDALE AVE (6000 N) ON W RASCHER AVE FROM W TALCOTT AVE (6740 W) TO N,2014,73783,35923,N NEWARK AVE FROM W THORNDALE AVE (5900 N) TO N AVONDALE AVE (6000 N) ON W RASCHER AVE and W THORNDALE AVE TO N AVONDALE AVE ON W RASCHER AVE FROM W TALCOTT AVE,N NEWARK AVE FROM W THORNDALE AVE (5900 N) TO N AVONDALE AVE (6000 N) ON W RASCHER AVE and N AVONDALE AVE ON W RASCHER AVE FROM W TALCOTT AVE TO N,41.9864852,-87.8083082,google,41.9864852,-87.8083082,google,"c(-87.8083082, 41.9864852)",41,43,41043
38,Sidewalk Menu,ON N OAK PARK AVE FROM W ADDISON ST (3600 N) TO W ADDISON ST (3600 N),2012,10190,33505,N OAK PARK AVE and W ADDISON ST,N OAK PARK AVE and W ADDISON ST,41.94548270300004,-87.79598645099998,census,41.94548270300004,-87.79598645099998,census,"c(-87.795986451, 41.945482703)",38,8,38008
41,Street Resurfacing Menu,ON N PANAMA AVE FROM W GREGORY ST (5520 N) TO W GREGORY ST (5520 N),2012,46805,35865,N PANAMA AVE and W GREGORY ST,N PANAMA AVE and W GREGORY ST,41.980250709000074,-87.82930327699995,census,41.980250709000074,-87.82930327699995,census,"c(-87.829303277, 41.9802507090001)",41,32,41032
26,Street Speed Hump Menu,ON N SACRAMENTO AVE FROM W CORTEZ ST (1050 N) TO W THOMAS ST (1100 N),2021,1175,23131,N SACRAMENTO AVE and W CORTEZ ST,N SACRAMENTO AVE and AVE FROM W CORTEZ ST TO W THOMAS ST,41.9004559,-87.7017476,google,NA,NA,google,"c(-87.7017476, 41.9004559)",26,27,26027
44,Sidewalk Menu,ON N SOUTHPORT AVE FROM W BELMONT AV (3200 N) TO W BELMONT AV (3200 N),2012,15604,38379,N SOUTHPORT AVE and W BELMONT AV,N SOUTHPORT AVE and W BELMONT AV,41.93976642400003,-87.66382059499995,census,41.93976642400003,-87.66382059499995,census,"c(-87.6638205949999, 41.939766424)",44,9,44009
44,Street Bump Outs Menu,ON N SOUTHPORT AVE FROM W EDDY ST (3532 N) TO W EDDY ST (3532 N),2013,19202,38460,N SOUTHPORT AVE and W EDDY ST,N SOUTHPORT AVE and W EDDY ST,41.94614598500005,-87.66398942999996,census,41.94614598500005,-87.66398942999996,census,"c(-87.66398943, 41.9461459850001)",44,11,44011
42,Street Resurfacing Menu,ON N STATE ST FROM W KINZIE ST (400 N) TO W KINZIE ST (400 N),2012,44252,36648,N STATE ST and W KINZIE ST,N STATE ST and W KINZIE ST,41.88925251900008,-87.62801947799994,census,41.88925251900008,-87.62801947799994,census,"c(-87.6280194779999, 41.8892525190001)",42,55,42055
42,Sidewalk Menu,ON N WELLS ST FROM W ILLINOIS ST (500 N) TO W ILLINOIS ST (500 N),2012,15359,36640,N WELLS ST and W ILLINOIS ST,N WELLS ST and W ILLINOIS ST,41.89078811600007,-87.63404528899997,census,41.89078811600007,-87.63404528899997,census,"c(-87.634045289, 41.8907881160001)",42,46,42046
41,Street Resurfacing Menu,ON N WESLEY TR FROM W FOSTER AV (5200 N) TO CITY LIMITS (0 N),2012,6950,35861,N WESLEY TR and W FOSTER AV,N WESLEY TR and CITY LIMITS,41.97326816500003,-87.86406726299998,census,NA,NA,google,"c(-87.864067263, 41.973268165)",41,27,41027
