ward,type,location,year,est_cost,id,address,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
10,Sidewalk Menu,10001 S COMMERCIAL AVE,2018,4838,8274,10001 S COMMERCIAL AVE,census,"c(-87.550947881, 41.713261333)",10,13,10013
10,Sidewalk Menu,10005 S AVENUE N,2017,2062.82,8247,10005 S AVENUE N,google,"c(-87.5384161, 41.7136689)",10,26,10026
10,Sidewalk Menu,10005 S AVENUE N,2018,2217,8289,10005 S AVENUE N,google,"c(-87.5384161, 41.7136689)",10,26,10026
5,Sidewalk Menu,1001 E 53RD ST,2019,14490,4427,1001 E 53RD ST,google,"c(-87.6011175, 41.7992234)",5,3,05003
37,Alley Resurfacing Menu (1-1),1001 N LECLAIRE AVE,2019,18077.875,32926,1001 N LECLAIRE AVE,census,"c(-87.753234827, 41.8987575520001)",37,20,37020
37,Alley Speed Hump Menu,1001 N LECLAIRE AVE,2019,700,32940,1001 N LECLAIRE AVE,census,"c(-87.753234827, 41.8987575520001)",37,20,37020
27,Sidewalk Menu,1001 N MILWAUKEE AVE,2015,10715,23701,1001 N MILWAUKEE AVE,google,"c(-87.6610042, 41.9001325)",27,10,27010
43,Miscellaneous CDOT Projects,1001 W ALTGELD ST,2018,616.190476190476,37944,1001 W ALTGELD ST,census,"c(-87.653713705, 41.927189577)",43,2,43002
44,Miscellaneous CDOT Projects,1001 W WELLINGTON AVE,2019,582.5,38786,1001 W WELLINGTON AVE,census,"c(-87.654028636, 41.9362668590001)",44,27,44027
34,Sidewalk Menu,10011 S CHARLES ST,2019,4967.22,30283,10011 S CHARLES ST,census,"c(-87.660373082, 41.71102032)",21,20,21020
7,Bollard Menu,10015 S PAXTON AV,2007,714,5157,10015 S PAXTON AV,census,"c(-87.569402872, 41.7127326930001)",7,37,07037
25,Sidewalk Menu,1002 W 18TH ST,2020,23607.86,22188,1002 W 18TH ST,google,"c(-87.6516654, 41.8582181)",25,29,25029
7,Sidewalk Menu,10031 S MERRILL AVE,2022,1673.71,5773,10031 S MERRILL AVE,google,"c(-87.5703043, 41.7124442)",7,37,07037
10,Sidewalk Menu,10035 S AVENUE N,2018,8642,8282,10035 S AVENUE N,google,"c(-87.5386345, 41.7128379)",10,26,10026
26,Sidewalk Menu,1004 N KEDZIE AVE,2019,24507.17,22988,1004 N KEDZIE AVE,census,"c(-87.706683802, 41.8993782640001)",26,10,26010
10,Sidewalk Menu,10043 S AVENUE N,2018,8642,8282,10043 S AVENUE N,google,"c(-87.5386437, 41.7126336)",10,26,10026
10,Sidewalk Menu,10047 S AVENUE N,2018,8642,8282,10047 S AVENUE N,google,"c(-87.5386628, 41.7125105)",10,26,10026
27,Concrete Alley Menu,1008 N LARRABEE ST,2017,88000,23798,1008 N LARRABEE ST,census,"c(-87.643110279, 41.9007866530001)",27,12,27012
21,Sidewalk Menu,1008 W 89TH ST,2017,21561.9,18148,1008 W 89TH ST,google,"c(-87.6487766, 41.7324531)",21,10,21010
43,Curb & Gutter Menu,1009 W ARMITAGE AVE,2017,1500.87,37877,1009 W ARMITAGE AVE,google,"c(-87.6538137, 41.9178794)",32,51,32051
21,Bollard Menu,101 W 83RD ST,2022,4491.67,18457,101 W 83RD ST,census,"c(-87.62105626, 41.743704592)",6,37,06037
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,101 W IDA B WELLS DR,2021,27410,3763,101 W IDA B WELLS DR,google,"c(-87.6310683, 41.8753788)",2,49,02049
