ward,type,location,year,est_cost,from_intersection,to_intersection,lat,long,query
17,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 63RD ST (6300 S) TO W 64TH ST (6400 S),2015,3700,S SACRAMENTO AVE and W 63RD ST,S SACRAMENTO AVE and AVE FROM W 63RD ST  TO W 64TH ST,41.77904730700004,-87.69826298999999,census
17,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 63RD ST (6300 S) TO W 64THST (6400 S),2021,2350,S SACRAMENTO AVE and W 63RD ST,S SACRAMENTO AVE and AVE FROM W 63RD ST  TO W 64THST,41.77904730700004,-87.69826298999999,census
17,Street Resurfacing Menu (1-5),ON S SACRAMENTO AVE FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),2018,47705.77,S SACRAMENTO AVE and W 65TH ST,S SACRAMENTO AVE and AVE FROM W 65TH ST  TO W 66TH ST,41.77540127000003,-87.69817053199995,census
18,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S),2014,55801,S SACRAMENTO AVE and W 71ST ST,S SACRAMENTO AVE and AVE FROM W 71ST ST  TO W 72ND ST,41.76445913600003,-87.69791727899997,census
18,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 82ND ST (8200 S) TO W 83RD ST (8300 S),2020,63397.66,S SACRAMENTO AVE and W 82ND ST,S SACRAMENTO AVE and AVE FROM W 82ND ST  TO W 83RD ST,41.74440793800005,-87.69735851499996,census
12,Street Light Residential,ON S SACRAMENTO AVE FROM W CERMAK RD (2200 S) TO W 24 ST (2400 S),2013,144000,S SACRAMENTO AVE and W CERMAK RD,S SACRAMENTO AVE and AVE FROM W CERMAK RD  TO W 24 ST,41.85183942800006,-87.70036137099999,census
12,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W PERSHING RD (3900 S) TO W 40TH ST (4000 S),2018,3700,S SACRAMENTO AVE and W PERSHING RD,S SACRAMENTO AVE and AVE FROM W PERSHING RD  TO W 40TH ST,41.82269122400004,-87.69953327399998,census
28,Street Light Pole Painting,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,6300,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST  TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census
28,Street Light Upgrade,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,8400,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST  TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census
28,Traffic Signal Pole,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,2950,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST  TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census
28,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W TAYLOR ST (1000 S) TO W FILLMORE ST (1100 S),2020,47167.22,S SACRAMENTO AVE and W TAYLOR ST,S SACRAMENTO AVE and AVE FROM W TAYLOR ST  TO W FILLMORE ST,41.86918926100003,-87.70086787699995,census
20,Sidewalk Menu,ON S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR FROM E 58 ST (5800 S),2013,340,6202 S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR,S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR and W 62ND ST  ON DR MARTIN LUTHER KING JR DR FROM E 58 ST,41.780797859000074,-87.63507270699995,census
19,Street Resurfacing Menu (1-5),ON S WASHTENAW AVE FROM W 101ST ST (10100 S) TO W MONSIGNOR MCELLIGOTT AVE (10200 S),2020,55763.39,S WASHTENAW AVE and W 101ST ST,S WASHTENAW AVE and W MONSIGNOR MCELLIGOTT AVE,41.7099552,-87.6891298,google
12,Street Light Residential,ON SACRAMENTO FROM W 24 ST (2400 S) TO W 26 ST (2600 S),2012,144000,SACRAMENTO and W 24 ST,SACRAMENTO and FROM W 24 ST  TO W 26 ST,41.848205449000034,-87.70024881399996,census
14,Sidewalk Menu,ON SACRAMENTO FROM W 51 ST (5100 S) TO W 52 ST (5200 S),2012,2621,SACRAMENTO and W 51 ST,SACRAMENTO and FROM W 51 ST  TO W 52 ST,41.8006992,-87.712764,google
14,Sidewalk Menu,ON SACRAMENTO FROM W 54 ST (5400 S) TO W 55 ST (5500 S),2012,1043,SACRAMENTO and W 54 ST,SACRAMENTO and FROM W 54 ST  TO W 55 ST,41.7951894,-87.7135952,google
3,Street Resurfacing Menu,ON W 14TH ST FROM S MICHIGAN AVE (100 E) TO S INDIANA AVE (200 E),2017,20480.15,W 14TH ST and S MICHIGAN AVE,W 14TH ST and S INDIANA AVE,41.8167082,-87.62302,google
12,Street Resurfacing Menu (1-5),ON W 37TH PL FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2016,81723.36,W 37TH PL and S SACRAMENTO AVE,W 37TH PL and AVE  TO S KEDZIE AVE,41.8253565,-87.6995719,google
14,Sidewalk Menu,ON W 53RD PL FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),2012,15780,W 53RD PL and S SACRAMENTO AV,W 53RD PL and AV  TO S ALBANY AV,41.7963308,-87.6987422,google
14,Sidewalk Menu,ON W 53RD PL FROM S SACRAMENTO AVE (3000 W) TO S ALBANY AVE (3100 W),2017,26067.9,W 53RD PL and S SACRAMENTO AVE,W 53RD PL and AVE  TO S ALBANY AVE,41.7963308,-87.6987422,google
14,Sidewalk Menu,ON W 53RD ST FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),2012,10175,W 53RD ST and S SACRAMENTO AV,W 53RD ST and AV  TO S ALBANY AV,41.7963308,-87.6987422,google
14,Street Resurfacing Menu (1-5),ON W 53RD ST FROM S SACRAMENTO AVE (3000 W) TO S CALIFORNIA AVE (2800 W),2017,120627.59,W 53RD ST and S SACRAMENTO AVE,W 53RD ST and AVE  TO S CALIFORNIA AVE,41.7972538,-87.6987754,google
14,Street Speed Hump Menu,ON W 53RD ST FROM S SACRAMENTO AVE (3000 W) TO S WHIPPLE ST (3030 W),2017,1850,W 53RD ST and S SACRAMENTO AVE,W 53RD ST and AVE  TO S WHIPPLE ST,41.7972538,-87.6987754,google
14,Street Speed Hump Menu,ON W 54TH PL FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2017,7400,W 54TH PL and S SACRAMENTO AVE,W 54TH PL and AVE  TO S KEDZIE AVE,41.7945062,-87.698699,google
14,Street Resurfacing Menu,ON W 57TH ST FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2018,152997.23,W 57TH ST and S SACRAMENTO AVE,W 57TH ST and AVE  TO S KEDZIE AVE,41.7899651,-87.6985577,google
27,Street Resurfacing Menu,ON W FULTON BLVD FROM N SACRAMENTO BLVD (3000 W) TO N KEDZIE AVE (3200 W),2022,143661.63,W FULTON BLVD and N SACRAMENTO BLVD,W FULTON BLVD and BLVD  TO N KEDZIE AVE,41.88648281700006,-87.70135830299995,census
27,Street Light Residential,ON W FULTON BLVD FROM N SACRAMENTO BV (3000 W) TO N KEDZIE AV (3200 W),2013,16000,W FULTON BLVD and N SACRAMENTO BV,W FULTON BLVD and BV  TO N KEDZIE AV,41.88648281700006,-87.70135830299995,census
42,Street Resurfacing Menu,ON W GRAND AVE FROM N KINGSBURY ST (508 W) TO N JEFFERSON ST (600 W),2013,49839,W GRAND AVE and N KINGSBURY ST,W GRAND AVE and N JEFFERSON ST,41.8915274,-87.6398675,google
26,Curb & Gutter Menu,ON W REFECTORY DR FROM W HUMBOLT DR TO W PARKING LOT DR,2012,78593,W REFECTORY DR and W HUMBOLT DR,W REFECTORY DR and W PARKING LOT DR,41.9011913,-87.7022585,google
