ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,id,ward_locate,precinct_locate,ward_precinct_locate,geometry,total_length_2003,intersect_length_2003
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,30,15030,"c(-87.6835818214996, -87.6864887062821, 41.7769213465482, 41.7792178868968)",24109.69740792703,351.1592739738579
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,29,15029,"c(-87.6864887062821, -87.688568458212, 41.7792178868968, 41.7808608175514)",24109.69740792703,251.22403186127667
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,27,14027,"c(-87.721080215903, -87.7236083890348, 41.8065281439124, 41.8085228363573)",24109.69740792703,305.12934787856983
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,13,14013,"c(-87.7136774950613, -87.721080215903, 41.8006864698387, 41.8065281439124)",24109.69740792703,893.5557605087279
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,11,14011,"c(-87.7091190591443, -87.7136132125284, 41.7970885264732, 41.800635736121)",24109.69740792703,542.55341207640015
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,23,24,23024,"c(-87.7136132125284, -87.7136774950613, 41.800635736121, 41.8006864698387)",24109.69740792703,7.760026534456902
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,15,14015,"c(-87.7045717537953, -87.7091190591443, 41.7934987862829, 41.7970885264732)",24109.69740792703,549.0312817831211
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,55,17055,"list(c(-87.6513370738234, -87.6524849765024, 41.7514309205069, 41.7523388740127), c(-87.6501003901844, -87.6502220055025, 41.7504527026354, 41.7505489023711))",24109.69740792703,153.4869518387308
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,23,17023,"c(-87.6615160405428, -87.6636867534847, 41.75948085616, 41.7611971657038)",24109.69740792703,262.372786122611
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,16,30,16030,"c(-87.6932892377943, -87.6935518363217, 41.7845896152952, 41.7847970153414)",24109.69740792703,31.71603505922507
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,37,17037,"c(-87.6699232820638, -87.6728632835297, 41.7661274405502, 41.7684512729386)",24109.69740792703,355.27925580326024
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,9,47,09047,"c(-87.6140202496141, -87.614146357162, 41.7218943118947, 41.7219941932683)",24109.69740792703,15.260782915380402
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,21,2,21002,"c(-87.6412262885979, -87.6438918496845, 41.7434320166569, 41.7455410905301)",24109.69740792703,322.3439639999708
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,33,15033,"c(-87.6819090131999, -87.6835818214996, 41.7755996618772, 41.7769213465482)",24109.69740792703,202.09101285932346
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,2,14002,"c(-87.7236083890348, -87.7408068495142, 41.8085228363573, 41.8220874088613)",24109.69740792703,2075.2061327486776
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,32,17032,"c(-87.6636867534847, -87.6660485499191, 41.7611971657038, 41.7630644078316)",24109.69740792703,285.4529928514285
