ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,lat_A,lon_A,lat_B,lon_B,ward_locate,precinct_locate,ward_precinct_locate,geometry
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,14,6,14006,"c(-87.7038215360349, -87.7087152393193, 41.8027510836293, 41.8025817196221)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,23,25,23025,"c(-87.7270852905517, -87.7332030868937, 41.8019440975568, 41.8017310972171)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,23,33,23033,"c(-87.7429851973806, -87.7527570474334, 41.8013898408626, 41.8010481102678)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,14,25,14025,"c(-87.6879625901919, -87.7038215360349, 41.8032985056192, 41.8027510836293)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,14,13,14013,"c(-87.7137480132894, -87.7234164831287, 41.8024073250187, 41.8020716762712)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,14,11,14011,"c(-87.7087152393193, -87.7137480132894, 41.8025817196221, 41.8024073250187)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,14,28,14028,"c(-87.7234164831287, -87.7270852905517, 41.8020716762712, 41.8019440975568)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,14,17,14017,"c(-87.6842832514681, -87.6879625901919, 41.8034251966517, 41.8032985056192)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,16,4,16004,"c(-87.667287, -87.6697098942331, 41.8040089, 41.8039258441479)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,23,17,23017,"c(-87.7332030868937, -87.7356134339103, 41.8017310972171, 41.801647087815)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,16,22,16022,"c(-87.6697098942331, -87.6794572655275, 41.8039258441479, 41.8035911915565)"
