ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,intersect_length,geometry
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17031,31,2390313.41978,7959.48288385,17,193.77619826339313,"c(-87.6683187649069, -87.669922208939, 41.7648590974215, 41.7661265922877)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17032,32,1992926.80058,5981.2541806,17,453.93260839352314,"c(-87.6636849430564, -87.6674407796006, 41.7611957343145, 41.7641650345076)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,23024,24,2586121.14456,6994.82913556,23,8.079733942833174,"c(-87.7136111211098, -87.7136780520348, 41.8006340855084, 41.8006869094185)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,09023,23,2933224.49597,7973.65939069,9,66.32067691500524,"c(-87.6185410225755, -87.6190891277154, 41.7254746344259, 41.7259086788146)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,09024,24,10567207.0559,14818.1974651,9,321.43584502003665,"c(-87.6114894, -87.6141455036557, 41.7198897, 41.7219935172644)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,09050,50,3192507.10756,7930.63110147,9,596.2731638975064,"c(-87.6190891277154, -87.6240173410728, 41.7259086788146, 41.7298109499361)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,09047,47,2077732.29156,6628.31393514,9,531.8898372130309,"c(-87.6141455036557, -87.6185410225755, 41.7219935172644, 41.7254746344259)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,21002,2,4053343.59835,9252.82437204,21,428.16209554298064,"c(-87.6376862161732, -87.6412265490969, 41.7406306930767, 41.7434322227815)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,21004,4,2673438.95691,6964.2432161,21,548.7292657571548,"c(-87.6418395641259, -87.6463773479711, 41.7439172768358, 41.7475075128498)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,21031,31,9936099.27654,14585.0632292,21,543.128619834882,"c(-87.6318218943253, -87.6363122514902, 41.7359893717755, 41.739543354765)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,21044,44,8752281.57583,15804.7107264,21,1063.2504669895347,"list(c(-87.6244063438074, -87.6318218943253, 41.7301189419732, 41.7359893717755), c(-87.6363122514902, -87.6376862161732, 41.739543354765, 41.7406306930767))"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,21045,45,4716285.79259,11867.4674213,21,47.06303764142412,"c(-87.6240173410728, -87.6244063438074, 41.7298109499361, 41.7301189419732)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,21051,51,1427277.68069,5637.45586505,21,191.28448398645332,"c(-87.6463773479711, -87.6479593177279, 41.7475075128498, 41.7487590105492)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,21053,53,4644479.19973,10107.8192479,21,74.13324433049713,"c(-87.6412265490969, -87.6418395641259, 41.7434322227815, 41.7439172768358)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,22012,12,7754813.61929,14066.9551219,22,269.85477808763414,"c(-87.738569991369, -87.7408068496037, 41.8203236499043, 41.8220874089318)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,03018,18,6325469.34238,11538.3338422,3,886.3310539947176,"c(-87.6251031708049, -87.6299494576119, 41.8383214780596, 41.8454278776101)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,03035,35,1963615.24212,7567.85962374,3,259.54394015446724,"c(-87.6187434491073, -87.6201620601557, 41.8289931343552, 41.8310741976271)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,03002,2,1443847.545,5243.18405281,3,361.0223686420318,"c(-87.6132699895027, -87.6152427897906, 41.8209622882148, 41.8238571100725)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,03004,4,3228106.63215,8557.14243219,3,162.69663309419116,"c(-87.6082879631817, -87.6091767909663, 41.8136505121479, 41.8149551214627)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05028,28,2207172.2502,6206.28205393,5,386.8424280751299,"c(-87.5763131966738, -87.5784235193094, 41.7666784639151, 41.7697809970006)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,03007,7,1130559.47537,7973.58770079,3,228.81528798796236,"c(-87.620562337026, -87.6218130913603, 41.8316613651206, 41.8334960225079)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,03038,38,931856.802271,4982.4744697,3,189.78430403373508,"list(c(-87.6183535464901, -87.6187434491073, 41.8284211312086, 41.8289931343552), c(-87.617052018448, -87.6176993580066, 41.826511652578, 41.8274613839208))"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,03041,41,5920928.29193,10299.8331427,3,601.8305288298069,"c(-87.6218130913603, -87.6251031708049, 41.8334960225079, 41.8383214780596)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04011,11,3127425.5615,11089.0377963,4,119.69578028764334,"c(-87.6176993580066, -87.6183535464901, 41.8274613839208, 41.8284211312086)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04012,12,2822516.0013,7840.40926318,4,225.34707998053963,"c(-87.6054912257841, -87.6067221710077, 41.8095451076672, 41.8113521177742)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04015,15,1756317.73397,6759.39356436,4,13.545389093011076,"c(-87.6042628479827, -87.60433683275, 41.8077417517679, 41.8078503705096)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04018,18,1829897.29768,6459.43241953,4,441.96558358737553,"c(-87.6104005358696, -87.6128153557683, 41.8167512193956, 41.8202951318211)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04023,23,1535996.39439,6715.59838181,4,32.96137759749529,"c(-87.599597544487, -87.5997775411171, 41.8008916723902, 41.8011559926594)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04032,32,3593948.87604,9235.87416624,4,83.20258225774869,"c(-87.6128153557683, -87.6132699895027, 41.8202951318211, 41.8209622882148)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04030,30,4713432.62599,9606.8519388,4,331.0600728786447,"c(-87.6152427897906, -87.617052018448, 41.8238571100725, 41.826511652578)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04029,29,2957388.46449,9658.96158419,4,510.61970598860825,"list(c(-87.6091767909663, -87.6104005358696, 41.8149551214627, 41.8167512193956), c(-87.6067221710077, -87.6082879631817, 41.8113521177742, 41.8136505121479))"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04026,26,1457444.90551,6607.21597205,4,436.9601011522716,"list(c(-87.60433683275, -87.6054912257841, 41.8078503705096, 41.8095451076672), c(-87.6030305741104, -87.6042628479827, 41.8059325609639, 41.8077417517679))"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04033,33,2450282.33043,6606.26615608,4,450.2283210516328,"c(-87.6005717135506, -87.6030305741104, 41.8023221843897, 41.8059325609639)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05009,9,1127813.0759,5726.06980726,5,327.1066933938293,"list(c(-87.5997775411171, -87.6005717135506, 41.8011559926594, 41.8023221843897), c(-87.5986054503022, -87.599597544487, 41.7994347642624, 41.8008916723902))"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,04036,36,2764377.88015,7770.80334503,4,73.23015417770151,"c(-87.6201620601557, -87.620562337026, 41.8310741976271, 41.8316613651206)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05021,21,1743407.63087,6840.43885828,5,80.98268541197973,"c(-87.5981632436681, -87.5986054503022, 41.7987853517831, 41.7994347642624)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05003,3,1829044.99772,5767.65955965,5,462.38440803059956,"c(-87.5956385613846, -87.5981632436681, 41.7950773883627, 41.7987853517831)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05006,6,1774885.53955,9353.22991278,5,411.82093637635614,"c(-87.5724819200302, -87.5747281192351, 41.7610449701294, 41.7643479078247)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05014,14,1972461.88469,7292.7022564,5,38.06680655363266,"c(-87.5722743035274, -87.5724819200302, 41.7607396597656, 41.7610449701294)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05027,27,7427976.28201,12315.4928572,5,302.41318370311814,"list(c(-87.5915410188414, -87.5919567653278, 41.7890583573895, 41.7896691208629), c(-87.5931896428053, -87.5944248404434, 41.7914802351914, 41.7932946420244))"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05031,31,1442984.95098,5661.54983924,5,64.7638446679379,"c(-87.5759599135756, -87.5763131966738, 41.766159044596, 41.7666784639151)"
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,7717,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,22242.889582830292,05033,33,1635619.09843,5821.00311686,5,526.715141667758,"c(-87.5864899327117, -87.589364687035, 41.7816368750332, 41.7858609446711)"
