ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
10,Chicago Park District,Mann Park - In-line hockey surface,2010,89500,7936,Mann Park,google,"c(-87.5506832, 41.657262)",10017,17,5669839.90811,11126.4612777,10
1,Chicago Park District,"Maplewood Park,Commerical Park,Dean Park",2007,100000,225,Maplewood Park,google,"c(-87.6912396, 41.911554)",01027,27,1736772.77547,5293.4791248,1
45,Chicago Park District,May Fair Park,2005,100000,38988,May Fair Park,google,"c(-87.7420401, 41.9630974)",39017,17,3463506.71966,8536.85512241,39
47,Chicago Park District,Merryman Playlot,2012,15000,40740,Merryman Park,google,"c(-87.6704853, 41.9499924)",47033,33,1308247.09591,5777.65375646,47
47,Chicago Park District,Merrymen Play Lot,2010,100000,40637,Merrymen Play Lot,google,"c(-87.8111978, 41.8775188)",NA,NA,NA,NA,NA
16,Chicago Park District,Micek Playground,2009,16305,14110,Micek Park,google,"c(-87.6780689, 41.7973302)",16007,7,5077493.63614,10315.2077517,16
16,Chicago Park District,Micek Playground-5311 S.Hamilton,2012,150000,14289,Micek Park,google,"c(-87.6780689, 41.7973302)",16007,7,5077493.63614,10315.2077517,16
16,Chicago Park District,Micek Play Lot- 5311 S. Hamilton,2011,150000,14240,Micek Play Lot- 5311 S. Hamilton,google,"c(-87.6780689, 41.7973302)",16007,7,5077493.63614,10315.2077517,16
26,Schools,Mitchell School - 2233 W. Ohio,2011,20000,22641,Mitchell School,google,"c(-87.6834719, 41.8919313)",26028,28,1666187.09618,6547.1680484300005,26
46,Montrose Beach Fence for Dog Area,Montrose Beach,2017,11000,40114,Montrose Beach,google,"c(-87.6385934, 41.9667449)",NA,NA,NA,NA,NA
41,Chicago Park District,Monument Park,2008,28399,35718,Monument Park,google,"c(-87.817928, 42.001729)",41007,7,3901972.41682,9156.1564981,41
19,Chicago Park District,Mount Greenwood Park,2005,200000,16296,Mount Greenwood Park,google,"c(-87.7008049, 41.6915904)",19052,52,3932268.35108,10753.3608685,19
23,Chicago Park District,Normandy Park,2006,200000,19294,Normandy Park,google,"c(-87.7887117, 41.7983987)",14001,1,2649829.14561,6632.78358272,14
41,Chicago Park District,Norwood Park - Dog Park,2010,40000,35800,Norwood Park,google,"c(-87.8069116, 41.9858094)",41046,46,4954461.55852,10182.199906,41
41,Chicago Park District,Norwood Park- dog friendly area,2012,60000,35878,Norwood Park,google,"c(-87.8069116, 41.9858094)",41046,46,4954461.55852,10182.199906,41
42,Miscellaneous-CDOT,Ohio Park behind Office Depot - W Grand - 25 feet 8 foot high ornamental fe,2006,7264,36307,Ohio Park,google,"c(-87.7444226, 41.8916024)",28038,38,3838890.14884,9216.87792167,28
45,Miscellaneous Other,Olive's Garden Expansion,2013,6000,39325,Olive's Garden Expansion,google,"c(-87.5953196, 41.8148081)",04005,5,2715644.88582,9171.31495571,4
41,Chicago Park District,Oriole Park,2010,30000,35801,Oriole Park,google,"c(-87.8169157, 41.9761141)",41033,33,3047992.15624,9409.14942496,41
9,Chicago Park District,Palmer Park,2011,20000,6984,Palmer Park,google,"c(-87.615837, 41.6908289)",09043,43,5101617.85591,10894.7372234,9
35,Chicago Park District,Palmer Square Park,2008,25561,30665,Palmer Square Park,google,"c(-87.7046303, 41.9210378)",32022,22,2208712.24994,6266.61595812,32
45,Miscellaneous Other,Pedestrian Crossing Light at the Jefferson Park Transit Center,2013,125000,39326,Pedestrian Crossing Light at the Jefferson Park Transit Center,google,"c(-87.7618846, 41.9699459)",45019,19,2374102.01539,8429.49640699,45
48,Schools,Swift and Pierce schools,2007,155000,41554,Pierce Elementary School,google,"c(-87.6663791, 41.9831729)",48007,7,1289976.4873,4632.78383907,48
48,Schools,Pierce School,2006,5143,41495,Pierce School,google,"c(-87.6663791, 41.9831729)",48007,7,1289976.4873,4632.78383907,48
