ward,type,location,year,est_cost,id,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
32,Miscellaneous-CDOT,1300 block of W. Altgeld,2010,49300,28132,google,"c(-87.6607368, 41.9275538)",43018,18,1738315.66171,6731.33807307,43
26,Alley Resurfacing Menu,1300 N ARTESIANAVE,2022,22075.835,23145,google,"c(-87.6886019, 41.9049718)",26048,48,890217.569798,4008.35777804,26
2,2 POD Cameras: 2000 W Chicago Ave; 1300 N Cleveland,1300 N CLEVELAND AVE,2021,24776,2417,census,"c(-87.640858325, 41.905737442)",02009,9,1288639.11857,7473.31997642,2
49,Miscellaneous Other,1300 W ALBION AVE,2015,6000,42693,census,"c(-87.663644945, 42.002453743)",49012,12,1764688.36159,6567.67255923,49
25,POD Camera,1301 S Heath,2007,24000,21513,census,"c(-87.6843516119999, 41.8647319940001)",28019,19,12735644.8933,25530.9087733,28
49,Alley Resurfacing Menu,1309 W ARTHUR AVE,2022,34720.455,43020,census,"c(-87.663663061, 42.0004007970001)",49017,17,950737.600848,4950.91838371,49
29,Miscellaneous CDOT Projects,132 N WALLER AVE,2022,125,25563,census,"c(-87.768220947, 41.8830247650001)",29021,21,1940289.17728,5575.04434108,29
29,Alley Resurfacing Menu,1324 N CENTRALAVE,2022,18001.14,25541,google,"c(-87.7660513, 41.904717)",29004,4,2069549.21246,6652.56684358,29
10,Sidewalk Menu,13316 S AVENUE K,2021,4050.94,8434,census,"c(-87.535038781, 41.6532644340001)",10003,3,20762470.3484,20114.1153694,10
49,Miscellaneous Other,1335 W COLUMBIA AVE,2015,6000,42693,census,"c(-87.664701216, 42.0044716450001)",49012,12,1764688.36159,6567.67255923,49
44,Alley Apron Menu,1343 W WAVELAND AVE,2022,16907.375,38888,census,"c(-87.662987441, 41.948903923)",44011,11,1289342.64638,5300.65599063,44
43,POD Camera,1350 N Wells,2008,24000,37352,census,"c(-87.634595567, 41.907189444)",02028,28,841143.702777,4511.3528133,2
9,Miscellaneous-CDOT,137 - 141 E 114 th Place (parkway),2010,41,6931,google,"c(-87.6193128, 41.6860772)",09031,31,3892088.30719,8008.14846504,9
26,Alley Resurfacing Menu,1400 N KARLOV AVE,2022,24739.38,23147,census,"c(-87.728863318, 41.9062926920001)",26019,19,1694045.30835,5990.74161384,26
29,Street Resurfacing Menu,1400 N PARKSIDE AVE,2022,1340.87,25587,census,"c(-87.767003181, 41.9058903820001)",29004,4,2069549.21246,6652.56684358,29
26,Alley Resurfacing Menu,1400 NCENTRAL PARK AVE,2022,23051.98,23146,google,"c(-87.7170019, 41.9064972)",26018,18,1463864.96012,6442.08739491,26
48,Speed Indicator Signs,1416 WFOSTER AVE,2021,5500,42186,google,"c(-87.665467, 41.976502)",48010,10,1283521.85644,4591.82110136,48
26,Sidewalk Menu,1456 N SPRINGFIELD AVE,2022,3742.22666666667,23180,census,"c(-87.724015917, 41.90732668)",26044,44,842841.737545,3882.48454096,26
29,Alley Resurfacing Menu,1457 N MASON AVE,2022,18976.075,25542,census,"c(-87.774293397, 41.9066610180001)",29025,25,1744238.36853,5282.54061776,29
28,Street Light Upgrade Menu,147 S WHIPPLE ST,2021,625,24774,census,"c(-87.702374982, 41.8785992260001)",28032,32,3502315.22042,7974.81698362,28
17,Alley Apron Menu,1500 W 74TH ST,2022,8617.77666666667,15368,census,"c(-87.662132529, 41.759478976)",17023,23,1744393.52093,5279.32449414,17
49,Alley Resurfacing Menu,1500 W PRATTBLVD,2022,18793.085,43023,google,"c(-87.6680236, 42.005579)",49018,18,1370867.88492,7191.61318367,49
49,Alley Resurfacing Menu,1500 WFARWELL AVE,2022,24325.755,43022,google,"c(-87.6683072, 42.0067985)",49023,23,1205189.89535,4929.43249711,49
26,Alley Resurfacing Menu,1501 N KARLOV AVE,2021,18594.74,23075,census,"c(-87.7289051389999, 41.9080908280001)",26015,15,1721112.64949,6781.97018656,26
