ward,type,location,year,est_cost,id,start_address,end_address,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_locate,precinct_locate,ward_precinct_locate,intersect_length,geometry
14,Sidewalk Menu,5244-5248 S NATOMA AVE,2022,9960.42,12987,5244 S NATOMA AVE,5248 S NATOMA AVE,41.79692667100005,-87.78805238199999,census,41.79686335800005,-87.78805050599999,census,7.041812893746711,23,16,23016,7.04181289321952,"c(-87.788052382, -87.788050506, 41.7969266710001, 41.7968633580001)"
9,Miscellaneous CDOT Projects,625-631 E 103RD ST,2022,187.5,7316,625 E 103RD ST,631 E 103RD ST,41.70739313800004,-87.60847717799999,census,41.70739419300003,-87.60840267999998,census,6.185412194653282,9,1,09001,6.185412194653282,"c(-87.608477178, -87.60840268, 41.707393138, 41.707394193)"
31,Street Light Upgrade Menu,2923-2925 N LONG AVE,2022,500,27780,2923 N LONG AVE,2925 N LONG AVE,41.93380106300003,-87.76141257199998,census,41.93385216300004,-87.76141443699998,census,5.684163598458277,31,43,31043,5.6841635979857,"c(-87.761412572, -87.761414437, 41.933801063, 41.933852163)"
40,Alley Resurfacing Menu,6100-6104 N SEELEY AVE,2022,6576.85,35444,6100 N SEELEY AVE,6104 N SEELEY AVE,41.99196419000003,-87.68110066399998,census,41.992006254000046,-87.68110208999997,census,4.678795207823002,40,18,40018,4.678795207878416,"c(-87.681100664, -87.68110209, 41.99196419, 41.992006254)"
7,Miscellaneous CDOT Projects,8256-8260 S BUFFALO AVE,2021,150,5724,8256 S BUFFALO AVE,8260 S BUFFALO AVE,41.74515860300005,-87.54428131199995,census,41.745127041000046,-87.54428062099998,census,3.5100079807470372,10,4,10004,3.5100079807470372,"c(-87.544281312, -87.544280621, 41.745158603, 41.745127041)"
5,Miscellaneous CDOT Projects,6504-6506 S GREENWOOD AVE,2022,187.5,4478,6504 S GREENWOOD AVE,6506 S GREENWOOD AVE,41.77663666300003,-87.59976647599996,census,41.77660551500003,-87.59976579199997,census,3.4639694122844684,20,29,20029,3.4639694117570534,"c(-87.599766476, -87.599765792, 41.776636663, 41.776605515)"
12,Sidewalk Menu,3426-3428 S BELL AVE,2021,4671.385,10301,3426 S BELL AVE,3428 S BELL AVE,41.83172157300004,-87.68142927999997,census,41.83169765400004,-87.68142850799995,census,2.660444616708917,11,3,11003,2.660444616182037,"c(-87.68142928, -87.681428508, 41.831721573, 41.831697654)"
47,Speed Indicator Signs,1466-1468 W IRVING PARK RD,2022,985.096666666667,41398,1466 W IRVING PARK RD,1468 W IRVING PARK RD,41.95433430000003,-87.66630227099995,census,41.95433396400006,-87.66632786799994,census,2.1170311113610216,47,24,47024,2.1170311123983816,"c(-87.6663022709999, -87.666327868, 41.9543343, 41.954333964)"
7,Miscellaneous CDOT Projects,8240-8242 S BUFFALO AVE,2021,150,5724,8240 S BUFFALO AVE,8242 S BUFFALO AVE,41.745284850000075,-87.54428407699999,census,41.745269069000074,-87.54428373099995,census,1.7550046676670061,10,4,10004,1.7550046686666216,"c(-87.544284077, -87.544283731, 41.7452848500001, 41.7452690690001)"
7,Miscellaneous CDOT Projects,8240-8242 S BURLEY AVE,2021,150,5723,8240 S BURLEY AVE,8242 S BURLEY AVE,41.74526877100004,-87.54549409499998,census,41.74525299000004,-87.54549375199997,census,1.7550006141599022,7,32,07032,1.755000613689937,"c(-87.545494095, -87.545493752, 41.745268771, 41.74525299)"
1,Alley Resurfacing Menu,2342-2346 W ALTGELD ST,2021,5081.48333333333,945,2342 W ALTGELD ST,2346 W ALTGELD ST,41.92644195900005,-87.68694205299994,census,41.92644195900005,-87.68695638899999,census,1.1860103761577196,1,24,01024,1.1860103761577196,"c(-87.6869420529999, -87.686956389, 41.926441959, 41.9264419590001)"
6,Sidewalk Menu,129-131 E 72ND ST,2021,20933.99,5002,129 E 72ND ST,131 E 72ND ST,41.76377463000006,-87.62058248999995,census,41.76377486400003,-87.62056841799995,census,1.1674233963643488,6,32,06032,1.1674233963643488,"c(-87.6205824899999, -87.6205684179999, 41.7637746300001, 41.763774864)"
