ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat,long
8,Curb/Gutter Menu - Change Order,E 98 ST-- S AVALON AV (1232 E) -to- Dead End (1266 E),2008,3913,6014,E 98th ST AND S AVALON AV,E 98th ST AND Dead End,41.7167517,-87.5933989,google,NA,NA,google,41.7167517,-87.5933989
10,Sidewalk Menu,E 98 ST-- S ESCANABA AV (2900 E) -to- Dead End (2643 E),2010,36824,7914,E 98th ST AND S ESCANABA AV,E 98th ST AND Dead End,41.7172975,-87.5537607,google,NA,NA,google,41.7172975,-87.5537607
7,Miscellaneous-CDOT,E 98 ST-- S JEFFERY AV (2000 E) -to- Dead End (1266 E),2006,21736,5137,E 98th ST AND S JEFFERY AV,E 98th ST AND Dead End,41.7170664,-87.5752217,google,NA,NA,google,41.7170664,-87.5752217
9,Sidewalk Menu,E 99 PL-- S STATE ST (0 E) -to- Dead End (50 E),2006,34505,6794,E 99th PL AND S STATE ST,E 99th PL AND Dead End,41.7135313,-87.6236552,google,NA,NA,google,41.7135313,-87.6236552
10,Street Resurface Menu,E 99 ST-- S COMMERCIAL AV (3000 E) -to- S COMMERCIAL AV (3000 E),2007,15046,7737,E 99th ST AND S COMMERCIAL AV,E 99th ST AND S COMMERCIAL AV,41.7154469,-87.5509649,google,41.7154469,-87.5509649,google,41.7154469,-87.5509649
6,Curb/Gutter Menu,E 99 ST-- S INDIANA AV (200 E) -to- S INDIANA AV (200 E),2009,30363,4705,E 99th ST AND S INDIANA AV,E 99th ST AND S INDIANA AV,41.7145254,-87.6188133,google,41.7145254,-87.6188133,google,41.7145254,-87.6188133
42,Curb/Gutter Menu,E CHESTNUT ST-- N DEWITT PL (320 E) -to- N DEWITT PL (320 E),2005,10000,36217,E CHESTNUT ST AND N DEWITT PL,E CHESTNUT ST AND N DEWITT PL,41.898446001000025,-87.62019677699999,census,41.898446001000025,-87.62019677699999,census,41.898446001000025,-87.62019677699999
42,Pole Painting,E CHICAGO AV-- N FAIRBANKS CT (300 E) -to- N FAIRBANKS CT (300 E),2010,3000,36561,E CHICAGO AV AND N FAIRBANKS CT,E CHICAGO AV AND N FAIRBANKS CT,41.8967908,-87.6203507,google,41.8967908,-87.6203507,google,41.8967908,-87.6203507
42,Curb/Gutter Menu,E DELAWARE PL-- N WABASH (50 E) -to- N WABASH (50 E),2005,10000,36218,E DELAWARE PL AND N WABASH,E DELAWARE PL AND N WABASH,41.899165561000075,-87.62692606899998,census,41.899165561000075,-87.62692606899998,census,41.899165561000075,-87.62692606899998
42,Curb/Gutter Menu,E ERIE ST-- N RUSH ST (100 E) -to- N RUSH ST (100 E),2005,10000,36220,E ERIE ST AND N RUSH ST,E ERIE ST AND N RUSH ST,41.89412060300003,-87.62543468999996,census,41.89412060300003,-87.62543468999996,census,41.89412060300003,-87.62543468999996
42,Street Lighting,E GRAND AV-- N LAKE SHORE (L) DR(510 E) -to- N FAIRBANKS CT (300 E),2010,5600,36571,E GRAND AV AND N LAKE SHOREDR,E GRAND AV AND N FAIRBANKS CT,NA,NA,google,41.89180514800006,-87.62023295599994,census,41.89180514800006,-87.62023295599994
42,Street Lighting,E GRAND AV-- N LAKE SHORE (L) DR(510 E) -to- N FAIRBANKS CT (300 E),2010,18900,36572,E GRAND AV AND N LAKE SHOREDR,E GRAND AV AND N FAIRBANKS CT,NA,NA,google,41.89180514800006,-87.62023295599994,census,41.89180514800006,-87.62023295599994
42,Pole Painting,E GRAND AV-- N FAIRBANKS CT (300 E) -to- N LAKE SHORE (L) DR(510 E),2010,8350,36563,E GRAND AV AND N FAIRBANKS CT,E GRAND AV AND N LAKE SHOREDR,41.89180514800006,-87.62023295599994,census,NA,NA,google,41.89180514800006,-87.62023295599994
42,Pole Painting,E GRAND AV-- N FAIRBANKS CT (300 E) -to- N LAKE SHORE (L) DR(510 E),2010,4200,36564,E GRAND AV AND N FAIRBANKS CT,E GRAND AV AND N LAKE SHOREDR,41.89180514800006,-87.62023295599994,census,NA,NA,google,41.89180514800006,-87.62023295599994
42,Curb/Gutter Menu,E GRAND AV-- N MCCLURG CT (400 E) -to- N LAKE SHORE (L) DR(510 E),2005,10000,36221,E GRAND AV AND N MCCLURG CT,E GRAND AV AND N LAKE SHOREDR,41.89184936600003,-87.61769238699998,census,NA,NA,google,41.89184936600003,-87.61769238699998
42,Curb/Gutter Menu,E GRAND AV-- N PESHTIGO CT (456 E) -to- N PESHTIGO CT (456 E),2005,10000,36222,E GRAND AV AND N PESHTIGO CT,E GRAND AV AND N PESHTIGO CT,41.89188956500004,-87.61519201699997,census,41.89188956500004,-87.61519201699997,census,41.89188956500004,-87.61519201699997
42,Curb/Gutter Menu,E HUBBARD ST-- N WABASH (L) AV(44 E) -to- N WABASH (L) AV(44 E),2005,10000,36224,E HUBBARD ST AND N WABASHAV,E HUBBARD ST AND N WABASHAV,41.8907328,-87.62669,google,41.8907328,-87.62669,google,41.8907328,-87.62669
42,Street Resurface Menu,E HURON ST-- N COLUMBUS DR (301 E) -to- N MCCLURG CT (400 E),2005,29335,36263,E HURON ST AND N COLUMBUS DR,E HURON ST AND N MCCLURG CT,NA,NA,google,41.8950489,-87.6177852,google,41.8950489,-87.6177852
4,Sidewalk Menu,E HYDE PARK BV-- S ELLIS AV (1001 E) -to- S ELLIS AV (1001 E),2008,4127,3312,E HYDE PARK BV AND S ELLIS AV,E HYDE PARK BV AND S ELLIS AV,41.8023144,-87.6013775,google,41.8023144,-87.6013775,google,41.8023144,-87.6013775
42,Curb/Gutter Menu,E KINZIE ST-- N RUSH (100 E) -to- N RUSH (100 E),2005,10000,36226,E KINZIE ST AND N RUSH,E KINZIE ST AND N RUSH,41.8895175,-87.6252507,google,41.8895175,-87.6252507,google,41.8895175,-87.6252507
43,Sidewalk Menu,E NORTH AV-- N ASTOR ST (35 E) -to- Dead End (47 E),2008,9030,37288,E NORTH AV AND N ASTOR ST,E NORTH AV AND Dead End,41.91124532300006,-87.62766170799995,census,NA,NA,google,41.91124532300006,-87.62766170799995
42,Street Lighting,E NORTH WATER ST-- N NEW ST (336 E) -to- E NORTH WATER (L) ST(284 E),2010,42000,36574,E NORTH WATER ST AND N NEW ST,E NORTH WATER ST AND E NORTH WATERST,41.8895154,-87.6185561,google,NA,NA,google,41.8895154,-87.6185561
4,Sidewalk Menu,E OAKWOOD BV-- S ELLIS AV (878 E) -to- S ELLIS AV (878 E),2010,21329,3361,E OAKWOOD BV AND S ELLIS AV,E OAKWOOD BV AND S ELLIS AV,41.8243936,-87.605375,google,41.8243936,-87.605375,google,41.8243936,-87.605375
