ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
45,Street Resurface Menu(1-5),W MATSON AVE & N MEADE AV (6100 W) & N ELSTON AV (6130 W),2011,24164,39230,6100 W MATSON AVE,6130 W MATSON AVE,41.9916351,-87.7811236,google,41.9916351,-87.7811236,google,"c(-87.7811236, 41.9916351)",45,17,45017
39,Street Resurface Menu,N KEATING AVE & N HIAWATHA AV (6136 N) & N HIAWATHA AV (6136 N),2011,7245,34263,6136 N KEATING AVE,6136 N KEATING AVE,41.9925177,-87.7474518,google,41.9925177,-87.7474518,google,"c(-87.7474518, 41.9925177)",39,3,39003
20,Street Speed Hump Menu,S CALUMET AVE & E 63 ST (6300 S) & E 63 ST (6300 S),2011,1850,17181,6300 S CALUMET AVE,6300 S CALUMET AVE,41.7801739,-87.6172541,google,41.7801739,-87.6172541,google,"c(-87.6172541, 41.7801739)",20,7,20007
20,Street Speed Hump Menu,S ST LAWRENCE AVE & E 63 ST (6300 S) & E 63 ST (6300 S),2011,3700,17182,6300 S ST LAWRENCE AVE,6300 S ST LAWRENCE AVE,41.7797163,-87.6110132,google,41.7797163,-87.6110132,google,"c(-87.6110132, 41.7797163)",20,2,20002
41,Street Resurface Menu,N NAVAJO AVE & N LEOTI AV (6322 N) & N LEOTI AV (6322 N),2011,971,35833,6322 N NAVAJO AVE,6322 N NAVAJO AVE,41.9967422,-87.7587657,google,41.9967422,-87.7587657,google,"c(-87.7587657, 41.9967422)",41,19,41019
2,Pole Painting,W MONROE ST & E KENNEDY ENTR RP (713 W) & S DESPLAINES ST (640 W),2011,3800,1874,640 W MONROE ST,640 W MONROE ST,41.8807712,-87.6436171,google,41.8807712,-87.6436171,google,"c(-87.6436171, 41.8807712)",42,61,42061
2,Street Lighting,W MONROE ST & E KENNEDY ENTR RP (713 W) & S DESPLAINES ST (640 W),2011,2550,1888,640 W MONROE ST,640 W MONROE ST,41.8807712,-87.6436171,google,41.8807712,-87.6436171,google,"c(-87.6436171, 41.8807712)",42,61,42061
20,Sidewalk Menu,S STEWART AVE & W 64 ST (6400 S) & W 64 ST (6400 S),2011,8987,17147,6400 S STEWART AVE,6400 S STEWART AVE,41.7778624,-87.6354884,google,41.7778624,-87.6354884,google,"c(-87.6354884, 41.7778624)",20,44,20044
41,Curb/Gutter Menu,N AVONDALE AVE & N OGALLAH AV (6524 N) & N OGALLAH AV (6524 N),2011,10923,35808,6524 N AVONDALE AVE,6524 N AVONDALE AVE,41.99908,-87.8141276,google,41.99908,-87.8141276,google,"c(-87.8141276, 41.99908)",41,7,41007
41,Curb/Gutter Menu,N NORTHWEST HWY & N OVERHILL AV (6832 N) & N OVERHILL AV (6832 N),2011,42166,35809,6832 N NORTHWEST HWY,6832 N NORTHWEST HWY,42.0048689,-87.8201162,google,42.0048689,-87.8201162,google,"c(-87.8201162, 42.0048689)",41,5,41005
