ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
48,Chicago Park District,Brohman Playlot,2005,200000,41460,Brohman Park,google,"c(-87.6044011, 41.788188)",5,15,05015
41,Chicago Park District,Brooks Park- tennis cours surface and fence repair,2012,60000,35879,Brooks Park,google,"c(-87.5992989, 41.811426)",4,36,04036
33,Chicago Park District,Buffalo Park,2007,20000,28827,Buffalo Park,google,"c(-87.698327, 41.9632508)",33,7,33007
4,Chicago Park District,Burnham Park,2008,200000,3327,Burnham Park,google,"c(-87.5985856, 41.8253531)",4,4,04004
4,Chicago Park District,Burnham Park,2008,25000,3328,Burnham Park,google,"c(-87.5985856, 41.8253531)",4,4,04004
26,Schools,Cameron School - 1234 N. Monticllo,2011,20000,22645,Cameron School,google,"c(-87.7182641, 41.9040769)",26,37,26037
46,Chicago Park District,Carendon Park,2007,300000,39817,Carendon Park,google,"c(-87.6486024, 41.9633603)",46,33,46033
47,Miscellaneous Other,Chase Park Improvements - 4701 N. Ashland,2012,20000,40742,Chase Park,google,"c(-87.6682323, 41.9675376)",47,31,47031
25,Chicago Park District,Claremont Playlot Park,2011,25000,21859,Claremont Park Park,google,"c(-87.6853982, 41.8732227)",2,50,02050
25,Chicago Park District,Claremont Playlot Park,2012,75000,21882,Claremont Park Park,google,"c(-87.6853982, 41.8732227)",2,50,02050
46,Chicago Park District,Clarenson Park,2007,124050,39815,Clarenson Park,google,"c(-87.6486024, 41.9633603)",46,33,46033
1,Chicago Park District,Commercial Park Gym Floor,2005,29000,94,Commercial Park,google,"c(-87.6738079, 41.896629)",1,46,01046
1,Chicago Park District,Dean Park & Commercial Park,2008,72500,304,Commercial Park,google,"c(-87.6738079, 41.896629)",1,46,01046
1,Chicago Park District,"Maplewood Park,Commerical Park,Dean Park",2007,100000,225,Commerical Park,google,"c(-87.6738079, 41.896629)",1,46,01046
26,Schools,Darwin School - 3116 W. Belden,2011,20000,22647,Darwin School,google,"c(-87.704745, 41.9234844)",26,19,26019
1,Chicago Park District,Dean Park,2005,50000,93,Dean Park,google,"c(-87.6708675, 41.9069074)",1,21,01021
1,Chicago Park District,"Maplewood Park,Commerical Park,Dean Park",2007,100000,225,Dean Park,google,"c(-87.6708675, 41.9069074)",1,21,01021
1,Chicago Park District,Dean Park & Commercial Park,2008,72500,304,Dean Park,google,"c(-87.6708675, 41.9069074)",1,21,01021
22,Miscellaneous-Other,Dominguez campus park,2009,990374,18605,Dominguez campus park,google,"c(-87.6583005, 42.0002465)",49,7,49007
22,Miscellaneous-Other,Dominguez Campus Park,2008,709626,18597,Dominguez Campus Park,google,"c(-87.6583005, 42.0002465)",49,7,49007
23,Schools,Dore School,2007,8100,19396,Dore School,google,"c(-87.7998245, 41.7743673)",23,18,23018
33,Drake Gardens Community Garden w/ NeighborSpace,Drake Garden,2020,50000,29319,Drake Garden,google,"c(-87.716602, 41.966011)",33,1,33001
49,Chicago Park District,Dubkin Park - Landscaping Beds,2010,10576,42464,Dubkin Park,google,"c(-87.670519, 42.0174314)",49,11,49011
49,Chicago Park District,Dubkin Park - Community Garden - 7442 N. Ashland,2010,22424,42465,Dubkin Park,google,"c(-87.670519, 42.0174314)",49,11,49011
3,Miscellaneous-CDOT,DuSable Public High School,2008,154200,2608,DuSable Public High School,google,"c(-87.6246017, 41.804837)",3,40,03040
19,Miscellaneous Other,Edna White Garden,2012,20000,16562,Edna White Garden,google,"c(-87.6678971, 41.6914669)",19,50,19050
26,Schools,Erie Charter School - 1405 N. Washtenaw,2011,20000,22643,Erie Charter School,google,"c(-87.6943513, 41.906863)",26,25,26025
39,Chicago Park District,Eugene Field and Sauganash Park,2008,100000,34147,Eugene Field,google,"c(-87.7223602, 41.9747187)",39,33,39033
39,POD Camera,5100 N. Ridgeway - Eugene Field,2009,25000,34198,Eugene Field,google,"c(-87.7223602, 41.9747187)",39,33,39033
35,Miscellaneous-CDOT,Fireman's Park Restoration,2008,257,30605,Fireman's Park,google,"c(-87.7121046, 41.9321925)",35,5,35005
35,Miscellaneous-CDOT,Fireman's Park Restoration,2009,32,30672,Fireman's Park,google,"c(-87.7121046, 41.9321925)",35,5,35005
35,Miscellaneous-CDOT,Fireman's Park Restoration,2010,2153,30719,Fireman's Park,google,"c(-87.7121046, 41.9321925)",35,5,35005
35,Miscellaneous-CDOT,Fireman's Park Restoration,2011,1824,30783,Fireman's Park,google,"c(-87.7121046, 41.9321925)",35,5,35005
45,Chicago Park District,Forest Glen Playlot,2005,82,38987,Forest Glen Park,google,"c(-87.754575, 41.9776299)",45,41,45041
45,Chicago Park District,Forest Glen Playlot,2006,1366,39036,Forest Glen Park,google,"c(-87.754575, 41.9776299)",45,41,45041
45,Chicago Park District,Forest Glen Playlot,2007,340,39083,Forest Glen Park,google,"c(-87.754575, 41.9776299)",45,41,45041
45,Chicago Park District,Forest Glen Playlot,2008,12551,39117,Forest Glen Park,google,"c(-87.754575, 41.9776299)",45,41,45041
45,Chicago Park District,Forest Glen Playlot,2009,185661,39149,Forest Glen Park,google,"c(-87.754575, 41.9776299)",45,41,45041
10,Schools,George Washington High School,2010,10000,7940,George Washington High School,google,"c(-87.5379655, 41.687694)",10,46,10046
46,Chicago Park District,Gill Park,2007,200000,39816,Gill Park,google,"c(-87.6505923, 41.9523528)",46,5,46005
45,Chicago Park District,Gladstone Park,2006,100000,39035,Gladstone Park,google,"c(-87.7750136, 41.9811108)",45,11,45011
1,School Projects,Goethe School - Campus Park,2012,100000,480,Goethe School - Campus Park,google,"c(-87.6931892, 41.9227455)",1,30,01030
39,Chicago Park District,Gompers Park Playground Equipment - 4222 W. Foster,2010,50000,34240,Gompers Park,google,"c(-87.7367788, 41.9761424)",39,38,39038
48,Schools,Goudy School Campus Park,2007,9600,41552,Goudy School Campus Park,google,"c(-87.6580331, 41.9759442)",48,21,48021
48,Schools,Goudy School,2008,20000,41586,Goudy School,google,"c(-87.6580331, 41.9759442)",48,21,48021
48,School Projects,Goudy School - Exterior Cameras,2013,25000,41718,Goudy School,google,"c(-87.6580331, 41.9759442)",48,21,48021
46,Schools,Greeley Elementary - playground equipment,2011,100000,39938,Greeley Elementary - playground equipment,google,"c(-87.6508832, 41.9529857)",46,5,46005
40,Drinking Fountains at Mather; Green Briar,Green Briar Park,2020,120000,35376,Green Briar Park,google,"c(-87.696404, 41.9913324)",50,29,50029
1,Chicago Park District,Haas Park Field House,2012,605000,479,Haas Park Field,google,"c(-87.7142944, 41.9242299)",26,23,26023
1,Chicago Park District,Haas Park Fieldhouse,2010,200000,370,Haas Park,google,"c(-87.6961085, 41.9251799)",1,24,01024
1,Chicago Park District,Haas Park,2013,450000,531,Haas Park,google,"c(-87.6961085, 41.9251799)",1,24,01024
32,Chicago Park District,Hamin Park,2007,98750,27979,Hamin Park,google,"c(-87.6794228, 41.9366872)",32,45,32045
32,Chicago Park District,Hamlin Park Baseball Field,2005,40000,27829,Hamlin Park Baseball Field,google,"c(-87.6794228, 41.9366872)",32,45,32045
25,Chicago Park District,Harrison Park - Athletic Field,2012,100000,21884,Harrison Park,google,"c(-87.6736815, 41.8568759)",25,11,25011
25,Chicago Park District,Harrison Park (2012-2016 - TPC = $500000 ),2013,100000,21939,Harrison Park,google,"c(-87.6736815, 41.8568759)",25,11,25011
1,Miscellaneous-CDOT,Hass Park,2008,50000,262,Hass Park,google,"c(-87.6953406, 41.9251546)",1,24,01024
44,Chicago Park District,Hawthorne School,2007,147875,38175,Hawthorne School,google,"c(-87.6576431, 41.9417947)",44,39,44039
31,Miscellaneous-CDOT,Hermosa Park @ 2240 N. Kilbourn.,2006,8189,26839,Hermosa Park,google,"c(-87.7403569, 41.9219817)",31,37,31037
48,Chicago Park District,Hollywood Beach Dog Park,2005,75000,41459,Hollywood Beach Dog Park,google,"c(-87.6519968, 41.9861856)",48,39,48039
32,Chicago Park District,Holstein Park Renovations,2005,250000,27826,Holstein Park,google,"c(-87.6850684, 41.921348)",32,29,32029
33,Chicago Park District,Horner Park,2005,150000,28741,Horner Park,google,"c(-87.6950899, 41.9585722)",33,23,33023
33,Chicago Park District,Horner Park,2008,20000,28873,Horner Park,google,"c(-87.6950899, 41.9585722)",33,23,33023
33,Chicago Park District,Horner Park - bleachers,2010,25000,28933,Horner Park,google,"c(-87.6950899, 41.9585722)",33,23,33023
26,Miscellaneous-CDOT,Humboldt Park Improvements,2006,155000,22392,Humboldt Park,google,"c(-87.721293, 41.8990752)",27,24,27024
26,Chicago Park District,Humboldt Park Boat House,2006,25000,22431,Humboldt Park,google,"c(-87.721293, 41.8990752)",27,24,27024
26,Chicago Park District,Humboldt Park,2007,300000,22443,Humboldt Park,google,"c(-87.721293, 41.8990752)",27,24,27024
26,Chicago Park District,Humboldt Park - lighting,2008,63510,22478,Humboldt Park,google,"c(-87.721293, 41.8990752)",27,24,27024
26,Chicago Park District,Humboldt Park - concrete slabs for food trucks,2012,150000,22679,Humboldt Park,google,"c(-87.721293, 41.8990752)",27,24,27024
4,Miscellaneous-Other,Hyde Park Art Center,2005,500000,3249,Hyde Park Art Center,google,"c(-87.5867642, 41.8037291)",4,48,04048
4,Miscellaneous-Other,Hyde Park Art Center,2006,500000,3262,Hyde Park Art Center,google,"c(-87.5867642, 41.8037291)",4,48,04048
45,Independence Park - Water feature/playground,Independence Park,2016,15000,39456,Independence Park,google,"c(-87.7237263, 41.9526374)",39,23,39023
2,Chicago Park District,Jane Addams Park - lighting,2011,11860,1928,Jane Addams Park,google,"c(-87.6127744, 41.8923675)",42,11,42011
47,Schools,John J. Audubon Elementary School Playlot - 3500 N. Hoyne,2010,50000,40640,John J. Audubon Elementary School Park,google,"c(-87.6811506, 41.9453833)",47,46,47046
43,Chicago Park District,Jonquil Park,2008,27225,37351,Jonquil Park,google,"c(-87.6545678, 41.9284789)",32,32,32032
32,Chicago Park District,Jonquil Park,2007,98750,27979,Jonquil Park,google,"c(-87.6545678, 41.9284789)",32,32,32032
48,Miscellaneous-Other,Kathy Osterman Beach House (reimbursement) 2008 menu also,2009,175653,41626,Kathy Osterman Beach House (reimbursement) 2008 menu also,google,"c(-87.6527914, 41.9862002)",48,39,48039
48,Miscellaneous-Other,Kathy Osterman Beach House (reimbursement) 2009 also,2008,324347,41582,Kathy Osterman Beach House (reimbursement) 2009 also,google,"c(-87.6527914, 41.9862002)",48,39,48039
4,Chicago Park District,Lake Park Crescent Park,2007,8000,3293,Lake Park Crescent Park,google,"c(-87.5990723, 41.8171683)",4,5,04005
4,Chicago Park District,Lake Park Crescent,2007,190000,3289,Lake Park,google,"c(-87.5990723, 41.8171683)",4,5,04005
4,Chicago Park District,Lake Park Crescent,2007,50000,3290,Lake Park,google,"c(-87.5990723, 41.8171683)",4,5,04005
4,Chicago Park District,Lake Park Crescent,2007,20000,3291,Lake Park,google,"c(-87.5990723, 41.8171683)",4,5,04005
4,Chicago Park District,Lake Park Crescent,2007,50000,3292,Lake Park,google,"c(-87.5990723, 41.8171683)",4,5,04005
1,Schools,LaSalle II Elementary School Playground (TPC = $25,2011,1037,446,LaSalle II Elementary School,google,"c(-87.6738377, 41.9028261)",1,3,01003
1,School Projects,LaSalle II Elementary School - playground )TPC=$25000 2011-2013 Menu,2012,155,481,LaSalle II Elementary School,google,"c(-87.6738377, 41.9028261)",1,3,01003
1,School Projects,LaSalle School Playground,2013,23808,533,LaSalle School,google,"c(-87.6738377, 41.9028261)",1,3,01003
13,Chicago Park District,Lawler Park - water feature,2011,150000,10791,Lawler Park,google,"c(-87.7512174, 41.7766954)",13,27,13027
13,Chicago Park District,Lawler Park,2012,150000,10801,Lawler Park,google,"c(-87.7512174, 41.7766954)",13,27,13027
13,Lawler Park Turf Field,Lawler Park,2019,240000,11246,Lawler Park,google,"c(-87.7512174, 41.7766954)",13,27,13027
13,Lawler Park Turf Field,Lawler Park,2020,300000,11367,Lawler Park,google,"c(-87.7512174, 41.7766954)",13,27,13027
22,Lawndale Triangle Community Garden,Lawndale Triangle Community Garden,2016,13415,18875,Lawndale Triangle Community Garden,google,"c(-87.730968, 41.849171)",22,7,22007
43,Schools,Lincoln Park High School,2005,20000,37164,Lincoln Park High School,google,"c(-87.6458448, 41.9184082)",43,7,43007
43,Chicago Park District,Restoration of Door at the Alfred Lily Pool at the Lincoln Park Conserancy,2010,5000,37443,Lincoln park,google,"c(-87.6487783, 41.9254701)",43,31,43031
43,Miscellaneous-CDOT,Lincoln Park Trolley,2007,55000,37242,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43,31,43031
43,Miscellaneous-CDOT,Lincoln Park Trolley,2008,59500,37283,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43,31,43031
43,Miscellaneous-CDOT,Lincoln Park Summer Trolley,2008,55000,37284,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43,31,43031
43,Chicago Park District,Lincoln Park Zoo,2010,55000,37442,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43,31,43031
43,Lincoln Park Conservatory Park - Benches,Lincoln Park Conservatory,2019,10000,37980,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43,31,43031
47,Miscellaneous-Other,Lincoln Square Community Garden,2009,10000,40610,Lincoln Square Community Garden,google,"c(-87.6889648, 41.9686816)",47,1,47001
49,Chicago Park District,Loyola Beach Dunes - sign,2009,2930,42432,Loyola Beach Dunes - sign,google,"c(-87.6578047, 42.0082785)",49,29,49029
49,Chicago Park District,Loyola Park,2010,50000,42467,Loyola Park,google,"c(-87.6619076, 42.0117116)",49,27,49027
49,Loyola Park Exercise Equipment,Loyola Park,2020,100000,42939,Loyola Park,google,"c(-87.6619076, 42.0117116)",49,27,49027
10,Chicago Park District,Mann Park - In-line hockey surface,2010,89500,7936,Mann Park,google,"c(-87.5506832, 41.657262)",10,16,10016
1,Chicago Park District,"Maplewood Park,Commerical Park,Dean Park",2007,100000,225,Maplewood Park,google,"c(-87.6912396, 41.911554)",1,43,01043
45,Chicago Park District,May Fair Park,2005,100000,38988,May Fair Park,google,"c(-87.7420401, 41.9630974)",45,12,45012
47,Chicago Park District,Merryman Playlot,2012,15000,40740,Merryman Park,google,"c(-87.6704853, 41.9499924)",47,50,47050
47,Chicago Park District,Merrymen Play Lot,2010,100000,40637,Merrymen Play Lot,google,"c(-87.8111978, 41.8775188)",NA,NA,NA
16,Chicago Park District,Micek Playground,2009,16305,14110,Micek Park,google,"c(-87.6780689, 41.7973302)",16,7,16007
16,Chicago Park District,Micek Playground-5311 S.Hamilton,2012,150000,14289,Micek Park,google,"c(-87.6780689, 41.7973302)",16,7,16007
16,Chicago Park District,Micek Play Lot- 5311 S. Hamilton,2011,150000,14240,Micek Play Lot- 5311 S. Hamilton,google,"c(-87.6780689, 41.7973302)",16,7,16007
26,Schools,Mitchell School - 2233 W. Ohio,2011,20000,22641,Mitchell School,google,"c(-87.6834719, 41.8919313)",26,46,26046
46,Montrose Beach Fence for Dog Area,Montrose Beach,2017,11000,40114,Montrose Beach,google,"c(-87.6385934, 41.9667449)",NA,NA,NA
41,Chicago Park District,Monument Park,2008,28399,35718,Monument Park,google,"c(-87.817928, 42.001729)",41,7,41007
19,Chicago Park District,Mount Greenwood Park,2005,200000,16296,Mount Greenwood Park,google,"c(-87.7008049, 41.6915904)",19,52,19052
23,Chicago Park District,Normandy Park,2006,200000,19294,Normandy Park,google,"c(-87.7887117, 41.7983987)",23,16,23016
41,Chicago Park District,Norwood Park - Dog Park,2010,40000,35800,Norwood Park,google,"c(-87.8069116, 41.9858094)",41,46,41046
41,Chicago Park District,Norwood Park- dog friendly area,2012,60000,35878,Norwood Park,google,"c(-87.8069116, 41.9858094)",41,46,41046
42,Miscellaneous-CDOT,Ohio Park behind Office Depot - W Grand - 25 feet 8 foot high ornamental fe,2006,7264,36307,Ohio Park,google,"c(-87.7444226, 41.8916024)",28,51,28051
45,Miscellaneous Other,Olive's Garden Expansion,2013,6000,39325,Olive's Garden Expansion,google,"c(-87.5953196, 41.8148081)",4,5,04005
41,Chicago Park District,Oriole Park,2010,30000,35801,Oriole Park,google,"c(-87.8169157, 41.9761141)",41,33,41033
9,Chicago Park District,Palmer Park,2011,20000,6984,Palmer Park,google,"c(-87.615837, 41.6908289)",9,43,09043
35,Chicago Park District,Palmer Square Park,2008,25561,30665,Palmer Square Park,google,"c(-87.7046303, 41.9210378)",35,16,35016
45,Miscellaneous Other,Pedestrian Crossing Light at the Jefferson Park Transit Center,2013,125000,39326,Pedestrian Crossing Light at the Jefferson Park Transit Center,google,"c(-87.7618846, 41.9699459)",45,29,45029
48,Schools,Swift and Pierce schools,2007,155000,41554,Pierce Elementary School,google,"c(-87.6663791, 41.9831729)",48,7,48007
48,Schools,Pierce School,2006,5143,41495,Pierce School,google,"c(-87.6663791, 41.9831729)",48,7,48007
22,Chicago Park District,Piotrowsi Park - Addt'l lighting and equipment,2011,100000,18676,Piotrowski Park,google,"c(-87.7307657, 41.8361245)",22,16,22016
9,School Projects,Poe School - Playground,2012,7115,7013,Poe School,google,"c(-87.6066076, 41.702492)",9,8,09008
49,Chicago Park District,Pottawattomie Park - dog friendly area (DFA),2010,119040,42466,Pottawattomie Park,google,"c(-87.6775959, 42.0158615)",49,19,49019
4,Miscellaneous-Other,Donoghue and Price Schools - murals,2009,20000,3349,Price Elementary School,google,"c(-87.6037684, 41.8152201)",4,7,04007
4,Printers Row Park - Lighting Improvements,Printers Row Park,2017,6500,3664,Printers Row Park,google,"c(-87.6294082, 41.8733693)",2,35,02035
1,Schools,"Pritzker Playground (Menu 2010 , 2009 ,",2008,339,306,Pritzker Park,google,"c(-87.6280111, 41.8774231)",2,49,02049
1,Schools,"Pritzker Playground (Menu 2010 , 2009 ,",2009,111,348,Pritzker Park,google,"c(-87.6280111, 41.8774231)",2,49,02049
1,Schools,"Pritzker Playground (Menu 2010 , 2009 ,",2010,47153,372,Pritzker Park,google,"c(-87.6280111, 41.8774231)",2,49,02049
32,Chicago Park District,Pulaski Park,2007,98750,27979,Pulaski Park,google,"c(-87.6651332, 41.9070273)",1,26,01026
47,Schools,"Ravenswood School - electronic sign, playground (TPC =",2008,168,40557,Ravenswood School,google,"c(-87.6743402, 41.9738264)",47,30,47030
47,Schools,"Ravenswood School - electronic sign, playground (TPC =",2009,8274,40611,Ravenswood School,google,"c(-87.6743402, 41.9738264)",47,30,47030
