ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
4,Sidewalk Menu,E 54TH ST & S HARPER AV (1500 E) & S HARPER AV (1500 E),2011,23868,3391,1500 E 54TH ST,1500 E 54TH ST,41.7980574,-87.5890482,google,41.7980574,-87.5890482,google,"c(-87.5890482, 41.7980574)",05024,24,1693862.9612,6084.29029191,5
26,Diagonal Parking Menu,N HAMLIN AVE & W NORTH AV (1600 N) & W NORTH AV (1600 N),2011,30379,22611,1600 N HAMLIN AVE,1600 N HAMLIN AVE,41.9099964,-87.7214271,google,41.9099964,-87.7214271,google,"c(-87.7214271, 41.9099964)",26047,47,1546021.64279,5937.48888192,26
40,Curb/Gutter Menu,W EDGEWATER AVE & N ASHLAND AV (1600 W) & N ASHLAND AV (1600 W),2011,1722,34993,1600 W EDGEWATER AVE,1600 W EDGEWATER AVE,41.9861665,-87.6700919,google,41.9861665,-87.6700919,google,"c(-87.6700919, 41.9861665)",40022,22,2223436.77003,9295.23238847,40
3,Sidewalk Menu,S WABASH AVE & E 18 ST (1820 S) & E 18 ST (1820 S),2011,4006,2730,1820 S WABASH AVE,1820 S WABASH AVE,41.8571422,-87.6255873,google,41.8571422,-87.6255873,google,"c(-87.6255873, 41.8571422)",03014,14,1441656.27474,6866.36643937,3
25,Street Resurface Menu,S JEFFERSON ST & S CANALPORT AV (1853 S) & S CANALPORT AV (1853 S),2011,93960,21851,1853 S JEFFERSON ST,1853 S JEFFERSON ST,41.8571647,-87.6418376,google,41.8571647,-87.6418376,google,"c(-87.6418376, 41.8571647)",11038,38,1486058.89946,7710.87732434,11
32,Street Resurface Menu,N WILMOT AVE & N OAKLEY AV (1922 N) & N OAKLEY AV (1922 N),2011,39406,28186,1922 N WILMOT AVE,1922 N WILMOT AVE,41.9163709,-87.6855886,google,41.9163709,-87.6855886,google,"c(-87.6855886, 41.9163709)",32032,32,1695173.04822,6983.01491577,32
32,Street Resurface Menu,N OAKLEY AVE & W ARMITAGE AV (2000 N) & W ARMITAGE AV (2000 N),2011,61335,28187,2000 N OAKLEY AVE,2000 N OAKLEY AVE,41.9176238,-87.6849596,google,41.9176238,-87.6849596,google,"c(-87.6849596, 41.9176238)",32032,32,1695173.04822,6983.01491577,32
2,Street Lighting,W MAYPOLE AVE & N DAMEN AV (2000 W) & N LEAVITT AV (2000 S),2011,6300,1900,2000 W MAYPOLE AVE,2000 W MAYPOLE AVE,41.8842128,-87.677656,google,41.8842128,-87.677656,google,"c(-87.677656, 41.8842128)",27043,43,6842223.48705,11450.6499082,27
40,Curb/Gutter Menu,W PETERSON AVE & N DAMEN AV (2000 W) & N DAMEN AV (2000 W),2011,20886,34994,2000 W PETERSON AVE,2000 W PETERSON AVE,41.9909991,-87.6802383,google,41.9909991,-87.6802383,google,"c(-87.6802383, 41.9909991)",40018,18,2626016.95913,6632.19779703,40
2,Street Lighting,W RANDOLPH ST & N DAMEN AV (2000 W) & N LEAVITT AV (2000 S),2011,6300,1899,2000 W RANDOLPH ST,2000 W RANDOLPH ST,41.8846295,-87.6773743,google,41.8846295,-87.6773743,google,"c(-87.6773743, 41.8846295)",27043,43,6842223.48705,11450.6499082,27
1,Street Resurface Menu(1-5),N POINT ST & W CHANAY ST (2078 N) & W CHANAY ST (2078 N),2011,21539,431,2078 N POINT ST,2078 N POINT ST,41.9184267,-87.6957129,google,41.9184267,-87.6957129,google,"c(-87.6957129, 41.9184267)",01034,34,1134721.41495,5720.94319263,1
50,Street Resurface Menu,W ROSEMONT AVE & N LEAVITT ST (2200 W) & N LEAVITT ST (2200 W),2011,38915,43185,2200 W ROSEMONT AVE,2200 W ROSEMONT AVE,41.99625,-87.6852055,google,41.99625,-87.6852055,google,"c(-87.6852055, 41.99625)",50032,32,1874148.44149,6631.36371517,50
2,Sidewalk Menu,W WARREN BLVD & N POLLOCK ST (2605 W) & N POLLOCK ST (2605 W),2011,18486,1912,2605 W WARREN BLVD,2605 W WARREN BLVD,41.881782,-87.6914,google,41.881782,-87.6914,google,"c(-87.6914, 41.881782)",27050,50,2402321.5161,7589.29345566,27
35,Street Resurface Menu(1-5),N AVONDALE AVE & W LOGAN(2557 N) & N TALMAN AV (2627 N),2011,56470,30801,2557 N AVONDALE AVE,2627 N AVONDALE AVE,41.9264221,-87.6876231,google,41.9264221,-87.6876231,google,"c(-87.6876231, 41.9264221)",01042,42,1691166.38837,8527.66083464,1
1,Street Resurface Menu,W ATTRILL ST & N MILWAUKEE AV (2675 W) & N STAVE ST (2712 W),2011,28464,428,2675 W ATTRILL ST,2712 W ATTRILL ST,41.9197978,-87.6949781,google,41.9197978,-87.6949781,google,"c(-87.6949781, 41.9197978)",01013,13,1169791.32836,5014.24237833,1
11,Curb/Gutter Menu,S HILLOCK AVE & S BONFIELD ST (2750 S) & S BONFIELD ST (2750 S),2011,25596,8783,2750 S HILLOCK AVE,2750 S HILLOCK AVE,41.8442314,-87.6594886,google,41.8442314,-87.6594886,google,"c(-87.6594886, 41.8442314)",11001,1,6010344.86622,11579.7307851,11
33,Sidewalk Menu,W SUNNYSIDE AVE & N RICHMOND ST (2932 W) & N RICHMOND ST (2932 W),2011,39066,28941,2932 W SUNNYSIDE AVE,2932 W SUNNYSIDE AVE,41.9632068,-87.7023397,google,41.9632068,-87.7023397,google,"c(-87.7023397, 41.9632068)",33008,8,2151778.57894,6482.77676807,33
43,Sidewalk Menu,W SCHILLER ST & N NORTH PARK AV (310 W) & N NORTH PARK AV (310 W),2011,8663,37485,310 W SCHILLER ST,310 W SCHILLER ST,41.9077309,-87.6367972,google,41.9077309,-87.6367972,google,"c(-87.6367972, 41.9077309)",27046,46,996607.400287,4095.30809279,27
33,Sidewalk Menu,W SUNNYSIDE AVE & N ALBANY AV (3100 W) & N ALBANY AV (3100 W),2011,11138,28943,3100 W SUNNYSIDE AVE,3100 W SUNNYSIDE AVE,41.96303,-87.7058504,google,41.96303,-87.7058504,google,"c(-87.7058504, 41.96303)",33020,20,2068662.29971,6226.43570666,33
33,Curb/Gutter Menu,W WAVELAND AVE & N TROY ST (3132 W) & N TROY ST (3132 W),2011,8558,28936,3132 W WAVELAND AVE,3132 W WAVELAND AVE,41.9485875,-87.7066826,google,41.9485875,-87.7066826,google,"c(-87.7066826, 41.9485875)",33012,12,1958775.1062,6729.77863114,33
32,Curb/Gutter Menu,N LEAVITT ST & W BELMONT AV (3200 N) & W BELMONT AV (3200 N),2011,2206,28169,3200 N LEAVITT ST,3200 N LEAVITT ST,41.939533,-87.6832068,google,41.939533,-87.6832068,google,"c(-87.6832068, 41.939533)",32019,19,1809825.58058,6967.50413107,32
44,Curb/Gutter Menu,N SHEFFIELD AVE & W BELMONT AV (3200 N) & W BELMONT AV (3200 N),2011,4497,38310,3200 N SHEFFIELD AVE,3200 N SHEFFIELD AVE,41.94011,-87.654299,google,41.94011,-87.654299,google,"c(-87.654299, 41.94011)",44039,39,1211434.6644600001,5315.48962214,44
11,Sidewalk Menu,S MAY ST & W 32 ST (3200 S) & W 32 ST (3200 S),2011,31181,8795,3200 S MAY ST,3200 S MAY ST,41.836009,-87.6548962,google,41.836009,-87.6548962,google,"c(-87.6548962, 41.836009)",11017,17,1948515.96249,6952.81568711,11
14,Sidewalk Menu,W 43RD ST & W POPE JOHN PAUL II DR (3150 W) & S SAWYER AV (3230 W),2011,9299,12260,3230 W 43RD ST,3230 W 43RD ST,41.8156046,-87.7051184,google,41.8156046,-87.7051184,google,"c(-87.7051184, 41.8156046)",14016,16,9217284.90959,13235.8080992,14
44,Curb/Gutter Menu,N RACINE AVE & W ROSCOE ST (3400 N) & W ROSCOE ST (3400 N),2011,1219,38298,3400 N RACINE AVE,3400 N RACINE AVE,41.9434985,-87.6590564,google,41.9434985,-87.6590564,google,"c(-87.6590564, 41.9434985)",44038,38,1741165.82739,5567.10042446,44
3,Sidewalk Menu,W 42ND PL & S SHIELDS AV (342 W) & S SHIELDS AV (342 W),2011,20538,2727,342 W 42ND PL,342 W 42ND PL,41.8174648,-87.6352661,google,41.8174648,-87.6352661,google,"c(-87.6352661, 41.8174648)",03028,28,4161352.46529,8520.69550164,3
30,Sidewalk Menu,N LOWELL AVE & W CORNELIA AV (3500 N) & W CORNELIA AV (3500 N),2011,80932,26044,3500 N LOWELL AVE,3500 N LOWELL AVE,41.9445831,-87.7362198,google,41.9445831,-87.7362198,google,"c(-87.7362198, 41.9445831)",30007,7,2773150.68748,7709.68934024,30
44,Curb/Gutter Menu,N SHEFFIELD AVE & W CORNELIA AV (3500 N) & W CORNELIA AV (3500 N),2011,2510,38316,3500 N SHEFFIELD AVE,3500 N SHEFFIELD AVE,41.9457829,-87.6546339,google,41.9457829,-87.6546339,google,"c(-87.6546339, 41.9457829)",44038,38,1741165.82739,5567.10042446,44
11,Street Resurface Menu(1-5),S HERMITAGE AVE & W 35 ST (3500 S) & W 35 ST (3500 S),2011,50190,8804,3500 S HERMITAGE AVE,3500 S HERMITAGE AVE,41.8304547,-87.6691689,google,41.8304547,-87.6691689,google,"c(-87.6691689, 41.8304547)",12023,23,2328345.08382,7289.11798139,12
38,Curb/Gutter Menu,N MAJOR AVE & W ADDISON ST (3600 N) & W ADDISON ST (3600 N),2011,11367,33472,3600 N MAJOR AVE,3600 N MAJOR AVE,41.9458586,-87.7691849,google,41.9458586,-87.7691849,google,"c(-87.7691849, 41.9458586)",36016,16,2837354.69173,8767.3347336,36
47,Street Resurface Menu,N CAMPBELL AVE & W WAVELAND AV (3700 N) & W WAVELAND AV (3700 N),2011,22316,40688,3700 N CAMPBELL AVE,3700 N CAMPBELL AVE,41.9490896,-87.690752,google,41.9490896,-87.690752,google,"c(-87.690752, 41.9490896)",47046,46,6258625.78136,11540.9920859,47
24,Sidewalk Menu,W 19TH ST & S LAWNDALE AV (3700 W) & S LAWNDALE AV (3700 W),2011,6045,20876,3700 W 19TH ST,3700 W 19TH ST,41.8550688,-87.7175487,google,41.8550688,-87.7175487,google,"c(-87.7175487, 41.8550688)",24006,6,1525434.85587,6026.06056576,24
38,Street Resurface Menu,N MENARD AVE & W WARWICK AV (3732 N) & W WARWICK AV (3732 N),2011,39431,33481,3732 N MENARD AVE,3732 N MENARD AVE,41.9485841,-87.7717206,google,41.9485841,-87.7717206,google,"c(-87.7717206, 41.9485841)",38023,23,2594796.51051,8303.68639274,38
44,Curb/Gutter Menu,N CLARK ST & N RACINE AV (3771 N) & N RACINE AV (3771 N),2011,1718,38295,3771 N CLARK ST,3771 N CLARK ST,41.9508584,-87.6591393,google,41.9508584,-87.6591393,google,"c(-87.6591393, 41.9508584)",44031,31,3245906.75837,9136.56507993,44
33,Street Resurface Menu,N SPAULDING AVE & W GRACE ST (3800 N) & W GRACE ST (3800 N),2011,79947,28953,3800 N SPAULDING AVE,3800 N SPAULDING AVE,41.9511402,-87.7108216,google,41.9511402,-87.7108216,google,"c(-87.7108216, 41.9511402)",33016,16,2782388.7078,7375.73549419,33
35,Street Resurface Menu,N BERNARD ST & W BYRON ST (3900 N) & W BYRON ST (3900 N),2011,57315,30787,3900 N BERNARD ST,3900 N BERNARD ST,41.9521607,-87.7143176,google,41.9521607,-87.7143176,google,"c(-87.7143176, 41.9521607)",35026,26,2218119.82234,7990.53939454,35
44,Curb/Gutter Menu,N JANSSEN AVE & W BYRON ST (3900 N) & W BYRON ST (3900 N),2011,2348,38319,3900 N JANSSEN AVE,3900 N JANSSEN AVE,41.9526878,-87.6660366,google,41.9526878,-87.6660366,google,"c(-87.6660366, 41.9526878)",47044,44,1071824.89401,4661.2388382,47
47,Sidewalk Menu,N ASHLAND AVE & W IRVING PARK RD (4000 N) & W IRVING PARK RD (4000 N),2011,1690,40679,4000 N ASHLAND AVE,4000 N ASHLAND AVE,41.9547561,-87.6687866,google,41.9547561,-87.6687866,google,"c(-87.6687866, 41.9547561)",47024,24,1581896.3235,6047.37864549,47
6,Street Speed Hump Menu,W NORMAL PKWY & S STEWART AV (407 W) & S STEWART AV (407 W),2011,3700,4793,407 W NORMAL PKWY,407 W NORMAL PKWY,41.771446,-87.6349966,google,41.771446,-87.6349966,google,"c(-87.6349966, 41.771446)",06015,15,6563452.57703,10961.5898924,6
33,Sidewalk Menu,N FRANCISCO AVE & W BELLE PLAINE AV (4100 N) & W BELLE PLAINE AV (4100 N),2011,34055,28944,4100 N FRANCISCO AVE,4100 N FRANCISCO AVE,41.955923,-87.7010381,google,41.955923,-87.7010381,google,"c(-87.7010381, 41.955923)",33025,25,3180666.42123,7418.78899568,33
30,Sidewalk Menu,W ROSCOE ST & N KEELER AV (4200 W) & N KEELER AV (4200 W),2011,15869,26055,4200 W ROSCOE ST,4200 W ROSCOE ST,41.9426638,-87.732126,google,41.9426638,-87.732126,google,"c(-87.732126, 41.9426638)",30023,23,2851768.55363,9000.88511689,30
27,Curb/Gutter Menu,N HALSTED ST & W HUBBARD ST (430 N) & W HUBBARD ST (430 N),2011,4712,23550,430 N HALSTED ST,430 N HALSTED ST,41.8899508,-87.6479523,google,41.8899508,-87.6479523,google,"c(-87.6479523, 41.8899508)",27001,1,3264474.75255,10443.9729778,27
31,Sidewalk Menu,W DIVERSEY AVE & N KENNETH AV (4432 W) & N KENNETH AV (4432 W),2011,13366,27234,4432 W DIVERSEY AVE,4432 W DIVERSEY AVE,41.9317534,-87.7381682,google,41.9317534,-87.7381682,google,"c(-87.7381682, 41.9317534)",31024,24,1827187.57582,8761.6199852,31
23,Sidewalk Menu,S LAPORTE AVE & W 45 ST (4500 S) & W 45 ST (4500 S),2011,1715,19694,4500 S LAPORTE AVE,4500 S LAPORTE AVE,41.8111138,-87.7471726,google,41.8111138,-87.7471726,google,"c(-87.7471726, 41.8111138)",22001,1,2662708.87812,6659.64204574,22
45,Street Resurface Menu,N MOODY AVE & W ARGYLE ST (5000 N) & W ARGYLE ST (5000 N),2011,147159,39225,5000 N MOODY AVE,5000 N MOODY AVE,41.9721945,-87.7821704,google,41.9721945,-87.7821704,google,"c(-87.7821704, 41.9721945)",45023,23,2630858.3588,7955.4959024,45
41,Curb/Gutter Menu,N NEWLAND AVE & W ARGYLE ST (5000 N) & W ARGYLE ST (5000 N),2011,20436,35812,5000 N NEWLAND AVE,5000 N NEWLAND AVE,41.9721827,-87.8002131,google,41.9721827,-87.8002131,google,"c(-87.8002131, 41.9721827)",41024,24,2808329.55011,6901.24958274,41
41,Curb/Gutter Menu,N RUTHERFORD AVE & W FOSTER AV (5200 N) & W FOSTER AV (5200 N),2011,2929,35813,5200 N RUTHERFORD AVE,5200 N RUTHERFORD AVE,41.9755888,-87.7951428,google,41.9755888,-87.7951428,google,"c(-87.7951428, 41.9755888)",45048,48,2437140.68423,6909.70853322,45
13,Street Bump Outs Menu,W 63RD PL & S LATROBE AV (5232 W) & S LATROBE AV (5232 W),2011,12761,10761,5232 W 63RD PL,5232 W 63RD PL,41.7773805,-87.753191,google,41.7773805,-87.753191,google,"c(-87.753191, 41.7773805)",13027,27,2356162.6348,6670.71428409,13
45,Street Resurface Menu,N LAPORTE AVE & W BERWYN AV (5320 N) & W BERWYN AV (5320 N),2011,55100,39226,5320 N LAPORTE AVE,5320 N LAPORTE AVE,41.978515,-87.752155,google,41.978515,-87.752155,google,"c(-87.752155, 41.978515)",39041,41,4655506.24713,12716.123578,39
23,Sidewalk Menu,S NEVA AVE & W 54 ST (5400 S) & W 54 ST (5400 S),2011,7441,19697,5400 S NEVA AVE,5400 S NEVA AVE,41.7938438,-87.800587,google,41.7938438,-87.800587,google,"c(-87.800587, 41.7938438)",23036,36,2582236.50563,6833.12527185,23
40,Sidewalk Menu,N CALIFORNIA AVE & W BRYN MAWR AV (5600 N) & W BRYN MAWR AV (5600 N),2011,4514,34999,5600 N CALIFORNIA AVE,5600 N CALIFORNIA AVE,41.9834467,-87.6991541,google,41.9834467,-87.6991541,google,"c(-87.6991541, 41.9834467)",40024,24,2277514.71616,7572.60440005,40
39,Street Resurface Menu,N KIRBY AVE & N KERCHEVAL AV (5723 N) & N CALDWELL AV (5775 N),2011,28769,34258,5723 N KIRBY AVE,5775 N KIRBY AVE,41.9850946,-87.7446269,google,41.9850946,-87.7446269,google,"c(-87.7446269, 41.9850946)",39001,1,2861091.28631,6888.119912,39
2,Street Resurface Menu(1-5),S CAMPBELL AVE & W HARRISON ST (600 S) & W HARRISON ST (600 S),2011,23161,1924,600 S CAMPBELL AVE,600 S CAMPBELL AVE,41.8737371,-87.6886622,google,41.8737371,-87.6886622,google,"c(-87.6886622, 41.8737371)",28011,11,5596357.98831,10883.2439211,28
13,Sidewalk Menu,S KILPATRICK AVE & W 61 ST (6100 S) & W 61 ST (6100 S),2011,3171,10758,6100 S KILPATRICK AVE,6100 S KILPATRICK AVE,41.7819643,-87.7402495,google,41.7819643,-87.7402495,google,"c(-87.7402495, 41.7819643)",13025,25,3508218.22365,7960.90427498,13
20,Sidewalk Menu,S PRAIRIE AVE & E 61 ST (6100 S) & E 61 ST (6100 S),2011,14986,17142,6100 S PRAIRIE AVE,6100 S PRAIRIE AVE,41.783666,-87.6194707,google,41.783666,-87.6194707,google,"c(-87.6194707, 41.783666)",20007,7,3367757.26989,7960.5645209,20
20,Street Speed Hump Menu,S VERNON AVE & E 61 ST (6100 S) & E 61 ST (6100 S),2011,3700,17170,6100 S VERNON AVE,6100 S VERNON AVE,41.783992,-87.6147058,google,41.783992,-87.6147058,google,"c(-87.6147058, 41.783992)",20019,19,1541976.81239,5966.22810154,20
45,Street Resurface Menu(1-5),W MATSON AVE & N MEADE AV (6100 W) & N ELSTON AV (6130 W),2011,24164,39230,6100 W MATSON AVE,6130 W MATSON AVE,41.9916351,-87.7811236,google,41.9916351,-87.7811236,google,"c(-87.7811236, 41.9916351)",39020,20,3130216.68903,8330.44863724,39
39,Street Resurface Menu,N KEATING AVE & N HIAWATHA AV (6136 N) & N HIAWATHA AV (6136 N),2011,7245,34263,6136 N KEATING AVE,6136 N KEATING AVE,41.9925177,-87.7474518,google,41.9925177,-87.7474518,google,"c(-87.7474518, 41.9925177)",39015,15,6086098.87201,9823.81603406,39
20,Street Speed Hump Menu,S CALUMET AVE & E 63 ST (6300 S) & E 63 ST (6300 S),2011,1850,17181,6300 S CALUMET AVE,6300 S CALUMET AVE,41.7801739,-87.6172541,google,41.7801739,-87.6172541,google,"c(-87.6172541, 41.7801739)",20035,35,8714197.24605,15167.6119889,20
20,Street Speed Hump Menu,S ST LAWRENCE AVE & E 63 ST (6300 S) & E 63 ST (6300 S),2011,3700,17182,6300 S ST LAWRENCE AVE,6300 S ST LAWRENCE AVE,41.7797163,-87.6110132,google,41.7797163,-87.6110132,google,"c(-87.6110132, 41.7797163)",20033,33,2193824.09008,6617.63792485,20
41,Street Resurface Menu,N NAVAJO AVE & N LEOTI AV (6322 N) & N LEOTI AV (6322 N),2011,971,35833,6322 N NAVAJO AVE,6322 N NAVAJO AVE,41.9967422,-87.7587657,google,41.9967422,-87.7587657,google,"c(-87.7587657, 41.9967422)",39044,44,2689170.14436,8184.8486191,39
2,Pole Painting,W MONROE ST & E KENNEDY ENTR RP (713 W) & S DESPLAINES ST (640 W),2011,3800,1874,640 W MONROE ST,640 W MONROE ST,41.8807712,-87.6436171,google,41.8807712,-87.6436171,google,"c(-87.6436171, 41.8807712)",42003,3,1235551.64737,5422.94974175,42
2,Street Lighting,W MONROE ST & E KENNEDY ENTR RP (713 W) & S DESPLAINES ST (640 W),2011,2550,1888,640 W MONROE ST,640 W MONROE ST,41.8807712,-87.6436171,google,41.8807712,-87.6436171,google,"c(-87.6436171, 41.8807712)",42003,3,1235551.64737,5422.94974175,42
20,Sidewalk Menu,S STEWART AVE & W 64 ST (6400 S) & W 64 ST (6400 S),2011,8987,17147,6400 S STEWART AVE,6400 S STEWART AVE,41.7778624,-87.6354884,google,41.7778624,-87.6354884,google,"c(-87.6354884, 41.7778624)",20029,29,4269570.51213,10168.3082792,20
41,Curb/Gutter Menu,N AVONDALE AVE & N OGALLAH AV (6524 N) & N OGALLAH AV (6524 N),2011,10923,35808,6524 N AVONDALE AVE,6524 N AVONDALE AVE,41.99908,-87.8141276,google,41.99908,-87.8141276,google,"c(-87.8141276, 41.99908)",41007,7,3901972.41682,9156.1564981,41
41,Curb/Gutter Menu,N NORTHWEST HWY & N OVERHILL AV (6832 N) & N OVERHILL AV (6832 N),2011,42166,35809,6832 N NORTHWEST HWY,6832 N NORTHWEST HWY,42.0048689,-87.8201162,google,42.0048689,-87.8201162,google,"c(-87.8201162, 42.0048689)",41005,5,3122740.45291,9769.86969674,41
6,Street Resurface Menu,S LAFAYETTE AVE & W 73 ST (7300 S) & W 73 ST (7300 S),2011,37040,4788,7300 S LAFAYETTE AVE,7300 S LAFAYETTE AVE,41.7617181,-87.6267672,google,41.7617181,-87.6267672,google,"c(-87.6267672, 41.7617181)",06047,47,2955380.51024,7687.79033419,6
44,Sidewalk Menu,W ALDINE AVE & N HALSTED ST (800 W) & W SCHOOL ST (921 W),2011,3238,38335,800 W ALDINE AVE,800 W ALDINE AVE,41.941783,-87.6499291,google,41.941783,-87.6499291,google,"c(-87.6499291, 41.941783)",44034,34,1017184.84478,5404.90745616,44
44,Curb/Gutter Menu,W BUCKINGHAM PL & N HALSTED ST (800 W) & N HALSTED ST (800 W),2011,9604,38303,800 W BUCKINGHAM PL,800 W BUCKINGHAM PL,41.94289,-87.64958,google,41.94289,-87.64958,google,"c(-87.64958, 41.94289)",44034,34,1017184.84478,5404.90745616,44
44,Curb/Gutter Menu,W BARRY AVE & N WILTON AV (932 W) & N WILTON AV (932 W),2011,1617,38305,932 W BARRY AVE,932 W BARRY AVE,41.9383136,-87.653032,google,41.9383136,-87.653032,google,"c(-87.653032, 41.9383136)",44020,20,1626154.1392,6702.68023482,44
8,Sidewalk Menu,S DREXEL AVE & E 98 ST (9800 S) & E 98 ST (9800 S),2011,27848,6153,9800 S DREXEL AVE,9800 S DREXEL AVE,41.7164867,-87.6020706,google,41.7164867,-87.6020706,google,"c(-87.6020706, 41.7164867)",08047,47,2342994.39174,6211.71793843,8
49,Chicago Park District,IBeach access ramp & boardwalk-Jarvis & Lake and,2011,97000,42510,IBeach access ramp & boardwalk-Jarvis,IBeach access ramp & Lake and,42.0159136,-87.669144,google,NA,NA,google,"c(-87.669144, 42.0159136)",49011,11,2033854.53901,7295.68585913,49
26,Miscellaneous-CDOT,"Installation of Street Cleaning Signs & sections 3 , 4 , 5 ,6 &",2010,85528,22538,"Installation of Street Cleaning Signs & sections 3 , 4 , 5 ,6",Installation of Street Cleaning Signs &,41.7679382,-87.8140025,google,41.7679382,-87.8140025,google,"c(-87.8140025, 41.7679382)",NA,NA,NA,NA,NA
32,Miscellaneous-CDOT,Lincoln & Barry & Greenview,2010,44,28129,Lincoln & Barry,Lincoln & Greenview,41.9378983,-87.6661648,google,41.9378983,-87.6661648,google,"c(-87.6661648, 41.9378983)",32007,7,1314433.74279,5290.80341089,32
32,Miscellaneous-CDOT,Lincoln & Wellington & Southport,2009,2300,28063,Southport & Wellington,Lincoln & Southport,41.9361388,-87.663677,google,41.9361388,-87.663677,google,"c(-87.663677, 41.9361388)",32023,23,1538629.95346,5840.56635669,32
36,Miscellaneous-CDOT,N. Oak & Belden & Railroad Track,2008,2000,31594,N. Oak & Belden,N. Oak & Railroad Track,NA,NA,google,41.9815154,-87.9396873,google,"c(-87.9396873, 41.9815154)",41027,27,309076162.776,139749.430317,41
2,Traffic Equipment,W ROOSEVELT RD & S ASHLAND & W AVE,2012,3500,2032,S ASHLAND & W ROOSEVELT RD,S ASHLAND & W AVE,41.8667957,-87.666311,google,NA,NA,google,"c(-87.666311, 41.8667957)",28005,5,10576598.9118,13254.8160792,28
12,Alley Speed Hump Menu,S ROCKWELLS WASHTENAW AVE & W 24TH PL & W 24TH ST,2011,1650,9755,S ROCKWELLS WASHTENAW AVE & W 24TH PL,S ROCKWELLS WASHTENAW AVE & W 24TH ST,41.8476994,-87.6928497,google,41.8476994,-87.6928497,google,"c(-87.6928497, 41.8476994)",12018,18,2308943.49307,8180.47002002,12
43,Miscellaneous-CDOT,State & North & Astor,2009,332164,37370,State & North,State & Astor,NA,NA,google,41.9078216,-87.6275552,google,"c(-87.6275552, 41.9078216)",43043,43,502378.477084,3127.90846675,43
