ward_locate,precinct_locate,ward_precinct_locate,year,weighted_cost
1,19,01019,2007,0
1,19,01019,2008,19.8976578733325
1,19,01019,2009,0
1,19,01019,2010,0
1,19,01019,2011,0
1,19,01019,2012,0
1,19,01019,2013,0
1,19,01019,2014,0
1,19,01019,2015,0
1,19,01019,2016,0
1,19,01019,2017,0
1,19,01019,2018,0
1,19,01019,2019,0
1,19,01019,2020,0
1,19,01019,2021,0
1,19,01019,2022,0
1,20,01020,2003,0
1,20,01020,2004,0
1,20,01020,2005,0
1,20,01020,2006,24475.197287486022
1,20,01020,2007,19.315237740085713
1,20,01020,2008,0
1,20,01020,2009,60646.129611213815
1,20,01020,2010,0
1,20,01020,2011,71313.99999961226
1,20,01020,2012,34543
1,20,01020,2013,50776.84838465988
1,20,01020,2014,0
1,20,01020,2015,9260.943081086416
1,20,01020,2016,0
1,20,01020,2017,0
1,20,01020,2018,12698.904119154606
1,20,01020,2019,0
1,20,01020,2020,0
1,20,01020,2021,5425.27
1,20,01020,2022,0
1,21,01021,2003,0
1,21,01021,2004,0
1,21,01021,2005,54735
1,21,01021,2006,114700.33764410824
1,21,01021,2007,141935.07316456427
1,21,01021,2008,160377.95994991687
1,21,01021,2009,0
1,21,01021,2010,0
1,21,01021,2011,27001.152169177516
1,21,01021,2012,11920.10542687521
1,21,01021,2013,3.34702882412141
1,21,01021,2014,0
1,21,01021,2015,34.85491984672216
1,21,01021,2016,7919.53
1,21,01021,2017,19187.7
1,21,01021,2018,0
1,21,01021,2019,22454.92
1,21,01021,2020,1447.0159801830152
1,21,01021,2021,7669.699999920801
1,21,01021,2022,30470.525991127484
1,22,01022,2003,0
1,22,01022,2004,0
1,22,01022,2005,25818.398877485663
1,22,01022,2006,49832.79274506787
1,22,01022,2007,3676.25509767512
1,22,01022,2008,3924.5739307492877
1,22,01022,2009,0
1,22,01022,2010,0
1,22,01022,2011,0
1,22,01022,2012,0
1,22,01022,2013,350
1,22,01022,2014,0
1,22,01022,2015,0
1,22,01022,2016,0
1,22,01022,2017,17125.798047960372
1,22,01022,2018,0
1,22,01022,2019,0
1,22,01022,2020,19825.78186744337
1,22,01022,2021,0
1,22,01022,2022,0
1,23,01023,2003,0
1,23,01023,2004,0
1,23,01023,2005,0
1,23,01023,2006,10842.023609010008
1,23,01023,2007,1174.5376372523501
1,23,01023,2008,24831.46077713615
1,23,01023,2009,3513.1739442746057
1,23,01023,2010,0
1,23,01023,2011,70995.91765724562
1,23,01023,2012,700.8011470838588
1,23,01023,2013,0
1,23,01023,2014,500
1,23,01023,2015,12031.048682139844
1,23,01023,2016,1838.1742267235745
1,23,01023,2017,4.074367533525873
1,23,01023,2018,0
1,23,01023,2019,6874.11
1,23,01023,2020,88398.20818925263
1,23,01023,2021,26598.01
1,23,01023,2022,113061.34942608712
1,24,01024,2003,0
1,24,01024,2004,0
1,24,01024,2005,46293.491879001864
1,24,01024,2006,2952.457204380279
1,24,01024,2007,3300
1,24,01024,2008,50000
1,24,01024,2009,22.81190610196249
1,24,01024,2010,236746.05284721998
1,24,01024,2011,1434.938063804306
1,24,01024,2012,3627.668744527409
1,24,01024,2013,450000
1,24,01024,2014,300000
1,24,01024,2015,445000
1,24,01024,2016,1400
1,24,01024,2017,416.49793186098145
1,24,01024,2018,0
1,24,01024,2019,43037.38500511016
1,24,01024,2020,113429.50377872784
1,24,01024,2021,10956.820921104478
1,24,01024,2022,0
1,25,01025,2003,0
1,25,01025,2004,0
1,25,01025,2005,0
1,25,01025,2006,21714.10979981458
1,25,01025,2007,0
1,25,01025,2008,498.0347556109846
1,25,01025,2009,62963.612352430915
1,25,01025,2010,0
1,25,01025,2011,0
1,25,01025,2012,0
1,25,01025,2013,0
1,25,01025,2014,699.4571904006154
1,25,01025,2015,0
1,25,01025,2016,0
1,25,01025,2017,0
1,25,01025,2018,0
1,25,01025,2019,0
1,25,01025,2020,0
1,25,01025,2021,0
1,25,01025,2022,0
1,26,01026,2003,0
1,26,01026,2004,0
1,26,01026,2005,3.7100060555259486
1,26,01026,2006,43966.8506638303
1,26,01026,2007,0
1,26,01026,2008,0.005294475303138277
1,26,01026,2009,36.38490878359139
1,26,01026,2010,0
1,26,01026,2011,660.7300747189912
1,26,01026,2012,0
1,26,01026,2013,0
1,26,01026,2014,8900.542809420122
1,26,01026,2015,0
1,26,01026,2016,0
1,26,01026,2017,0
1,26,01026,2018,0
1,26,01026,2019,0
1,26,01026,2020,0
1,26,01026,2021,0
1,26,01026,2022,0
1,27,01027,2003,0
1,27,01027,2004,0
1,27,01027,2005,3500
1,27,01027,2006,10105.236238338885
1,27,01027,2007,2.8292463547509823
1,27,01027,2008,1749.999999999985
1,27,01027,2009,95142.52274576893
1,27,01027,2010,0
1,27,01027,2011,22715.342080591272
1,27,01027,2012,130350.71052690453
1,27,01027,2013,0
1,27,01027,2014,36711.40391953988
1,27,01027,2015,0
1,27,01027,2016,0
1,27,01027,2017,57431.47620187877
1,27,01027,2018,151250.56900279786
1,27,01027,2019,359557.13488015515
1,27,01027,2020,0
1,27,01027,2021,324440.49
1,27,01027,2022,0
1,28,01028,2003,0
1,28,01028,2004,0
1,28,01028,2005,0
1,28,01028,2006,11271.433793847995
1,28,01028,2007,0
1,28,01028,2008,55620.55163354839
1,28,01028,2009,0
1,28,01028,2010,0
1,28,01028,2011,23626.090442046723
1,28,01028,2012,0
1,28,01028,2013,0
1,28,01028,2014,0
1,28,01028,2015,0
1,28,01028,2016,0
1,28,01028,2017,0
1,28,01028,2018,0
1,28,01028,2019,0
1,28,01028,2020,0
1,28,01028,2021,0
1,28,01028,2022,0
1,29,01029,2003,0
1,29,01029,2004,0
1,29,01029,2005,6259.067687999494
1,29,01029,2006,54878.22191970117
1,29,01029,2007,17506.127180123614
1,29,01029,2008,5631.216549613835
1,29,01029,2009,3474.598382668686
1,29,01029,2010,59985.99999968623
1,29,01029,2011,5531.960759997244
1,29,01029,2012,136085.2741782253
1,29,01029,2013,17600.848731244958
1,29,01029,2014,52959.59608035978
1,29,01029,2015,90000
1,29,01029,2016,28735.04
1,29,01029,2017,1545.4843271029783
1,29,01029,2018,6738.43450488587
1,29,01029,2019,2231.003954457671
1,29,01029,2020,80860.84
1,29,01029,2021,97271.71
1,29,01029,2022,0
1,30,01030,2003,0
1,30,01030,2004,0
1,30,01030,2005,0
