ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,year,weighted_cost
23008,8,37466929.6598,24643.3812586,23,2005,32225.000000084958
23008,8,37466929.6598,24643.3812586,23,2006,35518.3714920432
23008,8,37466929.6598,24643.3812586,23,2007,2332.2001389360707
23008,8,37466929.6598,24643.3812586,23,2008,16659
23008,8,37466929.6598,24643.3812586,23,2009,74573.54504049294
23008,8,37466929.6598,24643.3812586,23,2010,39753.111215156896
23008,8,37466929.6598,24643.3812586,23,2011,0
23008,8,37466929.6598,24643.3812586,23,2012,768.6252106418266
23008,8,37466929.6598,24643.3812586,23,2013,920.9087927225638
23008,8,37466929.6598,24643.3812586,23,2014,4636.349672596478
23008,8,37466929.6598,24643.3812586,23,2015,21266.968406955097
23008,8,37466929.6598,24643.3812586,23,2016,26863.76
23008,8,37466929.6598,24643.3812586,23,2017,0
23008,8,37466929.6598,24643.3812586,23,2018,7663.990070911211
23008,8,37466929.6598,24643.3812586,23,2019,17443.89
23008,8,37466929.6598,24643.3812586,23,2020,245435.07999999775
23008,8,37466929.6598,24643.3812586,23,2021,45655.14
23008,8,37466929.6598,24643.3812586,23,2022,3.0710859771421735
23009,9,2043073.40381,6630.59521096,23,2003,0
23009,9,2043073.40381,6630.59521096,23,2004,0
23009,9,2043073.40381,6630.59521096,23,2005,6036.646313255419
23009,9,2043073.40381,6630.59521096,23,2006,248.14716851398197
23009,9,2043073.40381,6630.59521096,23,2007,12.42086487175728
23009,9,2043073.40381,6630.59521096,23,2008,6159.157279385485
23009,9,2043073.40381,6630.59521096,23,2009,655.8645683362626
23009,9,2043073.40381,6630.59521096,23,2010,12751.8311319676
23009,9,2043073.40381,6630.59521096,23,2011,550.0000000026743
23009,9,2043073.40381,6630.59521096,23,2012,51865.76110559372
23009,9,2043073.40381,6630.59521096,23,2013,13184.708921348138
23009,9,2043073.40381,6630.59521096,23,2014,3105.600739602022
23009,9,2043073.40381,6630.59521096,23,2015,7.182921508278136
23009,9,2043073.40381,6630.59521096,23,2016,55348.844291740614
23009,9,2043073.40381,6630.59521096,23,2017,0
23009,9,2043073.40381,6630.59521096,23,2018,996.2460223267792
23009,9,2043073.40381,6630.59521096,23,2019,0
23009,9,2043073.40381,6630.59521096,23,2020,28719.95
23009,9,2043073.40381,6630.59521096,23,2021,27906.958735084623
23009,9,2043073.40381,6630.59521096,23,2022,14327.289999981556
23010,10,3265825.33868,10305.5476366,23,2003,0
23010,10,3265825.33868,10305.5476366,23,2004,0
23010,10,3265825.33868,10305.5476366,23,2005,0
23010,10,3265825.33868,10305.5476366,23,2006,0
23010,10,3265825.33868,10305.5476366,23,2007,0
23010,10,3265825.33868,10305.5476366,23,2008,0
23010,10,3265825.33868,10305.5476366,23,2009,0
23010,10,3265825.33868,10305.5476366,23,2010,0
23010,10,3265825.33868,10305.5476366,23,2011,0
23010,10,3265825.33868,10305.5476366,23,2012,0
23010,10,3265825.33868,10305.5476366,23,2013,0
23010,10,3265825.33868,10305.5476366,23,2014,0
23010,10,3265825.33868,10305.5476366,23,2015,0
23010,10,3265825.33868,10305.5476366,23,2016,7820.269999982459
23010,10,3265825.33868,10305.5476366,23,2017,4287.272765435535
23010,10,3265825.33868,10305.5476366,23,2018,6522.63
23010,10,3265825.33868,10305.5476366,23,2019,3659.9
23010,10,3265825.33868,10305.5476366,23,2020,0
23010,10,3265825.33868,10305.5476366,23,2021,26682.689999999315
23010,10,3265825.33868,10305.5476366,23,2022,4700
23011,11,2760637.56498,7018.01805837,23,2003,0
23011,11,2760637.56498,7018.01805837,23,2004,0
23011,11,2760637.56498,7018.01805837,23,2005,0
23011,11,2760637.56498,7018.01805837,23,2006,0
23011,11,2760637.56498,7018.01805837,23,2007,0
23011,11,2760637.56498,7018.01805837,23,2008,0
23011,11,2760637.56498,7018.01805837,23,2009,0
23011,11,2760637.56498,7018.01805837,23,2010,0
23011,11,2760637.56498,7018.01805837,23,2011,0
23011,11,2760637.56498,7018.01805837,23,2012,0
23011,11,2760637.56498,7018.01805837,23,2013,0
23011,11,2760637.56498,7018.01805837,23,2014,13096.232791127411
23011,11,2760637.56498,7018.01805837,23,2015,0
23011,11,2760637.56498,7018.01805837,23,2016,9874.05
23011,11,2760637.56498,7018.01805837,23,2017,115676.40236050595
23011,11,2760637.56498,7018.01805837,23,2018,0
23011,11,2760637.56498,7018.01805837,23,2019,55115.95
23011,11,2760637.56498,7018.01805837,23,2020,0
23011,11,2760637.56498,7018.01805837,23,2021,60389.24751654022
23011,11,2760637.56498,7018.01805837,23,2022,90202.22753078163
23012,12,2448718.0099,8674.41488099,23,2003,0
23012,12,2448718.0099,8674.41488099,23,2004,0
23012,12,2448718.0099,8674.41488099,23,2005,0
23012,12,2448718.0099,8674.41488099,23,2006,0
23012,12,2448718.0099,8674.41488099,23,2007,524.1244418152986
23012,12,2448718.0099,8674.41488099,23,2008,2917.283854542004
23012,12,2448718.0099,8674.41488099,23,2009,0
23012,12,2448718.0099,8674.41488099,23,2010,2053.3163142410162
23012,12,2448718.0099,8674.41488099,23,2011,0
