ward,type,location,cg_blks,sw_blks,humps,blocks,unitcount,estcost,year
01,Sidewalk Menu,W GEORGE ST-- N FAIRFIELD AV (2732 W) -to- N CALIFORNIA AV (2800 W),0.18,0.26,NA,NA,NA,"22,616",2005
01,Sidewalk Menu,W LE MOYNE ST-- N WESTERN AV (2400 W) -to- N ARTESIAN AV (2432 W),0.03,0.24,NA,NA,NA,"13,680",2005
01,Street Resurface Menu,N CAMPBELL AV-- W FULLERTON AV (2400 N) -to- W ALTGELD ST (2500 N),NA,NA,NA,0.95,NA,"23,084",2005
01,Street Resurface Menu,N FAIRFIELD AV-- W NORTH AV (1600 N) -to- W WABANSIA AV (1700 N),NA,NA,NA,0.86,NA,"20,877",2005
01,Street Resurface Menu,N HERMITAGE AV-- W CHICAGO AV (800 N) -to- W WALTON ST (928 N),NA,NA,NA,1.49,NA,"36,335",2005
01,Street Resurface Menu,N MARSHFIELD AV-- W CHICAGO AV (800 N) -to- W WALTON ST (928 N),NA,NA,NA,1.48,NA,"36,133",2005
01,Street Resurface Menu,N OAKLEY BV-- W POTOMAC AV (1300 N) -to- W HIRSCH ST (1400 N),NA,NA,NA,1.05,NA,"25,423",2005
01,Street Resurface Menu,N WINCHESTER AV-- W CHICAGO AV (800 N) -to- W IOWA ST (900 N),NA,NA,NA,0.92,NA,"22,400",2005
01,Street Resurface Menu,N WOOD ST-- W THOMAS ST (1100 N) -to- W DIVISION ST (1200 N),NA,NA,NA,1.17,NA,"28,591",2005
01,Street Resurface Menu,N WOOD ST-- W CHICAGO AV (800 N) -to- W WALTON ST (928 N),NA,NA,NA,1.56,NA,"38,636",2005
01,Street Resurface Menu,W CORTEZ ST-- N WASHTENAW AV (2700 W) -to- N CALIFORNIA AV (2800 W),NA,NA,NA,0.90,NA,"21,898",2005
01,Street Resurface Menu,W CORTLAND ST-- N ROCKWELL ST (2600 W) -to- N WASHTENAW AV (2700 W),NA,NA,NA,1.07,NA,"26,330",2005
01,Street Resurface Menu,W ERIE ST-- N ASHLAND AV (1600 W) -to- N WOOD ST (1800 W),NA,NA,NA,2.30,NA,"55,943",2005
