ward,type,location,estcost,year
4,Alley Resurfacing Menu,S VINCENNES AVE & E 49TH ST & S FORRESTVILLE AVE & E 50TH ST,33201.48,2016
4,Alley Resurfacing Menu,4210 S LANGLEY AVE,7530.83,2016
4,Alley Resurfacing Menu,E 42ND ST & S ST LAWRENCE AVE & E 43RD ST & S CHAMPLAIN AVE:621 E 42ND ST, 15716.76,2016
4,Alley Speed Hump Menu,E OAKWOOD BLVD & S DREXEL BLVD & E 40TH ST & S ELLIS AVE,1400.00,2016
4,Alley Speed Hump Menu,612 E 41ST ST:S VINCENNES AVE & E 40TH ST & S LANGLEY AVE & E 41ST ST, 107.67,2016
4,Alley Speed Hump Menu,848 E 48TH ST:E 48TH ST & S COTTAGE GROVE AVE & S DREXEL BLVD & E 47TH ST, 700.00,2016
4,Curb & Gutter Menu,ON S DR MARTIN LUTHER KING JR DR FROM E 35TH ST (3500 S) TO E 37TH ST (3700 S), 13834.03,2016
4,Curb & Gutter Menu,4210 S LANGLEY AVE,7513.53,2016
4,Curb & Gutter Menu,ON S COTTAGE GROVE AVE FROM E 50TH ST (5000 S) TO E HYDE PARK BLVD (5100 S), 6091.78,2016
4,In-Road State Law Stop For Pedestrians Signs Menu,S PRAIRIE AVE & E 31ST ST, 350.00,2016
4,In-Road State Law Stop For Pedestrians Signs Menu,S PRAIRIE AVE & E 31ST ST, 350.00,2016
4,Left-Turn Arrow Menu,E 47TH ST & S LAKE PARK AVE,167055.00,2016
4,Miscellaneous CDOT Projects,1000 E 43RD ST,831.00,2016
4,Miscellaneous CDOT Projects,4823-4833 S EVANS AVE,414.54,2016
4,Miscellaneous CDOT Projects,4238-4240 S LANGLEY AVE,254.63,2016
4,Pedestrian Countdown Signal Menu,S COTTAGE GROVE AVE & E 35TH ST,11708.00,2016
4,Sidewalk Menu,ON S EVANS AVE FROM E 45TH ST (4500 S) TO E 46TH ST (4600 S),43023.57,2016
4,Sidewalk Menu,645-655 S CLARK ST,16904.47,2016
4,Sidewalk Menu,ON E 47TH DR FROM S LAKE PARK AVE (1399 E) TO S LSD 47TH ST XR (1484 E), 7309.29,2016
4,Sidewalk Menu,1112 S WABASH AVE,6539.65,2016
