ward,type,location,year,est_cost,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
1,Alley Speed Hump Menu,W HIRSCH ST & W POTOMAC AV & N WESTERN AV & N CLAREMONT AV,2008,525,N CLAREMONT AV & W POTOMAC AV,N WESTERN AV & W HIRSCH ST,N CLAREMONT AV & W HIRSCH ST,N WESTERN AV & W POTOMAC AV,41.90486174200004,-87.68593399499997,census,41.90666667100004,-87.68711986199997,census,41.9066869,-87.685888,google,41.9048248,-87.6870047,google
1,Alley Speed Hump Menu,W CHICAGO AV & W SUPERIOR ST & N OAKLEY BV & N WESTERN AV,2008,525,N OAKLEY BV & W CHICAGO AV,N WESTERN AV & W CHICAGO AV,N OAKLEY BV & W SUPERIOR ST,N WESTERN AV & W SUPERIOR ST,41.89578885600008,-87.68439437799998,census,41.8957405,-87.6867655,google,41.8948583,-87.6843616,google,41.894828103000066,-87.68681434999996,census
1,Alley Speed Hump Menu,W CORTEZ ST & W THOMAS ST & N CAMPBELL AV & N WESTERN AV,2008,2000,N CAMPBELL AV & W CORTEZ ST,N WESTERN AV & W CORTEZ ST,N CAMPBELL AV & W THOMAS ST,N WESTERN AV & W THOMAS ST,41.90026701000005,-87.68941923699998,census,41.900295150000034,-87.68695906599999,census,41.9011851,-87.6894377,google,41.9011917,-87.6868986,google
1,Alley Speed Hump Menu,W ELLEN ST & N WICKER PARK AV & N WOOD ST & N WOLCOTT AV,2005,2625,N WICKER PARK AV & W ELLEN ST; N WOOD ST & N WOLCOTT AV,N WOOD ST & W ELLEN ST,N WOLCOTT AV & W ELLEN ST,N WICKER PARK AV & N WOLCOTT AV,41.9077364,-87.6764088,google,41.9055623,-87.672421,google,41.9055106,-87.6747427,google,41.90664657200006,-87.67342812599998,census
1,Alley Resurfacing Menu,N DAMEN AVE & N MILWAUKEE AVE & N HONORE ST & N WICKER PARK AVE,2015,28795,NA,N DAMEN AVE & N MILWAUKEE AVE,N HONORE ST & N MILWAUKEE AVE,N WICKER PARK AVE & N MILWAUKEE AVE,NA,NA,,41.9104738,-87.677496,google,41.9089911,-87.6752894,google,41.9480062,-87.7384381,google
1,Alley Speed Hump Menu,W WABANSIA AV & W ST PAUL AV & N WESTERN AV & N WINNEBAGO AV,2008,2000,N WESTERN AV & W WABANSIA AV,N WINNEBAGO AV & W WABANSIA AV,N WESTERN AV & W ST PAUL AV,N WINNEBAGO AV & W ST PAUL AV,41.9125614,-87.6872167,google,41.91265228300006,-87.68254120999995,census,41.9134718,-87.6872383,google,41.91354067800006,-87.68390797199999,census
1,Alley Speed Hump Menu,W CHICAGO AV & W SUPERIOR ST & N DAMEN AV & N WOLCOTT AV,2009,1050,N DAMEN AV & W SUPERIOR ST,N WOLCOTT AV & W SUPERIOR ST,N DAMEN AV & W CHICAGO AV; N DAMEN AV & N WOLCOTT AV,N WOLCOTT AV & W CHICAGO AV,41.89499693800008,-87.67702190499995,census,41.895033117000025,-87.67458183299999,census,41.9096503,-87.6777658,google,41.8959535,-87.6746056,google
1,Alley Speed Hump Menu,W POTOMAC AV & W EVERGREEN AV & N WOLCOTT AV & N MILWAUKEE AV,2010,2625,N MILWAUKEE AV & W POTOMAC AV; N MILWAUKEE AV & N WOLCOTT AV,N WOLCOTT AV & W EVERGREEN AV,N MILWAUKEE AV & W EVERGREEN AV,N WOLCOTT AV & W POTOMAC AV; N WOLCOTT AV & N MILWAUKEE AV,41.9096503,-87.6777658,google,41.9060225,-87.6759169,google,41.9079583,-87.6736753,google,41.9073058,-87.6726449,google
1,Alley Resurface Menu,W AUGUSTA BV & W THOMAS ST & N HONORE ST & N WOLCOTT AV,2005,5662,N HONORE ST & W AUGUSTA BV; N HONORE ST & N WOLCOTT AV,N WOLCOTT AV & W AUGUSTA BV,N HONORE ST & W THOMAS ST,N WOLCOTT AV & W THOMAS ST,41.8996118,-87.6734863,google,41.8995908,-87.6746955,google,41.9014522,-87.6735524,google,41.9014291,-87.6747638,google
1,Alley Speed Hump Menu,W HURON ST & N DAMEN AVE & W ERIE ST & N WOLCOTT AVE,2015,700,N DAMEN AVE & W HURON ST,N WOLCOTT AVE & W HURON ST,N DAMEN AVE & W ERIE ST,N WOLCOTT AVE & W ERIE ST,41.894096483000055,-87.67699778499997,census,41.894131,-87.6745552,google,41.8931679,-87.6769585,google,41.8932076,-87.6745326,google
