ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
14,Miscellaneous-CDOT,S Maplewood & W 52 ST - W 53 ST,2006,16487,S Maplewood & W 52nd ST,S Maplewood & W 53rd ST,41.7992697,-87.6878409,google,41.7974362,-87.6877968,google
14,Miscellaneous-CDOT,S Maplewood & W 53 ST - W 54 ST,2006,15805,S Maplewood & W 53rd ST,S Maplewood & W 54th ST,41.7974362,-87.6877968,google,41.7951791,-87.6877347,google
14,Miscellaneous-CDOT,S Maplewood & W 54 ST - W 55 ST,2006,24861,S Maplewood & W 54th ST,S Maplewood & W 55th ST,41.7951791,-87.6877347,google,41.7938078,-87.6877038,google
14,Miscellaneous-CDOT,S Mozart & S Archer - W 42 ST,2006,10738,S Mozart & S Archer,S Mozart & W 42nd ST,41.8183119,-87.697352,google,41.8173252,-87.6957038,google
14,Miscellaneous-CDOT,S Mozart & W 44 ST - W 45 St,2006,17794,S Mozart & W 44th ST,S Mozart & W 45 St,41.813702,-87.6955936,google,41.811886199999996,-87.6955319,google
14,Miscellaneous-CDOT,S Mozart & W 45 St - W 46 St,2006,13593,S Mozart & W 45 St,S Mozart & W 46 St,41.811886199999996,-87.6955319,google,41.8100842,-87.6954854,google
14,Miscellaneous-CDOT,S Mozart & W 46 ST - W 47 St,2006,18322,S Mozart & W 46th ST,S Mozart & W 47 St,41.8100842,-87.6954854,google,41.8082664,-87.6954329,google
14,Miscellaneous-CDOT,S Mozart & W 51ST-W 52ST,2006,8424,S Mozart & W 51ST,S Mozart & W 52ST,41.8009688,-87.6952173,google,41.7991352,-87.6951691,google
14,Miscellaneous-CDOT,S Mozart & W 52ST-W 53ST,2006,20607,S Mozart & W 52ST,S Mozart & W 53ST,41.7991352,-87.6951691,google,41.7973071,-87.6951204,google
14,Miscellaneous-CDOT,S Richmond & W 44 St - W 43 St,2006,1463,S Richmond & W 44 St,S Richmond & W 43 St,41.8136644,-87.6980273,google,41.8154906,-87.6980939,google
14,Miscellaneous-CDOT,S Richmond & W 44 St - W 45 St,2006,1147,S Richmond & W 44 St,S Richmond & W 45 St,41.8136644,-87.6980273,google,41.811859,-87.6979422,google
14,Miscellaneous-CDOT,S Richmond & W 45 St - W 46 St,2006,16185,S Richmond & W 45 St,S Richmond & W 46 St,41.811859,-87.6979422,google,41.8100369,-87.6979243,google
14,Miscellaneous-CDOT,S Richmond & W 46 ST - W 47 ST,2006,2095,S Richmond & W 46th ST,S Richmond & W 47th ST,41.8100369,-87.6979243,google,41.8082216,-87.6978614,google
14,Miscellaneous-CDOT,S Richmond & W 52ST-W 53ST,2006,14304,S Richmond & W 52ST,S Richmond & W 53ST,41.7991052,-87.6976088,google,41.7972823,-87.6975392,google
14,Miscellaneous-CDOT,S Richmond & W 57 ST-W 58 ST,2006,24587,S Richmond & W 57th ST,S Richmond & W 58th ST,41.7899836,-87.697347,google,41.7881584,-87.6973063,google
14,Miscellaneous-CDOT,S Richmond & W 58ST-W 59ST,2006,16255,S Richmond & W 58ST,S Richmond & W 59ST,41.7881584,-87.6973063,google,41.7863389,-87.6972398,google
14,Miscellaneous-CDOT,S Rockwell & W 53 ST - W 54 ST,2006,21274,S Rockwell & W 53rd ST,S Rockwell & W 54th ST,41.7974204,-87.689018,google,41.7956076,-87.6889618,google
14,Miscellaneous-CDOT,S Sacramento & S Archer - W 43 ST,2006,8554,S Sacramento & S Archer,S Sacramento & W 43rd ST,41.8170734,-87.6994002,google,41.815476,-87.6993397,google
14,Miscellaneous-CDOT,S Sacramento & W 44 ST - W 43 ST,2006,11187,S Sacramento & W 44th ST,S Sacramento & W 43rd ST,41.8136574,-87.6992718,google,41.815476,-87.6993397,google
14,Miscellaneous-CDOT,S Sacramento & W 45 ST - W 46 ST,2006,11603,S Sacramento & W 45th ST,S Sacramento & W 46th ST,41.8118363,-87.6992055,google,41.8100274,-87.6991357,google
14,Miscellaneous-CDOT,S Sacramento & W 46 ST - W 47 ST,2006,1086,S Sacramento & W 46th ST,S Sacramento & W 47th ST,41.8100274,-87.6991357,google,41.8082048,-87.6990912,google
14,Miscellaneous-CDOT,S Sacramento & W 51ST-W 52ST,2006,3525,S Sacramento & W 51ST,S Sacramento & W 52ST,41.8009056,-87.6988912,google,41.7990947,-87.6988449,google
14,Miscellaneous-CDOT,S Sacramento & W 57 ST-W 58 ST,2006,12440,S Sacramento & W 57th ST,S Sacramento & W 58th ST,41.7899651,-87.6985577,google,41.7881384,-87.698527,google
14,Miscellaneous-CDOT,S Sawyer & W 51ST-W 52ST,2006,260,S Sawyer & W 51ST,S Sawyer & W 52ST,41.8008091,-87.7049717,google,41.7989867,-87.7049222,google
14,Miscellaneous-CDOT,S Sawyer & W 52ST-W 53ST,2006,1203,S Sawyer & W 52ST,S Sawyer & W 53ST,41.7989867,-87.7049222,google,41.7971539,-87.7048852,google
14,Miscellaneous-CDOT,S Sawyer & W 55ST-W 56ST,2006,7199,S Sawyer & W 55ST,S Sawyer & W 56ST,41.7934939,-87.7047666,google,41.7916698,-87.7047206,google
14,Miscellaneous-CDOT,S Sawyer & W 56ST-W 57ST,2006,5489,S Sawyer & W 56ST,S Sawyer & W 57ST,41.7916698,-87.7047206,google,41.789867,-87.7046696,google
14,Miscellaneous-CDOT,S Sawyer & W 57ST-W 58ST,2006,13765,S Sawyer & W 57ST,S Sawyer & W 58ST,41.789867,-87.7046696,google,41.788052,-87.7046084,google
14,Miscellaneous-CDOT,S Sawyer & W 58ST-W 59ST,2006,354,S Sawyer & W 58ST,S Sawyer & W 59ST,41.788052,-87.7046084,google,41.7862268,-87.7045539,google
14,Miscellaneous-CDOT,S Spauding & W 51ST-W 52 ST,2006,676,S Spauding & W 51ST,S Spauding & W 52nd ST,41.8007981,-87.7061944,google,41.798965,-87.7061352,google
14,Miscellaneous-CDOT,S Spaulding & W 56ST-W 57ST,2006,5669,S Spaulding & W 56ST,S Spaulding & W 57ST,41.7916595,-87.7059357,google,41.7898385,-87.7058884,google
14,Miscellaneous-CDOT,S Talman & W 53 ST - W 54 ST,2006,17530,S Talman & W 53rd ST,S Talman & W 54th ST,41.7973933,-87.6902365,google,41.795586,-87.6901907,google
14,Miscellaneous-CDOT,S Talman & W 54 ST - W 55 ST,2006,1940,S Talman & W 54th ST,S Talman & W 55th ST,41.795586,-87.6901907,google,41.7937677,-87.6901531,google
14,Miscellaneous-CDOT,S Troy & S Archer - W 44 ST,2006,4468,S Troy & S Archer,S Troy & W 44th ST,41.81465,-87.7033444,google,41.8135969,-87.7029179,google
14,Miscellaneous-CDOT,S Troy & W 44 St - W 45 ST,2006,9108,S Troy & W 44 St,S Troy & W 45th ST,41.8135969,-87.7029179,google,41.8117846,-87.7028595,google
14,Miscellaneous-CDOT,S Troy & W 45 ST - W 46 ST,2006,6369,S Troy & W 45th ST,S Troy & W 46th ST,41.8117846,-87.7028595,google,41.8099592,-87.702806,google
14,Miscellaneous-CDOT,S Troy & W 51ST-W 52ST,2006,5582,S Troy & W 51ST,S Troy & W 52ST,41.8008409,-87.7025359,google,41.7990298,-87.7024814,google
14,Miscellaneous-CDOT,S Trumbull & W 55ST-W 56ST,2006,14370,S Trumbull & W 55ST,S Trumbull & W 56ST,41.7934279,-87.7096837,google,41.7916015,-87.7096304,google
14,Miscellaneous-CDOT,S Trumbull & W 56ST-W 57ST,2006,16451,S Trumbull & W 56ST,S Trumbull & W 57ST,41.7916015,-87.7096304,google,41.7897731,-87.7095607,google
14,Miscellaneous-CDOT,S Trumbull & W 57ST-W 58ST,2006,8360,S Trumbull & W 57ST,S Trumbull & W 58ST,41.7897731,-87.7095607,google,41.7879664,-87.709512,google
14,Miscellaneous-CDOT,S Trumbull & W 58ST- W 59ST,2006,2827,S Trumbull & W 58ST,S Trumbull & W 59ST,41.7879664,-87.709512,google,41.7861535,-87.7094513,google
14,Miscellaneous-CDOT,S Whipple & W 43 ST - W 44 ST,2006,1484,S Whipple & W 43rd ST,S Whipple & W 44th ST,41.81545,-87.7005606,google,41.8136338,-87.7004844,google
