ward,type,location,year,est_cost,id,address,lat,long,query
10,Sidewalk Menu,10348 S AVENUE J,2022,1220.83,8493,10348 S AVENUE J,41.70732206500003,-87.53408607399996,census
37,Curb & Gutter Menu,1035 N LATROBE AVE,2016,8282.78,32789,1035 N LATROBE AVE,41.89925808900006,-87.75692587999998,census
21,Sidewalk Menu,1035 W 92ND PL,2019,3882.93,18300,1035 W 92ND PL,41.7257021,-87.6495795,google
19,Street Light Upgrade,10352 S FAIRFIELD AVE,2013,400,16594,10352 S FAIRFIELD AVE,41.7053618,-87.6898055,google
19,POD Camera,10354 S Charles,2006,24000,16332,10354 S Charles,41.70549105400005,-87.65811608799999,census
34,Guardrail Menu,10358 S LOWE AV,2006,2080,29528,10358 S LOWE AV,41.705238,-87.6394715,google
44,Sidewalk Menu,1036 W WAVELAND AVE,2019,40783.53,38795,1036 W WAVELAND AVE,41.94902445800005,-87.65589742599997,census
43,Miscellaneous CDOT Projects,1039 W ALTGELD ST,2018,616.190476190476,37944,1039 W ALTGELD ST,41.927172444000064,-87.65464744999997,census
46,Sidewalk Menu,1039 W LAWRENCE AVE,2017,3164.77,40124,1039 W LAWRENCE AVE,41.9689253,-87.6566159,google
42,Sidewalk Menu,1040 N LAKE SHORE DR,2017,1599.17,36912,1040 N LAKE SHORE DR,41.90168944900006,-87.62429318899996,census
29,Curb & Gutter Menu,1040 S MONITOR AVE,2021,5349.11,25466,1040 S MONITOR AVE,41.8679526,-87.7708466,google
48,Alley Apron Menu,1040 W AINSLIE ST,2017,5834.9,41871,1040 W AINSLIE ST,41.9715579,-87.6564544,google
44,Street Light Upgrade Menu,1040 W NEWPORT AVE,2017,500,38730,1040 W NEWPORT AVE,41.94446102300003,-87.65594144699998,census
44,Miscellaneous CDOT Projects,1040 W NEWPORT AVE,2019,582.5,38786,1040 W NEWPORT AVE,41.94446102300003,-87.65594144699998,census
11,Sidewalk Menu,1041 W 31ST PL,2022,5710.91,9340,1041 W 31ST PL,41.8368695,-87.6527585,google
10,Sidewalk Menu,10414 S EWING AVE,2019,22300,8326,10414 S EWING AVE,41.70603007400007,-87.53529203999994,census
48,Alley Apron Menu,1042 W GLENLAKE AVE,2017,8771.51,41883,1042 W GLENLAKE AVE,41.99232998900004,-87.65789490999998,census
43,Alley Apron Menu,1042 W MONTANA ST,2019,10338.69,37968,1042 W MONTANA ST,41.92633234500005,-87.65480969299995,census
44,Street Light Upgrade Menu,1042 W NEWPORT AVE,2017,500,38730,1042 W NEWPORT AVE,41.9446662,-87.6558889,google
19,Street Light Upgrade,10420 S LEAVITT ST,2012,350,16561,10420 S LEAVITT ST,41.70416510200005,-87.67672033699995,census
9,Sidewalk Menu,10425 S FOREST AVE,2021,5846.26,7289,10425 S FOREST AVE,41.70492611900005,-87.61613258299997,census
7,Alley Resurfacing Menu,10426 S OGLESBY AVE,2019,9170.1,5641,10426 S OGLESBY AVE,41.70605558500006,-87.56569464699999,census
19,POD Camera,10431 W Longwood,2007,12000,16379,10431 W Longwood,41.7033598,-87.6702879,google
10,Sidewalk Menu,10436 S AVENUE J,2021,4821.48,8422,10436 S AVENUE J,41.705669389000036,-87.53408607399996,census
10,Sidewalk Menu,10446 S AVENUE M,2022,1875.02,8495,10446 S AVENUE M,41.70553219000004,-87.53771017499997,census
10,Sidewalk Menu,10449 S AVENUE F,2016,10610.91,8186,10449 S AVENUE F,41.70546929900007,-87.53044142899995,census
44,Alley Apron Menu,1045 W BARRY AVE,2022,11002.56,38885,1045 W BARRY AVE,41.938061066000046,-87.65581286599996,census
46,Alley Apron Menu,1045 W IRVING PARK RD,2017,10532.9,40100,1045 W IRVING PARK RD,41.95445478900007,-87.65622593499995,census
34,Sidewalk Menu,10457 S EMERALD AVE,2022,7896.13,30401,10457 S EMERALD AVE,41.7034577,-87.64125,google
10,Sidewalk Menu,10458 S AVENUE H,2019,15405,8331,10458 S AVENUE H,41.70533390600008,-87.53287356699997,census
9,Sidewalk Menu,10458 S CALUMET AVE,2020,8545.405,7255,10458 S CALUMET AVE,41.7037809,-87.6151985,google
43,Miscellaneous CDOT Projects,1046 W MONTANA ST,2018,616.190476190476,37944,1046 W MONTANA ST,41.926331652000044,-87.65485142599994,census
48,Sidewalk Menu,1049 W BRYN MAWR AVE,2022,4316.01,42234,1049 W BRYN MAWR AVE,41.983675738000045,-87.65677943699995,census
4,Sidewalk Menu,1050 E 49TH ST,2016,5525.57,3621,1050 E 49TH ST,41.805970184000046,-87.60039220899995,census
27,Street Resurfacing Menu,1050 N CENTRAL PARK AVE,2016,6213.85,23765,1050 N CENTRAL PARK AVE,41.900053600000035,-87.71647151199994,census
27,Street Speed Hump Menu,1050 N CENTRAL PARK AVE,2017,3700,23823,1050 N CENTRAL PARK AVE,41.900053600000035,-87.71647151199994,census
49,Chicago Park District,1050 W ALBION AVE,2014,75000,42639,1050 W ALBION AVE,42.00259408000005,-87.65839426099996,census
49,Sidewalk Menu,1050 W COLUMBIA AVE,2018,7981.58,42873,1050 W COLUMBIA AVE,42.004662480000036,-87.65810484799994,census
9,POD Camera,10500 S. State,2009,24000,6920,10500 S. State,41.7033704,-87.623673,google
10,Concrete Alley Menu,10501 S AVENUE E,2019,188000,8315,10501 S AVENUE E,41.704399124000076,-87.52923144299996,census
10,Sidewalk Menu,10501 S AVENUE L,2022,7942.58,8496,10501 S AVENUE L,41.70442453100003,-87.53648331999995,census
10,Sidewalk Menu,10505 S EWING AVE,2016,21886.33,8200,10505 S EWING AVE,41.704357851000054,-87.53527505699998,census
10,Sidewalk Menu,10507 S AVENUE L,2016,10964.81,8190,10507 S AVENUE L,41.704330465000055,-87.53648331999995,census
37,Sidewalk Menu,1051 N CENTRAL AVE,2016,1117,32792,1051 N CENTRAL AVE,41.8999768,-87.7652538,google
43,Miscellaneous CDOT Projects,1051 W MONTANA ST,2018,616.190476190476,37944,1051 W MONTANA ST,41.92630782600003,-87.65553797699994,census
10,Sidewalk Menu,10511 S AVENUE F,2016,3017.89,8187,10511 S AVENUE F,41.70424236900004,-87.53044142899995,census
34,Sidewalk Menu,10519 S PARNELL AVE,2021,10224.12,30349,10519 S PARNELL AVE,41.70292448500004,-87.63664956899999,census
48,Alley Apron Menu,1052 W THORNDALE AVE,2017,10624.98,41880,1052 W THORNDALE AVE,41.9901966,-87.6576077,google
27,Alley Resurfacing Menu,1053 N ORLEANS ST,2017,13862.175,23790,1053 N ORLEANS ST,41.90158471500007,-87.63735645599996,census
48,Alley Apron Menu,1053 W THORNDALE AVE,2017,8130.21,41881,1053 W THORNDALE AVE,41.99006133100005,-87.65774451499999,census
11,Sidewalk Menu,1054 W 34TH PL,2022,2173.56,9341,1054 W 34TH PL,41.83159096300005,-87.65258972699996,census
48,Curb & Gutter Menu,1054 W BERWYN AVE,2020,11256.855,42134,1054 W BERWYN AVE,41.9781847,-87.6571569,google
10,Sidewalk Menu,10546 S AVENUE G,2022,4359.86,8497,10546 S AVENUE G,41.703683470000044,-87.53166208099998,census
48,Street Lighting,1055 W BRYN MAWR AVE,2011,500,41643,1055 W BRYN MAWR AVE,41.983674826000026,-87.65684234699995,census
48,Sidewalk Menu,1055 W BRYN MAWR AVE,2019,3342.29,42082,1055 W BRYN MAWR AVE,41.983674826000026,-87.65684234699995,census
