ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
42,Street Resurface Menu,N HUDSON AVE & W ERIE ST (642 N) & W CHICAGO AV (800 N),2011,163209,36614,642 N HUDSON AVE,800 N HUDSON AVE,41.8939224,-87.6399871,google,41.8965295,-87.6398878,google
37,Street Lighting,N LONG AVE & W OHIO ST (600 N) & W CHICAGO AV (800 N),2011,136500,32608,600 N LONG AVE,800 N LONG AVE,41.8911427,-87.7604996,google,41.8948938,-87.7606446,google
27,Street Lighting,N MONTICELLO AVE & W HURON ST (700 N) & W CHICAGO AV (800 N),2011,68250,23525,700 N MONTICELLO AVE,800 N MONTICELLO AVE,41.893668,-87.7176937,google,41.8954421,-87.7175234,google
27,Street Lighting,N SPAULDING AVE & W OHIO ST (600 N) & W CHICAGO AV (800 N),2011,136500,23521,600 N SPAULDING AVE,800 N SPAULDING AVE,41.8920573,-87.7092133,google,41.8957896,-87.7092821,google
21,Street Resurface Menu,W 89TH ST & S GENOA AV (876 W) & S HALSTED ST (800 W),2011,41585,17877,876 W 89TH ST,800 W 89TH ST,41.7327657,-87.6456672,google,41.7327248,-87.6436134,google
44,Sidewalk Menu,W ALDINE AVE & N HALSTED ST (800 W) & W SCHOOL ST (921 W),2011,3238,38335,800 W ALDINE AVE,800 W ALDINE AVE,41.941783,-87.6499291,google,41.941783,-87.6499291,google
44,Curb/Gutter Menu - Change Order,W BUCKINGHAM PL & N BROADWAY (602 W) & N HALSTED ST (800 W),2011,1395,38320,602 W BUCKINGHAM PL,800 W BUCKINGHAM PL,41.9427896,-87.6445231,google,41.94289,-87.64958,google
44,Curb/Gutter Menu,W BUCKINGHAM PL & N HALSTED ST (800 W) & N HALSTED ST (800 W),2011,9604,38303,800 W BUCKINGHAM PL,800 W BUCKINGHAM PL,41.94289,-87.64958,google,41.94289,-87.64958,google
44,Sidewalk Menu,W ROSCOE ST & N CLARK ST (974 W) & N HALSTED ST (800 W),2011,2557,38333,974 W ROSCOE ST,800 W ROSCOE ST,41.9435774,-87.6537936,google,41.9437461,-87.6496146,google
8,Sidewalk Menu,S DANTE AVE & E 79 ST (7900 S) & E 80 ST (8000 S),2011,1090,6152,7900 S DANTE AVE,8000 S DANTE AVE,41.751418,-87.5894692,google,41.7494916,-87.5897318,google
8,Sidewalk Menu,S DOBSON AVE & E 79 ST (7900 S) & E 80 ST (8000 S),2011,85116,6164,7900 S DOBSON AVE,8000 S DOBSON AVE,41.7511663,-87.5993222,google,41.749382,-87.599451,google
21,Street Speed Hump Menu,S ELIZABETH ST & W 79 ST (7900 S) & W 80 ST (8000 S),2011,3700,17885,7900 S ELIZABETH ST,8000 S ELIZABETH ST,41.7504746,-87.6549506,google,41.7485108,-87.6552717,google
17,Street Speed Hump Menu,S GREEN ST & W 79 ST (7900 S) & W 80 ST (8000 S),2011,3700,15023,7900 S GREEN ST,8000 S GREEN ST,41.750614,-87.6452442,google,41.7486421,-87.6455156,google
21,Street Speed Hump Menu,S JUSTINE ST & W 79 ST (7900 S) & W 80 ST (8000 S),2011,3700,17889,7900 S JUSTINE ST,8000 S JUSTINE ST,41.7503127,-87.6622751,google,41.748409,-87.662513,google
17,Street Resurface Menu(1-5),S PEORIA ST & W 79 ST (7900 S) & W 80 ST (8000 S),2011,32171,15017,7900 S PEORIA ST,8000 S PEORIA ST,41.7505906,-87.6464701,google,41.7486295,-87.6467147,google
18,Sidewalk Menu,S WHIPPLE ST & W 79 ST (7900 S) & W 80 ST (8000 S),2011,37536,15802,7900 S WHIPPLE ST,8000 S WHIPPLE ST,41.74964,-87.6990362,google,41.7478896,-87.6989592,google
21,Street Speed Hump Menu,S ADA ST & W 80 ST (8000 S) & W 81 ST (8100 S),2011,3700,17895,8000 S ADA ST,8100 S ADA ST,41.748479,-87.657664,google,41.746656,-87.657614,google
18,Curb/Gutter Menu,S ARTESIAN AVE & W 80 ST (8000 S) & W 81 ST (8100 S),2011,72886,15792,8000 S ARTESIAN AVE,8100 S ARTESIAN AVE,41.7481018,-87.6843273,google,41.746321,-87.6844048,google
8,Sidewalk Menu,S CRANDON AVE & E 80 ST (8000 S) & E 81 ST (8100 S),2011,47895,6158,8000 S CRANDON AVE,8100 S CRANDON AVE,41.7498639,-87.5686377,google,41.747875,-87.568951,google
7,Street Lighting,S ESSEX AVE & E 79 ST (7900 S) & E 81 ST (8100 S),2011,136500,5367,7900 S ESSEX AVE,8100 S ESSEX AVE,41.7513892,-87.564139,google,41.7478247,-87.5641062,google
7,Street Speed Hump Menu,S ESSEX AVE & E 79 ST (7900 S) & E 81 ST (8100 S),2011,3700,5411,7900 S ESSEX AVE,8100 S ESSEX AVE,41.7513892,-87.564139,google,41.7478247,-87.5641062,google
18,Street Resurface Menu,S FAIRFIELD AVE & W 80 ST (8000 S) & W 81 ST (8100 S),2011,63783,15815,8000 S FAIRFIELD AVE,8100 S FAIRFIELD AVE,41.7480161,-87.6916824,google,41.746198,-87.6916533,google
18,Sidewalk Menu,S FRANCISCO AVE & W 80 ST (8000 S) & W 81 ST (8100 S),2011,19441,15809,8000 S FRANCISCO AVE,8100 S FRANCISCO AVE,41.7479346,-87.6953787,google,41.7462707,-87.6949611,google
21,Street Speed Hump Menu,S JUSTINE ST & W 80 ST (8000 S) & W 81 ST (8100 S),2011,3700,17905,8000 S JUSTINE ST,8100 S JUSTINE ST,41.748409,-87.662513,google,41.7466101,-87.6629984,google
17,Street Speed Hump Menu,S PERRY AVE & W 80 ST (8000 S) & W 81 ST (8100 S),2011,3700,15024,8000 S PERRY AVE,8100 S PERRY AVE,41.7489634,-87.6272656,google,41.7472493,-87.626938,google
