ward,year,off_menu,on_menu,beauty,not_beauty
15,2017,10000,1309999.52,NA,1319999.52
15,2018,0,1319999.99,NA,1319999.99
15,2019,0,1319999.99,NA,1319999.99
15,2020,0,881809.89,NA,881809.89
15,2021,660,1492094.99,NA,1492754.99
15,2022,0,881809.89,NA,881809.89
16,2005,0,1195484,NA,1195484
16,2006,1422,1317958,NA,1319380
16,2007,291600,1148317,NA,1439917
16,2008,0,1440000,NA,1440000
16,2009,28805,1291039,16305,1303539
16,2010,0,1319946,NA,1319946
16,2011,213616,1106200,150000,1169816
16,2012,197200,1122146,150000,1169346
16,2013,515,1318958,NA,1319473
16,2014,1230,1318769,NA,1319999
16,2015,0,1320001,NA,1320001
16,2016,0,1319999.99,NA,1319999.99
16,2017,10000,1309999.99,10000,1309999.99
16,2018,0,1319990.25,NA,1319990.25
16,2019,0,1264045.06,NA,1264045.06
16,2020,0,1027754.99,NA,1027754.99
16,2021,300,1499699.99,NA,1499999.99
16,2022,0,1027754.99,NA,1027754.99
17,2005,111850,1085740,NA,1197590
17,2006,514732,925238,NA,1439970
17,2007,54207,1265790,NA,1319997
17,2008,14001,1425705,NA,1439706
17,2009,0,1319999,NA,1319999
17,2010,0,1319848,NA,1319848
17,2011,29950,1289796,NA,1319746
17,2012,0,1320000,NA,1320000
17,2013,12510,1307490,NA,1320000
17,2014,0,1319742,NA,1319742
17,2015,1200,1318798,NA,1319998
17,2016,50000,1269999.99,NA,1319999.99
17,2017,10000,1309999.99,10000,1309999.99
17,2018,0,1319999.99,NA,1319999.99
17,2019,2600,1317399.99,24776,1295223.99
17,2020,0,838197.12,NA,838197.12
17,2021,810,1499189.99,NA,1499999.99
17,2022,0,838197.12,NA,838197.12
18,2005,16050,1242922,NA,1258972
18,2006,207916,1111599,NA,1319515
18,2007,33001,1286779,NA,1319780
18,2008,17688,1422311,NA,1439999
18,2009,20933,1299067,NA,1320000
18,2010,15338,1304660,NA,1319998
18,2011,42300,1277700,NA,1320000
18,2012,480,1319519,NA,1319999
18,2013,0,1320001,NA,1320001
18,2014,154,1313699,NA,1313853
18,2015,0,1319997,NA,1319997
18,2016,50000,1269999.99,NA,1319999.99
18,2017,18760.85,1301239.14,10000,1309999.99
18,2018,0,1319999.99,NA,1319999.99
18,2019,0,1319999.99,NA,1319999.99
18,2020,0,1255077.27,NA,1255077.27
18,2021,89660,1410339.99,NA,1499999.99
18,2022,0,1255077.27,NA,1255077.27
19,2005,551946,648054,350000,850000
19,2006,939389,380610,NA,1319999
19,2007,1674,1318326,NA,1320000
19,2008,50918,1269083,50000,1270001
19,2009,382,1319618,NA,1320000
19,2010,105894,1214106,NA,1320000
19,2011,1820,1318180,NA,1320000
19,2012,20515,1292129,NA,1312644
19,2013,123738,1196262,123738,1196262
19,2014,30380,1238268,30380,1238268
19,2015,0,1319997,NA,1319997
19,2016,0,1319999.96,NA,1319999.96
19,2017,8000,1311856.52,8000,1311856.52
19,2018,50000,1269999.99,50000,1269999.99
19,2019,72302,1247697.99,50000,1269999.99
19,2020,0,1091212.63,NA,1091212.63
19,2021,91000,1408999.99,91000,1408999.99
19,2022,0,1091212.63,NA,1091212.63
