"ward","type","location","year","est_cost","id","intersection_1","intersection_2","intersection_3","intersection_4"
9,"Alley Speed Hump Menu","E 101 ST & E 102 ST & S WALLACE ST & S PARNELL AV",2005,1750,6653,"S WALLACE ST & E 101st ST","S PARNELL AV & E 101st ST","S WALLACE ST & E 102nd ST","S PARNELL AV & E 102nd ST"
9,"Alley Speed Hump Menu","E 109 ST & E 110 ST & S MICHIGAN AV & S EDBROOKE AV",2005,1750,6654,"S MICHIGAN AV & E 109th ST","S EDBROOKE AV & E 109th ST","S MICHIGAN AV & E 110th ST","S EDBROOKE AV & E 110th ST"
9,"Alley Speed Hump Menu","E 11 ST & E 13 ST & S MICHIGAN AV & S EDBROOKE AV",2005,875,6655,"S MICHIGAN AV & E 11th ST","S EDBROOKE AV & E 11th ST","S MICHIGAN AV & E 13th ST","S EDBROOKE AV & E 13th ST"
9,"Alley Speed Hump Menu","W 114 PL & E 115 ST & S FORRESTVILLE AV & S COTTAGE GROVE AV",2005,2625,6656,"S FORRESTVILLE AV & W 114th PL","S COTTAGE GROVE AV & W 114th PL","S FORRESTVILLE AV & E 115th ST","S COTTAGE GROVE AV & E 115th ST"
9,"Alley Speed Hump Menu","E 108 ST & E 109 ST & S VERNON AV & S EBERHART AV",2005,3500,6657,"S VERNON AV & E 108th ST","S EBERHART AV & E 108th ST","S VERNON AV & E 109th ST","S EBERHART AV & E 109th ST"
9,"Alley Speed Hump Menu","E 101 ST & E 102 ST & S MICHIGAN AV & S STATE ST",2005,6125,6658,"S MICHIGAN AV & E 101st ST","S STATE ST & E 101st ST","S MICHIGAN AV & E 102nd ST","S STATE ST & E 102nd ST"
9,"Alley Speed Hump Menu","E 102 ST & W 103 ST & S MICHIGAN AV & S STATE ST",2005,7000,6659,"S MICHIGAN AV & E 102nd ST","S STATE ST & E 102nd ST","S MICHIGAN AV & W 103rd ST","S STATE ST & W 103rd ST"
9,"Alley Speed Hump Menu","E 101 ST & E 102 ST & S INDIANA AV & S PRAIRIE AV",2005,1750,6660,"S INDIANA AV & E 101st ST","S PRAIRIE AV & E 101st ST","S INDIANA AV & E 102nd ST","S PRAIRIE AV & E 102nd ST"
9,"Alley Speed Hump Menu","E 100 PL & E 101 ST & S ST LAWRENCE AV & S DAUPHIN AV",2005,3500,6661,"S ST LAWRENCE AV & E 100th PL","S DAUPHIN AV & E 100th PL","S ST LAWRENCE AV & E 101st ST","S DAUPHIN AV & E 101st ST"
9,"Alley Speed Hump Menu","E 102 ST & E 103 ST & S ST LAWRENCE AV & S RHODES AV",2005,3500,6662,"S ST LAWRENCE AV & E 102nd ST","S RHODES AV & E 102nd ST","S ST LAWRENCE AV & E 103rd ST","S RHODES AV & E 103rd ST"
9,"Alley Speed Hump Menu","E 100 ST & E 101 ST & S RHODES AV & S ST LAWRENCE AV",2005,2625,6663,"S RHODES AV & E 100th ST","S ST LAWRENCE AV & E 100th ST","S RHODES AV & E 101st ST","S ST LAWRENCE AV & E 101st ST"
9,"Alley Speed Hump Menu","E 101 ST & E 101 PL & S ST LAWRENCE AV & S DAUPHIN AV",2005,3500,6664,"S ST LAWRENCE AV & E 101st ST","S DAUPHIN AV & E 101st ST","S ST LAWRENCE AV & E 101st PL","S DAUPHIN AV & E 101st PL"
9,"Alley Speed Hump Menu","E 99 ST & E 100 ST & S PRINCETON AV & S YALE AV",2005,2625,6665,"S PRINCETON AV & E 99th ST","S YALE AV & E 99th ST","S PRINCETON AV & E 100th ST","S YALE AV & E 100th ST"
9,"Alley Speed Hump Menu","E 100 ST & E 101 ST & S YALE AV & S PRINCETON AV",2005,1750,6666,"S YALE AV & E 100th ST","S PRINCETON AV & E 100th ST","S YALE AV & E 101st ST","S PRINCETON AV & E 101st ST"
9,"Alley Speed Hump Menu","E 102 ST & E 103 ST & S YALE AV & S PRINCETON AV",2005,3500,6667,"S YALE AV & E 102nd ST","S PRINCETON AV & E 102nd ST","S YALE AV & E 103rd ST","S PRINCETON AV & E 103rd ST"
9,"Alley Speed Hump Menu","E 101 ST & E 102 ST & S YALE AV & S WENTWORTH AV",2005,1750,6668,"S YALE AV & E 101st ST","S WENTWORTH AV & E 101st ST","S YALE AV & E 102nd ST","S WENTWORTH AV & E 102nd ST"
9,"Alley Speed Hump Menu","E 101 ST & E 102 ST & S LA SALLE ST & S WENTWORTH AV",2005,1750,6669,"S LA SALLE ST & E 101st ST","S WENTWORTH AV & E 101st ST","S LA SALLE ST & E 102nd ST","S WENTWORTH AV & E 102nd ST"
9,"Alley Speed Hump Menu","E 102 ST & E 103 ST & S LA SALLE ST & S PERRY AV",2005,3500,6670,"S LA SALLE ST & E 102nd ST","S PERRY AV & E 102nd ST","S LA SALLE ST & E 103rd ST","S PERRY AV & E 103rd ST"
9,"Alley Speed Hump Menu","E 102 ST & E 103 ST & S LAFAYETTE AV & S STATE ST",2005,3500,6671,"S LAFAYETTE AV & E 102nd ST","S STATE ST & E 102nd ST","S LAFAYETTE AV & E 103rd ST","S STATE ST & E 103rd ST"
9,"Alley Speed Hump Menu","E 102 ST & E 103 ST & S CALUMET AV & DR. MARTIN LUTHER KING JR. DR",2005,3500,6672,"S CALUMET AV & E 102nd ST","S CALUMET AV & E 103rd ST","NA","NA"
9,"Alley Speed Hump Menu","E 122 ST & E 123 ST & S WENTWORTH AV & S YALE AV",2005,1750,6673,"S WENTWORTH AV & E 122nd ST","S YALE AV & E 122nd ST","S WENTWORTH AV & E 123rd ST","S YALE AV & E 123rd ST"
9,"Alley Speed Hump Menu","E 123 ST & E 124 ST & S WENTWORTH AV & S YALE AV",2005,1750,6674,"S WENTWORTH AV & E 123rd ST","S YALE AV & E 123rd ST","S WENTWORTH AV & E 124th ST","S YALE AV & E 124th ST"
