"ward","type","location","year","est_cost","id","intersection_1","intersection_2","intersection_3","intersection_4"
29,"Alley Resurfacing Menu","N WALLER AVE & W LE MOYNE ST & W NORTH AVE & N MASSASOIT AVE",2022,34793.23,25548,"N WALLER AVE & W LE MOYNE ST","N MASSASOIT AVE & W LE MOYNE ST","N WALLER AVE & W NORTH AVE","N MASSASOIT AVE & W NORTH AVE"
29,"Alley Resurfacing Menu","W SUPERIOR ST & N AUSTIN BLVD & W CHICAGO AVE & N MAYFIELD AVE",2022,41570.12,25551,"N AUSTIN BLVD & W SUPERIOR ST","N MAYFIELD AVE & W SUPERIOR ST","N AUSTIN BLVD & W CHICAGO AVE","N MAYFIELD AVE & W CHICAGO AVE"
30,"Alley Resurface Menu","N KEDVALE AV & N PULASKI RD & W ADDISON ST & W WAVELAND AV8 ,437",2005,28437,25601,"N KEDVALE AV & W ADDISON ST","N PULASKI RD & W ADDISON ST","N KEDVALE AV & W WAVELAND AV8 ,437","N PULASKI RD & W WAVELAND AV8 ,437"
30,"Alley Resurface Menu","W FULLERTON AV & W ALTGELD ST & N CENTRAL AV & N LUNA AV",2005,22628,25602,"N CENTRAL AV & W FULLERTON AV","N LUNA AV & W FULLERTON AV","N CENTRAL AV & W ALTGELD ST","N LUNA AV & W ALTGELD ST"
30,"Alley Resurface Menu","W MELROSE ST & W SCHOOL ST & N CICERO AV & N LAMON AV",2005,24105,25603,"N CICERO AV & W MELROSE ST","N LAMON AV & W MELROSE ST","N CICERO AV & W SCHOOL ST","N LAMON AV & W SCHOOL ST"
30,"Alley Resurface Menu","W ADDISON ST & N AVONDALE AV & N LAWNDALE AV & N HAMLIN AV",2005,14739,25604,"N AVONDALE AV & W ADDISON ST","N LAWNDALE AV & W ADDISON ST","N HAMLIN AV & W ADDISON ST","NA"
30,"Alley Resurface Menu","N LAWNDALE AV & N RIDGEWAY AV & W SCHOOL ST & W ROSCOE ST",2005,18567,25605,"N LAWNDALE AV & W SCHOOL ST","N RIDGEWAY AV & W SCHOOL ST","N LAWNDALE AV & W ROSCOE ST","N RIDGEWAY AV & W ROSCOE ST"
30,"Alley Resurface Menu","N CENTRAL AV & N PARKSIDE AV & W BARRY AV & W BELMONT AV",2005,9627,25606,"N CENTRAL AV & W BARRY AV","N PARKSIDE AV & W BARRY AV","N CENTRAL AV & W BELMONT AV","N PARKSIDE AV & W BELMONT AV"
30,"Alley Resurface Menu","N KOLMAR & N KILBOURN AV & W ROSCOE ST & W CORNELIA AV",2005,18011,25607,"N KOLMAR & W ROSCOE ST","N KILBOURN AV & W ROSCOE ST","N KOLMAR & W CORNELIA AV","N KILBOURN AV & W CORNELIA AV"
30,"Alley Resurface Menu","W CORNELIA AV & W EDDY ST & N KEDVALE AV & N KARLOV AV",2005,14299,25608,"N KEDVALE AV & W CORNELIA AV","N KARLOV AV & W CORNELIA AV","N KEDVALE AV & W EDDY ST","N KARLOV AV & W EDDY ST"
30,"Alley Resurface Menu","N LAWNDALE AV & N RIDGEWAY AV & W ROSCOE ST & W CORNELIA AV",2005,17953,25609,"N LAWNDALE AV & W ROSCOE ST","N RIDGEWAY AV & W ROSCOE ST","N LAWNDALE AV & W CORNELIA AV","N RIDGEWAY AV & W CORNELIA AV"
30,"Alley Resurface Menu","N MILWAUKEE AV & W BELMONT AV & N RIDGEWAY AV & N HAMLIN AV",2005,25284,25610,"N MILWAUKEE AV & W BELMONT AV","N RIDGEWAY AV & W BELMONT AV","N HAMLIN AV & W BELMONT AV","N RIDGEWAY AV & N MILWAUKEE AV"
30,"Alley Speed Hump Menu","N RIDGEWAY & W ROSCOE ST & W SCHOOL ST & N HAMLIN",2005,875,25611,"N RIDGEWAY & W ROSCOE ST","N HAMLIN & W ROSCOE ST","N RIDGEWAY & W SCHOOL ST","N HAMLIN & W SCHOOL ST"
30,"Alley Speed Hump Menu","W DIVERSEY & W GEORGE ST & N MONITOR & N MENARD",2005,875,25612,"N MONITOR & W DIVERSEY","N MENARD & W DIVERSEY","N MONITOR & W GEORGE ST","N MENARD & W GEORGE ST"
30,"Alley Speed Hump Menu","W EDDY ST & W ADDISON ST & N LAWNDALE AV & N HAMLIN AV",2005,1750,25613,"N LAWNDALE AV & W EDDY ST","N HAMLIN AV & W EDDY ST","N LAWNDALE AV & W ADDISON ST","N HAMLIN AV & W ADDISON ST"
30,"Alley Speed Hump Menu","N HARDING AV & W CORNELIA AV & W ROSCOE ST & N PULASKI",2005,875,25614,"N HARDING AV & W CORNELIA AV","N PULASKI & W CORNELIA AV","N HARDING AV & W ROSCOE ST","N PULASKI & W ROSCOE ST"
30,"Alley Speed Hump Menu","N MARMORA & W DIVERSEY & W SCHUBERT & N MASON",2005,875,25615,"N MARMORA & W DIVERSEY","N MASON & W DIVERSEY","N MARMORA & W SCHUBERT","N MASON & W SCHUBERT"
30,"Alley Resurface Menu","N PULASKI RD & N HARDING AV & W FULLERTON AV & W ALTGELD ST",2006,6624,25666,"N PULASKI RD & W FULLERTON AV","N HARDING AV & W FULLERTON AV","N PULASKI RD & W ALTGELD ST","N HARDING AV & W ALTGELD ST"
30,"Alley Resurface Menu","N MARMORA AV & W GEORGE ST & W WELLINGTON AV & N MASON AV",2006,5750,25667,"N MARMORA AV & W GEORGE ST","N MASON AV & W GEORGE ST","N MARMORA AV & W WELLINGTON AV","N MASON AV & W WELLINGTON AV"
30,"Alley Speed Hump Menu","W SHAKESPEARE AV & W DICKENS AV & N KOSTNER AV & N KILDARE AV",2006,525,25668,"N KOSTNER AV & W SHAKESPEARE AV","N KILDARE AV & W SHAKESPEARE AV","N KOSTNER AV & W DICKENS AV","N KILDARE AV & W DICKENS AV"
30,"Alley Speed Hump Menu","W WRIGHTWOOD AV & W DRUMMOND PL & N LONG AV & N LINDER AV",2006,1000,25669,"N LONG AV & W WRIGHTWOOD AV","N LINDER AV & W WRIGHTWOOD AV","N LONG AV & W DRUMMOND PL","N LINDER AV & W DRUMMOND PL"
30,"Alley Speed Hump Menu","N MILWAUKEE AV & W WELLINGTON AV & N AVERS AV & N HAMLIN AV",2006,500,25670,"N MILWAUKEE AV & W WELLINGTON AV","N AVERS AV & W WELLINGTON AV","N HAMLIN AV & W WELLINGTON AV","N AVERS AV & N MILWAUKEE AV"
30,"Alley Speed Hump Menu","W FULLERTON AV & W ALTGELD ST & N LOTUS AV & N LINDER AV",2006,2000,25671,"N LOTUS AV & W FULLERTON AV","N LINDER AV & W FULLERTON AV","N LOTUS AV & W ALTGELD ST","N LINDER AV & W ALTGELD ST"
30,"Alley Speed Hump Menu","W FULLERTON AV & W ALTGELD ST & N LONG AV & N LOTUS AV",2006,2000,25672,"N LONG AV & W FULLERTON AV","N LOTUS AV & W FULLERTON AV","N LONG AV & W ALTGELD ST","N LOTUS AV & W ALTGELD ST"
30,"Alley Speed Hump Menu","W WAVELAND AV & W PATTERSON AV & N PULASKI RD & N KEDVALE AV",2006,1000,25673,"N PULASKI RD & W WAVELAND AV","N KEDVALE AV & W WAVELAND AV","N PULASKI RD & W PATTERSON AV","N KEDVALE AV & W PATTERSON AV"
30,"Concrete Alley Menu","N KEDVALE AV & N KEELER AV & W BLOOMINGDALE AV & W WABANSIA AV",2006,93500,25677,"N KEDVALE AV & W BLOOMINGDALE AV","N KEELER AV & W BLOOMINGDALE AV","N KEDVALE AV & W WABANSIA AV","N KEELER AV & W WABANSIA AV"
30,"Concrete Alley Menu","N PULASKI RD & N SPRINGFIELD AV & W PALMER & W BELDEN AV",2006,43200,25678,"N PULASKI RD & W PALMER","N SPRINGFIELD AV & W PALMER","N PULASKI RD & W BELDEN AV","N SPRINGFIELD AV & W BELDEN AV"
30,"Alley Resurface Menu","N HARDING AV & N PULASKI RD & W CORTLAND ST & RAILROAD TRACKS",2007,10520,25751,"N HARDING AV & W CORTLAND ST","N PULASKI RD & W CORTLAND ST","NA","NA"
30,"Alley Resurface Menu","N AVERS AV & N SPRINGFIELD AV & W WABANSIA AV & DEAD END",2007,7585,25752,"N AVERS AV & W WABANSIA AV","N SPRINGFIELD AV & W WABANSIA AV","NA","NA"
30,"Alley Resurface Menu","N HARDING AV & N PULASKI RD & N AVONDALE AV & W WAVELAND AV",2007,34133,25753,"N HARDING AV & W WAVELAND AV","N PULASKI RD & W WAVELAND AV","N AVONDALE AV & W WAVELAND AV","NA"
30,"Alley Resurface Menu","W BELMONT AV & W SCHOOL ST & N KEATING AV & N CICERO AV",2007,26681,25754,"N KEATING AV & W BELMONT AV","N CICERO AV & W BELMONT AV","N KEATING AV & W SCHOOL ST","N CICERO AV & W SCHOOL ST"
30,"Alley Resurface Menu","W WRIGHTWOOD AV & W ALTGELD ST & N LONG AV & N LOTUS AV",2007,27795,25755,"N LONG AV & W WRIGHTWOOD AV","N LOTUS AV & W WRIGHTWOOD AV","N LONG AV & W ALTGELD ST","N LOTUS AV & W ALTGELD ST"
30,"Alley Resurface Menu","N MILWAUKEE AV & N RIDGEWAY AV & N LAWNDALE AV & W GEORGE ST",2007,10836,25756,"N MILWAUKEE AV & W GEORGE ST","N RIDGEWAY AV & W GEORGE ST","N LAWNDALE AV & W GEORGE ST","N RIDGEWAY AV & N MILWAUKEE AV"
30,"Alley Resurface Menu","W EDDY ST & W CORNELIA AV & N HAMLIN AV & N LAWNDALE AV",2007,21240,25757,"N HAMLIN AV & W EDDY ST","N LAWNDALE AV & W EDDY ST","N HAMLIN AV & W CORNELIA AV","N LAWNDALE AV & W CORNELIA AV"
30,"Alley Speed Hump Menu","N SPRINGFIELD AV & W FULLERTON AV & N HARDING AV & W ALTGELD ST",2007,525,25758,"N SPRINGFIELD AV & W FULLERTON AV","N HARDING AV & W FULLERTON AV","N SPRINGFIELD AV & W ALTGELD ST","N HARDING AV & W ALTGELD ST"
30,"Alley Speed Hump Menu","W ALTGELD ST & W FULLERTON AV & N LINDER AV & N LOTUS AV",2007,500,25759,"N LINDER AV & W ALTGELD ST","N LOTUS AV & W ALTGELD ST","N LINDER AV & W FULLERTON AV","N LOTUS AV & W FULLERTON AV"
30,"Alley Speed Hump Menu","W SCHUBERT AV & W WRIGHTWOOD AV & N MARMORA AV & N MONITOR AV",2007,500,25760,"N MARMORA AV & W SCHUBERT AV","N MONITOR AV & W SCHUBERT AV","N MARMORA AV & W WRIGHTWOOD AV","N MONITOR AV & W WRIGHTWOOD AV"
30,"Alley Speed Hump Menu","W ROSCOE ST & W SCHOOL ST & N HAMLIN AV & N RIDGEWAY AV",2007,500,25761,"N HAMLIN AV & W ROSCOE ST","N RIDGEWAY AV & W ROSCOE ST","N HAMLIN AV & W SCHOOL ST","N RIDGEWAY AV & W SCHOOL ST"
30,"Alley Speed Hump Menu","W ROSCOE ST & W SCHOOL ST & N AVERS AV & N HAMLIN AV",2007,500,25762,"N AVERS AV & W ROSCOE ST","N HAMLIN AV & W ROSCOE ST","N AVERS AV & W SCHOOL ST","N HAMLIN AV & W SCHOOL ST"
30,"Alley Speed Hump Menu","W GEORGE ST & W WELLINGTON AV & N AVERS AV & N HAMLIN AV",2007,500,25763,"N AVERS AV & W GEORGE ST","N HAMLIN AV & W GEORGE ST","N AVERS AV & W WELLINGTON AV","N HAMLIN AV & W WELLINGTON AV"
30,"Alley Speed Hump Menu","N KEATING AV & N KILPATRICK AV & W BELMONT AV & W SCHOOL ST",2007,2000,25764,"N KEATING AV & W BELMONT AV","N KILPATRICK AV & W BELMONT AV","N KEATING AV & W SCHOOL ST","N KILPATRICK AV & W SCHOOL ST"
30,"Alley Speed Hump Menu","W BELMONT AV & W BARRY AV & N LUNA AV & N LINDER AV",2007,2000,25765,"N LUNA AV & W BELMONT AV","N LINDER AV & W BELMONT AV","N LUNA AV & W BARRY AV","N LINDER AV & W BARRY AV"
30,"Alley Speed Hump Menu","N HAMLIN AV & N RIDGEWAY AV & W ROSCOE ST & W CORNELIA AV",2007,1000,25766,"N HAMLIN AV & W ROSCOE ST","N RIDGEWAY AV & W ROSCOE ST","N HAMLIN AV & W CORNELIA AV","N RIDGEWAY AV & W CORNELIA AV"
30,"Alley Speed Hump Menu","N MILWAUKEE AV & N HAMLIN AV & N LAWNDALE AV & N RIDGEWAY AV",2007,500,25767,"N HAMLIN AV & N MILWAUKEE AV","N LAWNDALE AV & N MILWAUKEE AV","N RIDGEWAY AV & N MILWAUKEE AV","NA"
30,"Alley Speed Hump Menu","W DIVERSEY AV & W GEORGE ST & N AUSTIN AV & N MASON AV",2007,2000,25768,"N AUSTIN AV & W DIVERSEY AV","N MASON AV & W DIVERSEY AV","N AUSTIN AV & W GEORGE ST","N MASON AV & W GEORGE ST"
30,"Concrete Alley Menu","N HARDING AV & N PULASKI RD & W FULLERTON AV & W ALTGELD ST",2007,82000,25778,"N HARDING AV & W FULLERTON AV","N PULASKI RD & W FULLERTON AV","N HARDING AV & W ALTGELD ST","N PULASKI RD & W ALTGELD ST"
30,"Concrete Alley Menu","N MASON AV & N AUSTIN AV & W DIVERSEY AV & W SCHUBERT AV",2007,57000,25779,"N MASON AV & W DIVERSEY AV","N AUSTIN AV & W DIVERSEY AV","N MASON AV & W SCHUBERT AV","N AUSTIN AV & W SCHUBERT AV"
30,"Alley Resurface Menu","N KEYSTONE AV & N KARLOV AV & W DICKENS AV & W PALMER",2008,24906,25846,"N KEYSTONE AV & W DICKENS AV","N KARLOV AV & W DICKENS AV","N KEYSTONE AV & W PALMER","N KARLOV AV & W PALMER"
30,"Alley Speed Hump Menu","N HARDING AV & N SPRINGFIELD AV & W NORTH AV & W LE MOYNE ST",2008,500,25847,"N HARDING AV & W NORTH AV","N SPRINGFIELD AV & W NORTH AV","N HARDING AV & W LE MOYNE ST","N SPRINGFIELD AV & W LE MOYNE ST"
30,"Alley Speed Hump Menu","N MENARD AV & N MONITOR AV & W WRIGHTWOOD AV & W SCHUBERT AV",2008,2000,25848,"N MENARD AV & W WRIGHTWOOD AV","N MONITOR AV & W WRIGHTWOOD AV","N MENARD AV & W SCHUBERT AV","N MONITOR AV & W SCHUBERT AV"
30,"Alley Speed Hump Menu","N MAJOR AV & N PARKSIDE AV & W GEORGE ST & W DIVERSEY AV",2008,500,25849,"N MAJOR AV & W GEORGE ST","N PARKSIDE AV & W GEORGE ST","N MAJOR AV & W DIVERSEY AV","N PARKSIDE AV & W DIVERSEY AV"
30,"Alley Speed Hump Menu","N LINDER AV & N CENTRAL AV & W PARKER AV & W DIVERSEY AV",2008,1000,25850,"N LINDER AV & W PARKER AV","N CENTRAL AV & W PARKER AV","N LINDER AV & W DIVERSEY AV","N CENTRAL AV & W DIVERSEY AV"
30,"Concrete Alley Menu","N MARMORA AV & N MONITOR AV & W WELLINGTON AV & W BARRY AV",2008,64000,25853,"N MARMORA AV & W WELLINGTON AV","N MONITOR AV & W WELLINGTON AV","N MARMORA AV & W BARRY AV","N MONITOR AV & W BARRY AV"
30,"Miscellaneous-CDOT","N KEYSTONE AVENUE & W LEMOYNE ST & W GRAND AVE & N PULASKI RD",2008,90000,25856,"N KEYSTONE AVENUE & W LEMOYNE ST","N PULASKI RD & W LEMOYNE ST","N KEYSTONE AVENUE & W GRAND AVE","N PULASKI RD & W GRAND AVE"
30,"Alley Resurface Menu","N HARDING AV & N SPRINGFIELD AV & W HIRSCH ST & W LE MOYNE ST",2009,2867,25910,"N HARDING AV & W HIRSCH ST","N SPRINGFIELD AV & W HIRSCH ST","N HARDING AV & W LE MOYNE ST","N SPRINGFIELD AV & W LE MOYNE ST"
30,"Alley Resurface Menu","N KEELER AV & N KEDVALE AV & W NORTH AV & W WABANSIA AV",2009,32478,25911,"N KEELER AV & W NORTH AV","N KEDVALE AV & W NORTH AV","N KEELER AV & W WABANSIA AV","N KEDVALE AV & W WABANSIA AV"
30,"Alley Resurface Menu","N MENARD AV & N MONITOR AV & W WRIGHTWOOD AV & W ALTGELD ST6 ,310",2009,26310,25912,"N MENARD AV & W WRIGHTWOOD AV","N MONITOR AV & W WRIGHTWOOD AV","N MENARD AV & W ALTGELD ST6 ,310","N MONITOR AV & W ALTGELD ST6 ,310"
30,"Alley Resurface Menu","N MENARD AV & N MONITOR AV & W WRIGHTWOOD AV & W SCHUBERT AV",2009,3928,25913,"N MENARD AV & W WRIGHTWOOD AV","N MONITOR AV & W WRIGHTWOOD AV","N MENARD AV & W SCHUBERT AV","N MONITOR AV & W SCHUBERT AV"
30,"Alley Speed Hump Menu","W ADDISON ST & W CORNELIA AV & N KOSTNER AV & N LOWELL AV",2009,1050,25914,"N KOSTNER AV & W ADDISON ST","N LOWELL AV & W ADDISON ST","N KOSTNER AV & W CORNELIA AV","N LOWELL AV & W CORNELIA AV"
30,"Alley Speed Hump Menu","N MONITOR AV & N MARMORA AV & W ALTGELD ST & W FULLERTON AV",2009,2100,25915,"N MONITOR AV & W ALTGELD ST","N MARMORA AV & W ALTGELD ST","N MONITOR AV & W FULLERTON AV","N MARMORA AV & W FULLERTON AV"
30,"Alley Speed Hump Menu","N PULASKI RD & N HARDING AV & W CORTLAND ST & W ARMITAGE AV",2009,2100,25916,"N PULASKI RD & W CORTLAND ST","N HARDING AV & W CORTLAND ST","N PULASKI RD & W ARMITAGE AV","N HARDING AV & W ARMITAGE AV"
30,"Alley Speed Hump Menu","N HAMLIN AV & N AVERS AV & W WELLINGTON AV & W GEORGE ST",2009,525,25917,"N HAMLIN AV & W WELLINGTON AV","N AVERS AV & W WELLINGTON AV","N HAMLIN AV & W GEORGE ST","N AVERS AV & W GEORGE ST"
30,"Concrete Alley Menu","N PARKSIDE AV & N MAJOR AV & W WRIGHTWOOD AV & W SCHUBERT AV",2009,201000,25923,"N PARKSIDE AV & W WRIGHTWOOD AV","N MAJOR AV & W WRIGHTWOOD AV","N PARKSIDE AV & W SCHUBERT AV","N MAJOR AV & W SCHUBERT AV"
30,"Alley Resurface Menu","W GEORGE ST & W DIVERSEY AV & N RIDGEWAY AV & N HAMLIN AV5 ,785",2010,55785,25947,"N RIDGEWAY AV & W GEORGE ST","N HAMLIN AV5 ,785 & W GEORGE ST","N RIDGEWAY AV & W DIVERSEY AV","N HAMLIN AV5 ,785 & W DIVERSEY AV"
30,"Alley Speed Hump Menu","W NORTH AV & W WABANSIA AV & N KEELER AV & N TRIPP AV",2010,1400,25948,"N KEELER AV & W NORTH AV","N TRIPP AV & W NORTH AV","N KEELER AV & W WABANSIA AV","N TRIPP AV & W WABANSIA AV"
30,"Alley Speed Hump Menu","N KEELER AV & N KEDVALE AV & W NORTH AV & W WABANSIA AV",2010,700,25949,"N KEELER AV & W NORTH AV","N KEDVALE AV & W NORTH AV","N KEELER AV & W WABANSIA AV","N KEDVALE AV & W WABANSIA AV"
30,"Alley Speed Hump Menu","N PULASKI RD & N HARDING AV & W WAVELAND AV & N AVONDALE AV",2010,550,25950,"N PULASKI RD & W WAVELAND AV","N HARDING AV & W WAVELAND AV","N AVONDALE AV & W WAVELAND AV","NA"
30,"Concrete Alley Menu","N SPRINGFIELD AV & N HARDING AV & W ALTGELD ST & W FULLERTON AV",2010,40000,25952,"N SPRINGFIELD AV & W ALTGELD ST","N HARDING AV & W ALTGELD ST","N SPRINGFIELD AV & W FULLERTON AV","N HARDING AV & W FULLERTON AV"
30,"New Alley Construction","W ALTGELD ST & N SPRINGFIELD AVE & W FULLERTON AVE & N HARDING AVE",2010,12200,25961,"N SPRINGFIELD AVE & W ALTGELD ST","N HARDING AVE & W ALTGELD ST","N SPRINGFIELD AVE & W FULLERTON AVE","N HARDING AVE & W FULLERTON AVE"
30,"Alley Resurface Menu","N KARLOV AVE & N KEDVALE AVE & W NORTH AVE & W WABANSIA AVE",2011,43803,26033,"N KARLOV AVE & W NORTH AVE","N KEDVALE AVE & W NORTH AVE","N KARLOV AVE & W WABANSIA AVE","N KEDVALE AVE & W WABANSIA AVE"
30,"Alley Resurface Menu","W MCLEAN AVE & W ARMITAGE AVE & N KILDARE AVE & N KOSTNER AVE",2011,38038,26034,"N KILDARE AVE & W MCLEAN AVE","N KOSTNER AVE & W MCLEAN AVE","N KILDARE AVE & W ARMITAGE AVE","N KOSTNER AVE & W ARMITAGE AVE"
30,"Alley Resurface Menu","N AVERS AVE & N SPRINGFIELD AVE & W ALTGELD ST & W WRIGHTWOOD AVE",2011,53995,26035,"N AVERS AVE & W ALTGELD ST","N SPRINGFIELD AVE & W ALTGELD ST","N AVERS AVE & W WRIGHTWOOD AVE","N SPRINGFIELD AVE & W WRIGHTWOOD AVE"
30,"Alley Resurface Menu","W HENDERSON ST & W ROSCOE ST & N KILDARE AVE & N KEELER AVE",2011,2123,26036,"N KILDARE AVE & W HENDERSON ST","N KEELER AVE & W HENDERSON ST","N KILDARE AVE & W ROSCOE ST","N KEELER AVE & W ROSCOE ST"
30,"Alley Resurface Menu","N KEYSTONE AVE & N PULASKI RD & W DICKENS AVE & W PALMER ST",2011,41932,26037,"N KEYSTONE AVE & W DICKENS AVE","N PULASKI RD & W DICKENS AVE","N KEYSTONE AVE & W PALMER ST","N PULASKI RD & W PALMER ST"
30,"Alley Resurface Menu(1)","N MILWAUKEE AVE & N AVERS AVE & N HAMLIN AVE & W WELLINGTON AVE",2011,9374,26038,"N MILWAUKEE AVE & W WELLINGTON AVE","N AVERS AVE & W WELLINGTON AVE","N HAMLIN AVE & W WELLINGTON AVE","N AVERS AVE & N MILWAUKEE AVE"
30,"Alley Speed Hump Menu","N MASON AVE & N AUSTIN AVE & W BELMONT AVE & W BARRY AVE",2011,2200,26039,"N MASON AVE & W BELMONT AVE","N AUSTIN AVE & W BELMONT AVE","N MASON AVE & W BARRY AVE","N AUSTIN AVE & W BARRY AVE"
30,"Alley Speed Hump Menu","N PARKSIDE AVE & N MAJOR AVE & W SCHUBERT AVE & W WRIGHTWOOD AVE",2011,550,26040,"N PARKSIDE AVE & W SCHUBERT AVE","N MAJOR AVE & W SCHUBERT AVE","N PARKSIDE AVE & W WRIGHTWOOD AVE","N MAJOR AVE & W WRIGHTWOOD AVE"
30,"Alley Resurfacing Menu","N PULASKI RD & N SPRINGFIELD AVE & W ADDISON ST & W EDDY ST",2012,43970,26069,"N PULASKI RD & W ADDISON ST","N SPRINGFIELD AVE & W ADDISON ST","N PULASKI RD & W EDDY ST","N SPRINGFIELD AVE & W EDDY ST"
30,"Alley Resurfacing Menu","N KILDARE AVE & N KEELER AVE & W SCHOOL ST & W HENDERSON ST",2012,17906,26070,"N KILDARE AVE & W SCHOOL ST","N KEELER AVE & W SCHOOL ST","N KILDARE AVE & W HENDERSON ST","N KEELER AVE & W HENDERSON ST"
30,"Alley Resurfacing Menu","N KEELER AVE & N TRIPP AVE & W NORTH AVE & W WABANSIA AVE",2012,48043,26071,"N KEELER AVE & W NORTH AVE","N TRIPP AVE & W NORTH AVE","N KEELER AVE & W WABANSIA AVE","N TRIPP AVE & W WABANSIA AVE"
30,"Alley Resurfacing Menu","N KARLOV AVE & N KEDVALE AVE & W BLOOMINGDALE AVE & W CORTLAND ST",2012,3029,26072,"N KARLOV AVE & W BLOOMINGDALE AVE","N KEDVALE AVE & W BLOOMINGDALE AVE","N KARLOV AVE & W CORTLAND ST","N KEDVALE AVE & W CORTLAND ST"
30,"Alley Resurfacing Menu","N KEELER AVE & N TRIPP AVE & W BLOOMINGDALE AVE & DEAD END",2012,49837,26073,"N KEELER AVE & W BLOOMINGDALE AVE","N TRIPP AVE & W BLOOMINGDALE AVE","NA","NA"
30,"Alley Resurfacing Menu","N KEYSTONE AVE & N PULASKI RD & W ARMITAGE AVE & W DICKENS AVE",2012,45276,26074,"N KEYSTONE AVE & W ARMITAGE AVE","N PULASKI RD & W ARMITAGE AVE","N KEYSTONE AVE & W DICKENS AVE","N PULASKI RD & W DICKENS AVE"
30,"Alley Resurfacing Menu","N HARDING AVE & N PULASKI RD & W CORTLAND ST & W ARMITAGE AVE",2012,27256,26075,"N HARDING AVE & W CORTLAND ST","N PULASKI RD & W CORTLAND ST","N HARDING AVE & W ARMITAGE AVE","N PULASKI RD & W ARMITAGE AVE"
30,"Alley Resurfacing Menu","N CICERO AVE & N KEATING AVE & W ADDISON ST & W CORNELIA AVE",2012,25926,26076,"N CICERO AVE & W ADDISON ST","N KEATING AVE & W ADDISON ST","N CICERO AVE & W CORNELIA AVE","N KEATING AVE & W CORNELIA AVE"
30,"Alley Speed Hump Menu","N LUNA AVE & N LINDER AVE & W BELMONT AVE & W BARRY AVE",2012,700,26077,"N LUNA AVE & W BELMONT AVE","N LINDER AVE & W BELMONT AVE","N LUNA AVE & W BARRY AVE","N LINDER AVE & W BARRY AVE"
30,"Alley Speed Hump Menu","N KENTON AVE & N KOLMAR AVE & W ROSCOE ST & W CORNELIA AVE",2012,1400,26078,"N KENTON AVE & W ROSCOE ST","N KOLMAR AVE & W ROSCOE ST","N KENTON AVE & W CORNELIA AVE","N KOLMAR AVE & W CORNELIA AVE"
30,"Alley Speed Hump Menu","N KEELER AVE & N TRIPP AVE & W PALMER & W DICKENS AVE",2012,700,26079,"N KEELER AVE & W PALMER","N TRIPP AVE & W PALMER","N KEELER AVE & W DICKENS AVE","N TRIPP AVE & W DICKENS AVE"
30,"Alley Resurfacing Menu","W SCHOOL ST & W ROSCOE ST & N SPRINGFIELD AVE & N AVERS AVE",2013,26206,26126,"N SPRINGFIELD AVE & W SCHOOL ST","N AVERS AVE & W SCHOOL ST","N SPRINGFIELD AVE & W ROSCOE ST","N AVERS AVE & W ROSCOE ST"
30,"Alley Speed Hump Menu","N KEELER AVE & W HENDERSON ST & N KILDARE AVE & W ROSCOE ST",2013,700,26127,"N KEELER AVE & W HENDERSON ST","N KILDARE AVE & W HENDERSON ST","N KEELER AVE & W ROSCOE ST","N KILDARE AVE & W ROSCOE ST"
30,"Alley Speed Hump Menu","N HAMLIN AVE & W CORNELIA AVE & N RIDGEWAY AVE & W ROSCOE ST",2013,700,26128,"N HAMLIN AVE & W CORNELIA AVE","N RIDGEWAY AVE & W CORNELIA AVE","N HAMLIN AVE & W ROSCOE ST","N RIDGEWAY AVE & W ROSCOE ST"
30,"Alley Resurfacing Menu","W WAVELAND AVE & N LECLAIRE AVE & W WARWICK AVE & N LAVERGNE AVE",2015,25702,26227,"N LECLAIRE AVE & W WAVELAND AVE","N LAVERGNE AVE & W WAVELAND AVE","N LECLAIRE AVE & W WARWICK AVE","N LAVERGNE AVE & W WARWICK AVE"
30,"Alley Resurfacing Menu","W MELROSE ST & N AUSTIN AVE & W BELMONT AVE & N MEADE AVE",2015,34144,26228,"N AUSTIN AVE & W MELROSE ST","N MEADE AVE & W MELROSE ST","N AUSTIN AVE & W BELMONT AVE","N MEADE AVE & W BELMONT AVE"
30,"Alley Resurfacing Menu","W PATTERSON AVE & N CICERO AVE & W WAVELAND AVE & N LAMON AVE",2015,32146,26229,"N CICERO AVE & W PATTERSON AVE","N LAMON AVE & W PATTERSON AVE","N CICERO AVE & W WAVELAND AVE","N LAMON AVE & W WAVELAND AVE"
30,"Alley Speed Hump Menu","W BARRY AVE & N PULASKI RD & W BARRY AVE & N DAVLIN CT",2015,700,26230,"N PULASKI RD & W BARRY AVE","N DAVLIN CT & W BARRY AVE","NA","NA"
30,"Alley Speed Hump Menu","W CORNELIA AVE & N KEDVALE AVE & W NEWPORT AVE & N KARLOV AVE",2015,700,26231,"N KEDVALE AVE & W CORNELIA AVE","N KARLOV AVE & W CORNELIA AVE","N KEDVALE AVE & W NEWPORT AVE","N KARLOV AVE & W NEWPORT AVE"
30,"Alley Speed Hump Menu","W ADDISON ST & N HAMLIN AVE & W EDDY ST & N LAWNDALE AVE",2015,700,26232,"N HAMLIN AVE & W ADDISON ST","N LAWNDALE AVE & W ADDISON ST","N HAMLIN AVE & W EDDY ST","N LAWNDALE AVE & W EDDY ST"
