"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
14,"Miscellaneous-CDOT","W 58 PL & S StLouis-S Central Park",2006,1480,11766,"W 58th PL & S StLouis","W 58th PL & S Central Park"
14,"Miscellaneous-CDOT","W 57 PL & S StLouis-S Central Park",2006,4939,11767,"W 57th PL & S StLouis","W 57th PL & S Central Park"
14,"Miscellaneous-CDOT","S Trumbull & W 58ST- W 59ST",2006,2827,11768,"S Trumbull & W 58ST","S Trumbull & W 59ST"
14,"Miscellaneous-CDOT","S Trumbull & W 57ST-W 58ST",2006,8360,11769,"S Trumbull & W 57ST","S Trumbull & W 58ST"
14,"Miscellaneous-CDOT","S Trumbull & W 56ST-W 57ST",2006,16451,11770,"S Trumbull & W 56ST","S Trumbull & W 57ST"
14,"Miscellaneous-CDOT","S Trumbull & W 55ST-W 56ST",2006,14370,11771,"S Trumbull & W 55ST","S Trumbull & W 56ST"
14,"Miscellaneous-CDOT","S Homan & W 55ST- W 56ST",2006,16457,11772,"S Homan & W 55ST","S Homan & W 56ST"
14,"Miscellaneous-CDOT","S Homan & W 56ST-W 57ST",2006,1757,11773,"S Homan & W 56ST","S Homan & W 57ST"
14,"Miscellaneous-CDOT","S Homan & W 57ST-W 58ST",2006,3021,11774,"S Homan & W 57ST","S Homan & W 58ST"
14,"Miscellaneous-CDOT","S Homan & W 58ST-W 59ST",2006,166,11775,"S Homan & W 58ST","S Homan & W 59ST"
14,"Miscellaneous-CDOT","S Christiana & W 58ST-W 59ST",2006,5031,11776,"S Christiana & W 58ST","S Christiana & W 59ST"
14,"Miscellaneous-CDOT","S Christiana & W 56ST-W 57ST",2006,6341,11777,"S Christiana & W 56ST","S Christiana & W 57ST"
14,"Miscellaneous-CDOT","S Spaulding & W 56ST-W 57ST",2006,5669,11778,"S Spaulding & W 56ST","S Spaulding & W 57ST"
14,"Miscellaneous-CDOT","S Sawyer & W 58ST-W 59ST",2006,354,11779,"S Sawyer & W 58ST","S Sawyer & W 59ST"
14,"Miscellaneous-CDOT","S Sawyer & W 57ST-W 58ST",2006,13765,11780,"S Sawyer & W 57ST","S Sawyer & W 58ST"
14,"Miscellaneous-CDOT","S Sawyer & W 56ST-W 57ST",2006,5489,11781,"S Sawyer & W 56ST","S Sawyer & W 57ST"
14,"Miscellaneous-CDOT","S Sawyer & W 55ST-W 56ST",2006,7199,11782,"S Sawyer & W 55ST","S Sawyer & W 56ST"
14,"Miscellaneous-CDOT","W 55ST & S Spaulding-S Christiana",2006,4706,11783,"W 55ST & S Spaulding","W 55ST & S Christiana"
14,"Miscellaneous-CDOT","W 47ST & S Springfield-S Pulaski",2006,32045,11784,"W 47ST & S Springfield","W 47ST & S Pulaski"
14,"Miscellaneous-CDOT","W 47ST & S Avers-S Springfield",2006,14235,11785,"W 47ST & S Avers","W 47ST & S Springfield"
14,"Miscellaneous-CDOT","S Komensky & W 49ST-W 50ST",2006,8093,11786,"S Komensky & W 49ST","S Komensky & W 50ST"
14,"Miscellaneous-CDOT","S Karlov & W 49ST-W 50ST",2006,8920,11787,"S Karlov & W 49ST","S Karlov & W 50ST"
14,"Miscellaneous-CDOT","S Karlov & W 50ST-Archer",2006,1358,11788,"S Karlov & W 50ST","S Karlov & Archer"
14,"Miscellaneous-CDOT","S Komensky & W 46ST-W 47ST",2006,7613,11789,"S Komensky & W 46ST","S Komensky & W 47ST"
14,"Miscellaneous-CDOT","S Komensky & W 44ST-W 45ST",2006,3392,11790,"S Komensky & W 44ST","S Komensky & W 45ST"
14,"Miscellaneous-CDOT","S Karlov & W 43ST-W 44ST",2006,9347,11791,"S Karlov & W 43ST","S Karlov & W 44ST"
14,"Miscellaneous-CDOT","S Karlov & W 44ST-45ST",2006,9526,11792,"S Karlov & W 44ST","S Karlov & 45ST"
14,"Miscellaneous-CDOT","S Karlov & W 45ST-W 46ST",2006,16204,11793,"S Karlov & W 45ST","S Karlov & W 46ST"
14,"Miscellaneous-CDOT","S Kedvale & W 46ST-W 47ST",2006,8264,11794,"S Kedvale & W 46ST","S Kedvale & W 47ST"
14,"Miscellaneous-CDOT","S Kedvale & W 45ST- W 46ST",2006,34645,11795,"S Kedvale & W 45ST","S Kedvale & W 46ST"
14,"Miscellaneous-CDOT","S Kedvale & W 44ST-W 45ST",2006,1469,11796,"S Kedvale & W 44ST","S Kedvale & W 45ST"
14,"Miscellaneous-CDOT","S Kedvale & W 43ST-W 44ST",2006,1286,11797,"S Kedvale & W 43ST","S Kedvale & W 44ST"
14,"Miscellaneous-CDOT","S Keeler & W 43ST-W 44ST",2006,6264,11798,"S Keeler & W 43ST","S Keeler & W 44ST"
14,"Miscellaneous-CDOT","S Keeler & W 44ST-W 45ST",2006,13845,11799,"S Keeler & W 44ST","S Keeler & W 45ST"
