ward,type,location,year,est_cost,id,point_location
13,Curb & Gutter Menu,6504 S KEELER AVE,2019,5409.03,10602,6504 S KEELER AVE
13,Curb & Gutter Menu,5824 S NATOMA AVE,2019,7210.72,10603,5824 S NATOMA AVE
13,Curb & Gutter Menu,5706 W 64TH ST,2019,1344.08,10604,5706 W 64TH ST
13,Curb & Gutter Menu,5959 S MAJOR AVE,2019,10947.89,10605,5959 S MAJOR AVE
13,Floodlight Menu,6601 S KNOX AVE,2019,900,10606,6601 S KNOX AVE
13,Floodlight Menu,3602 W 70TH PL,2019,900,10607,3602 W 70TH PL
13,Floodlight Menu,6600 S KEATING AVE,2019,900,10608,6600 S KEATING AVE
13,Floodlight Menu,6020 S KEATING AVE,2019,900,10609,6020 S KEATING AVE
13,Sidewalk Menu,5601 S NAGLE AVE,2019,7317.69,10611,5601 S NAGLE AVE
13,Sidewalk Menu,6152 S MASSASOIT AVE,2019,8278.3,10612,6152 S MASSASOIT AVE
13,Sidewalk Menu,6817 S KILDARE AVE,2019,3627.4,10613,6817 S KILDARE AVE
13,Sidewalk Menu,5801 S MULLIGAN AVE,2019,19432.4,10614,5801 S MULLIGAN AVE
13,Sidewalk Menu,5900 W 64TH PL,2019,15469.03,10615,5900 W 64TH PL
13,Sidewalk Menu,6100 S NARRAGANSETT AVE,2019,3968.62,10616,6100 S NARRAGANSETT AVE
13,Sidewalk Menu,3859 W MARQUETTE RD,2019,1278.65,10617,3859 W MARQUETTE RD
13,Sidewalk Menu,3725 W MARQUETTE RD,2019,5693.96,10618,3725 W MARQUETTE RD
13,Sidewalk Menu,3840 W 68TH PL,2019,4595.26,10619,3840 W 68TH PL
13,Sidewalk Menu,3824 W 67TH PL,2019,3279.55,10620,3824 W 67TH PL
13,Sidewalk Menu,3850 W 68TH PL,2019,4049.87,10621,3850 W 68TH PL
13,Sidewalk Menu,3901 W 68TH ST,2019,2016.92,10622,3901 W 68TH ST
13,Sidewalk Menu,3814 W 67TH PL,2019,2298,10623,3814 W 67TH PL
13,Sidewalk Menu,3906 W 68TH ST,2019,2782.48,10624,3906 W 68TH ST
13,Sidewalk Menu,3909 W 68TH ST,2019,3474.53,10625,3909 W 68TH ST
13,Sidewalk Menu,3937 W 68TH ST,2019,4327.96,10626,3937 W 68TH ST
13,Sidewalk Menu,5725 S NEW ENGLAND AVE,2019,4805.05,10627,5725 S NEW ENGLAND AVE
13,Sidewalk Menu,3934 W 69TH ST,2019,3938.75,10628,3934 W 69TH ST
13,Sidewalk Menu,6853 S KILDARE AVE,2019,2492.99,10629,6853 S KILDARE AVE
13,Sidewalk Menu,6758 S KILDARE AVE,2019,2307.62,10630,6758 S KILDARE AVE
13,Sidewalk Menu,6100 S MEADE AVE,2019,13533.81,10631,6100 S MEADE AVE
13,Sidewalk Menu,6015 S MOBILE AVE,2019,2743.35,10632,6015 S MOBILE AVE
13,Sidewalk Menu,6140 W 64TH ST,2019,1557.2,10633,6140 W 64TH ST
13,Sidewalk Menu,7223 S RIDGEWAY AVE,2019,2938.94,10634,7223 S RIDGEWAY AVE
13,Sidewalk Menu,3610 W 66TH ST,2019,6188.08,10635,3610 W 66TH ST
13,Sidewalk Menu,7240 S AVERS AVE,2019,3812.77,10636,7240 S AVERS AVE
13,Sidewalk Menu,3717 W MARQUETTE RD,2019,8086.86,10637,3717 W MARQUETTE RD
13,Sidewalk Menu,7241 S LAWNDALE AVE,2019,3416.17,10638,7241 S LAWNDALE AVE
13,Sidewalk Menu,6154 S KILDARE AVE,2019,3760.22,10639,6154 S KILDARE AVE
13,Sidewalk Menu,6313 W 59TH ST,2019,605.92,10641,6313 W 59TH ST
13,Sidewalk Menu,7221 S SPRINGFIELD AVE,2019,4543.96,10642,7221 S SPRINGFIELD AVE
13,Sidewalk Menu,7155 S SPRINGFIELD AVE,2019,3852.98,10643,7155 S SPRINGFIELD AVE
13,Sidewalk Menu,6810 S KILDARE AVE,2019,1023.98,10644,6810 S KILDARE AVE
13,Sidewalk Menu,5555 S MELVINA AVE,2019,2437.94,10645,5555 S MELVINA AVE
13,Sidewalk Menu,5949 S MASSASOIT AVE,2019,3975.25,10646,5949 S MASSASOIT AVE
13,Sidewalk Menu,4133 W 58TH PL,2019,812.75,10647,4133 W 58TH PL
13,Sidewalk Menu,5811 W 64TH PL,2019,1511.44,10648,5811 W 64TH PL
13,Sidewalk Menu,7258 S MILLARD AVE,2019,3042.45,10649,7258 S MILLARD AVE
13,Sidewalk Menu,5841 S MOODY AVE,2019,3512.38,10650,5841 S MOODY AVE
13,Sidewalk Menu,3629 W 66TH PL,2019,4059.8,10651,3629 W 66TH PL
13,Sidewalk Menu,3741 W 66TH PL,2019,4474.55,10652,3741 W 66TH PL
13,Sidewalk Menu,3938 W 58TH PL,2019,3149.56,10653,3938 W 58TH PL
13,Sidewalk Menu,6008 S KILPATRICK AVE,2019,4560.2,10654,6008 S KILPATRICK AVE
13,Sidewalk Menu,6622 S PULASKI RD,2019,4418.55,10655,6622 S PULASKI RD
13,Sidewalk Menu,3853 W 69TH ST,2019,2200.51,10656,3853 W 69TH ST
13,Sidewalk Menu,3646 W 70TH ST,2019,682.76,10657,3646 W 70TH ST
13,Sidewalk Menu,5636 S MEADE AVE,2019,1371.83,10658,5636 S MEADE AVE
13,Sidewalk Menu,6100 S NARRAGANSETT AVE,2019,2011.53,10659,6100 S NARRAGANSETT AVE
13,Sidewalk Menu,5752 S NATOMA AVE,2019,3529.91,10660,5752 S NATOMA AVE
13,Sidewalk Menu,6853 S KILDARE AVE,2019,4273.78,10661,6853 S KILDARE AVE
13,Sidewalk Menu,5646 S MERRIMAC AVE,2019,536.52,10662,5646 S MERRIMAC AVE
13,Sidewalk Menu,6034 S KNOX AVE,2019,3809.32,10663,6034 S KNOX AVE
13,Sidewalk Menu,5734 S MELVINA AVE,2019,3523.28,10664,5734 S MELVINA AVE
13,Sidewalk Menu,5600 S MELVINA AVE,2019,6124.54,10665,5600 S MELVINA AVE
13,Sidewalk Menu,6407 S TRIPP AVE,2019,4560.2,10666,6407 S TRIPP AVE
13,Sidewalk Menu,4504 W 66TH PL,2019,8029.35,10667,4504 W 66TH PL
13,Sidewalk Menu,3945 W 66TH ST,2019,5060.44,10668,3945 W 66TH ST
13,Sidewalk Menu,6009 S MERRIMAC AVE,2019,6251.22,10669,6009 S MERRIMAC AVE
13,Sidewalk Menu,6032 S NORMANDY AVE,2019,2655.47,10670,6032 S NORMANDY AVE
13,Sidewalk Menu,4025 W 57TH PL,2019,3529.91,10671,4025 W 57TH PL
13,Sidewalk Menu,4032 W 57TH PL,2019,4709.43,10672,4032 W 57TH PL
13,Sidewalk Menu,5654 S NEENAH AVE,2019,3837.77,10673,5654 S NEENAH AVE
13,Sidewalk Menu,5715 S NORDICA AVE,2019,3562.41,10674,5715 S NORDICA AVE
13,Sidewalk Menu,5931 S MEADE AVE,2019,2411.74,10675,5931 S MEADE AVE
13,Sidewalk Menu,6000 S NORMANDY AVE,2019,3645.73,10676,6000 S NORMANDY AVE
13,Sidewalk Menu,5730 S NEW ENGLAND AVE,2019,934.02,10677,5730 S NEW ENGLAND AVE
13,Sidewalk Menu,3907 W MARQUETTE RD,2019,592.92,10678,3907 W MARQUETTE RD
13,Sidewalk Menu,6350 S KEATING AVE,2019,4345.53,10679,6350 S KEATING AVE
13,Sidewalk Menu,6001 S NORMANDY AVE,2019,4950.17,10680,6001 S NORMANDY AVE
13,Sidewalk Menu,6004 S KOLIN AVE,2019,1891.79,10681,6004 S KOLIN AVE
13,Sidewalk Menu,6239 S KILPATRICK AVE,2019,7191,10682,6239 S KILPATRICK AVE
13,Sidewalk Menu,6400 S KNOX AVE,2019,5174.01,10683,6400 S KNOX AVE
13,Sidewalk Menu,6441 S KNOX AVE,2019,1023.98,10685,6441 S KNOX AVE
13,Sidewalk Menu,6423 S TRIPP AVE,2019,4017.37,10688,6423 S TRIPP AVE
13,Sidewalk Menu,6100 S MEADE AVE,2019,2965,10689,6100 S MEADE AVE
13,Sidewalk Menu,5836 S SAYRE AVE,2019,1944.17,10690,5836 S SAYRE AVE
13,Sidewalk Menu,5745 S SAYRE AVE,2019,5241.91,10691,5745 S SAYRE AVE
13,Street Light Upgrade Menu,6220 S KEATING AVE,2019,500,10692,6220 S KEATING AVE
13,Street Light Upgrade Menu,5912 S NARRAGANSETT AVE,2019,500,10693,5912 S NARRAGANSETT AVE
13,Hurley School New Playground,3849 W 69TH PL,2020,325000,10701,3849 W 69TH PL
13,Alley Apron Menu,6058 W 63RD PL,2020,12964.31,10703,6058 W 63RD PL
13,Alley Apron Menu,5600 S MELVINA AVE,2020,19879.79,10704,5600 S MELVINA AVE
13,Sidewalk Menu,5746 W 65TH ST,2020,10439.8,10706,5746 W 65TH ST
13,Sidewalk Menu,5717 S NORDICA AVE,2020,4522.03,10707,5717 S NORDICA AVE
13,Sidewalk Menu,6034 S KNOX AVE,2020,2068.31,10708,6034 S KNOX AVE
13,Alley Apron Menu,4101 W 57TH PL,2021,25598.92,10717,4101 W 57TH PL
13,Alley Apron Menu,5800 S KILDARE AVE,2021,14997.92,10718,5800 S KILDARE AVE
13,Alley Apron Menu,6000 S MEADE AVE,2021,26735.02,10719,6000 S MEADE AVE
13,Alley Speed Hump Menu,6653 S KNOX AVE,2021,700,10720,6653 S KNOX AVE
13,Alley Speed Hump Menu,6714 S KENNETH AVE,2021,700,10721,6714 S KENNETH AVE
13,Bollard Menu,4114 W 56TH PL,2021,876.74,10722,4114 W 56TH PL
13,Bollard Menu,5542 W 64TH PL,2021,4990.22,10723,5542 W 64TH PL
13,Bollard Menu,5901 W 64TH PL,2021,876.74,10724,5901 W 64TH PL
13,Bollard Menu,6311 W 59TH ST,2021,876.74,10725,6311 W 59TH ST
13,Bollard Menu,6714 S KENNETH AVE,2021,876.74,10726,6714 S KENNETH AVE
13,Bollard Menu,7254 S RIDGEWAY AVE,2021,876.74,10727,7254 S RIDGEWAY AVE
13,Concrete Alley Menu,6037 W 64TH ST,2021,19005.08,10728,6037 W 64TH ST
13,Concrete Alley Menu,6859 S KILDARE AVE,2021,11455.44,10730,6859 S KILDARE AVE
13,Curb & Gutter Menu,5551 S KILBOURN AVE,2021,3440.41,10731,5551 S KILBOURN AVE
13,Curb & Gutter Menu,5844 S SAYRE AVE,2021,8979.45,10732,5844 S SAYRE AVE
13,Curb & Gutter Menu,5858 S SAYRE AVE,2021,2001.39,10733,5858 S SAYRE AVE
13,Curb & Gutter Menu,5914 S MOODY AVE,2021,3259.87,10734,5914 S MOODY AVE
13,Curb & Gutter Menu,5918 S MCVICKER AVE,2021,1283.37,10735,5918 S MCVICKER AVE
13,Curb & Gutter Menu,6156 S MULLIGAN AVE,2021,2302.65,10736,6156 S MULLIGAN AVE
13,Curb & Gutter Menu,6345 S KOMENSKY AVE,2021,3137.38,10738,6345 S KOMENSKY AVE
13,Curb & Gutter Menu,6400 S LA CROSSE AVE,2021,3350.49,10739,6400 S LA CROSSE AVE
13,Curb & Gutter Menu,6525 W 60TH ST,2021,1180.94,10740,6525 W 60TH ST
13,Curb & Gutter Menu,6534 S KEELER AVE,2021,2542.19,10741,6534 S KEELER AVE
13,Curb & Gutter Menu,6543 S KEELER AVE,2021,451.65,10742,6543 S KEELER AVE
13,Curb & Gutter Menu,6626 S KILPATRICK AVE,2021,5294.13,10743,6626 S KILPATRICK AVE
13,Floodlight Menu,6523 S KNOX AVE,2021,950,10744,6523 S KNOX AVE
13,Miscellaneous CDOT Projects,5209 W 63RD PL,2021,660,10747,5209 W 63RD PL
13,Sidewalk Menu,3654 W 71ST ST,2021,17944.61,10748,3654 W 71ST ST
13,Sidewalk Menu,3734 W 69TH PL,2021,2394.22,10749,3734 W 69TH PL
13,Sidewalk Menu,3744 W 68TH PL,2021,7326.62,10750,3744 W 68TH PL
13,Sidewalk Menu,3748 W 70TH PL,2021,3070.95,10751,3748 W 70TH PL
13,Sidewalk Menu,3801 W 68TH PL,2021,4840.48,10752,3801 W 68TH PL
13,Sidewalk Menu,3825 W 66TH ST,2021,2360,10753,3825 W 66TH ST
13,Sidewalk Menu,3830 W 71ST ST,2021,16997.84,10754,3830 W 71ST ST
13,Sidewalk Menu,3943 W 66TH ST,2021,2617.24,10755,3943 W 66TH ST
13,Sidewalk Menu,4024 W 56TH PL,2021,381.14,10756,4024 W 56TH PL
13,Sidewalk Menu,4030 W 57TH ST,2021,2139.34,10757,4030 W 57TH ST
13,Sidewalk Menu,4037 W 56TH ST,2021,1027.78,10758,4037 W 56TH ST
13,Sidewalk Menu,4046 W 57TH ST,2021,5854.69,10759,4046 W 57TH ST
13,Sidewalk Menu,4119 W 59TH ST,2021,2614.88,10760,4119 W 59TH ST
13,Sidewalk Menu,4313 W 59TH ST,2021,2199.52,10761,4313 W 59TH ST
13,Sidewalk Menu,4513 W 65TH ST,2021,1122.18,10762,4513 W 65TH ST
13,Sidewalk Menu,4529 W 64TH PL,2021,3106.94,10763,4529 W 64TH PL
13,Sidewalk Menu,4548 W 65TH PL,2021,7629.41,10764,4548 W 65TH PL
13,Sidewalk Menu,5519 S KOLMAR AVE,2021,1938.74,10765,5519 S KOLMAR AVE
13,Sidewalk Menu,5531 S KOLMAR AVE,2021,2309.26,10766,5531 S KOLMAR AVE
13,Sidewalk Menu,5535 S TRIPP AVE,2021,1441.96,10767,5535 S TRIPP AVE
13,Sidewalk Menu,5536 S MOODY AVE,2021,1800.68,10768,5536 S MOODY AVE
13,Sidewalk Menu,5538 W 65TH ST,2021,1419.54,10769,5538 W 65TH ST
13,Sidewalk Menu,5548 S KEDVALE AVE,2021,2087.42,10770,5548 S KEDVALE AVE
13,Sidewalk Menu,5601 S NEENAH AVE,2021,38637.86,10771,5601 S NEENAH AVE
13,Sidewalk Menu,5612 S MERRIMAC AVE,2021,1918.44,10772,5612 S MERRIMAC AVE
13,Sidewalk Menu,5645 S NEENAH AVE,2021,2243.18,10773,5645 S NEENAH AVE
13,Sidewalk Menu,5717 S NATCHEZ AVE,2021,5037.68,10774,5717 S NATCHEZ AVE
13,Sidewalk Menu,5728 S NAGLE AVE,2021,1920.92,10775,5728 S NAGLE AVE
13,Sidewalk Menu,5734 S NEW ENGLAND AVE,2021,2977.14,10776,5734 S NEW ENGLAND AVE
13,Sidewalk Menu,5743 S KOLMAR AVE,2021,381.14,10777,5743 S KOLMAR AVE
13,Sidewalk Menu,5743 S NATCHEZ AVE,2021,5802.08,10778,5743 S NATCHEZ AVE
13,Sidewalk Menu,5746 S NEWLAND AVE,2021,3249.25,10779,5746 S NEWLAND AVE
13,Sidewalk Menu,5747 S NEENAH AVE,2021,18278.55,10780,5747 S NEENAH AVE
13,Sidewalk Menu,5759 S NAGLE AVE,2021,3799.6,10781,5759 S NAGLE AVE
13,Sidewalk Menu,5759 S NATOMA AVE,2021,2152.32,10782,5759 S NATOMA AVE
13,Sidewalk Menu,5810 S MERRIMAC AVE,2021,3511.21,10783,5810 S MERRIMAC AVE
13,Sidewalk Menu,5816 S MCVICKER AVE,2021,784.7,10784,5816 S MCVICKER AVE
13,Sidewalk Menu,5827 S NEWLAND AVE,2021,5902.5,10785,5827 S NEWLAND AVE
13,Sidewalk Menu,5834 S MELVINA AVE,2021,818.92,10786,5834 S MELVINA AVE
13,Sidewalk Menu,5855 S OAK PARK AVE,2021,3622.6,10787,5855 S OAK PARK AVE
13,Sidewalk Menu,5858 W 63RD PL,2021,25165.21,10788,5858 W 63RD PL
13,Sidewalk Menu,5909 S NARRAGANSETT AVE,2021,1596.78,10789,5909 S NARRAGANSETT AVE
13,Sidewalk Menu,5920 S KILBOURN AVE,2021,1164.66,10790,5920 S KILBOURN AVE
13,Sidewalk Menu,5921 S KOLMAR AVE,2021,381.14,10791,5921 S KOLMAR AVE
13,Sidewalk Menu,5921 S KOSTNER AVE,2021,1970.6,10792,5921 S KOSTNER AVE
13,Sidewalk Menu,5941 S PARKSIDE AVE,2021,3040.86,10793,5941 S PARKSIDE AVE
13,Sidewalk Menu,5943 S KILBOURN AVE,2021,1843.16,10794,5943 S KILBOURN AVE
13,Sidewalk Menu,5958 S KILDARE AVE,2021,4725.78,10795,5958 S KILDARE AVE
13,Sidewalk Menu,6006 S KNOX AVE,2021,2744.68,10796,6006 S KNOX AVE
13,Sidewalk Menu,6011 S RUTHERFORD AVE,2021,1760.56,10797,6011 S RUTHERFORD AVE
13,Sidewalk Menu,6012 S MELVINA AVE,2021,4349.01,10798,6012 S MELVINA AVE
13,Sidewalk Menu,6013 S KEATING AVE,2021,1983.58,10799,6013 S KEATING AVE
13,Sidewalk Menu,6028 S KOSTNER AVE,2021,5617.27,10800,6028 S KOSTNER AVE
13,Sidewalk Menu,6032 S KOSTNER AVE,2021,1154.04,10801,6032 S KOSTNER AVE
13,Sidewalk Menu,6048 S MERRIMAC AVE,2021,1037.22,10802,6048 S MERRIMAC AVE
13,Sidewalk Menu,6050 S KNOX AVE,2021,3326.42,10803,6050 S KNOX AVE
13,Sidewalk Menu,6058 S KILDARE AVE,2021,10296.68,10804,6058 S KILDARE AVE
13,Sidewalk Menu,6143 S KEATING AVE,2021,3676.88,10805,6143 S KEATING AVE
13,Sidewalk Menu,6215 S PARKSIDE AVE,2021,2713.76,10806,6215 S PARKSIDE AVE
13,Sidewalk Menu,6315 S KOMENSKY AVE,2021,2108.66,10807,6315 S KOMENSKY AVE
13,Sidewalk Menu,6321 S LAVERGNE AVE,2021,349.28,10808,6321 S LAVERGNE AVE
13,Sidewalk Menu,6342 S LA CROSSE AVE,2021,1346.38,10809,6342 S LA CROSSE AVE
13,Sidewalk Menu,6405 S KEDVALE AVE,2021,3620.24,10810,6405 S KEDVALE AVE
13,Sidewalk Menu,6421 S KENNETH AVE,2021,3306.36,10811,6421 S KENNETH AVE
13,Sidewalk Menu,6428 S KEELER AVE,2021,3338.22,10812,6428 S KEELER AVE
13,Sidewalk Menu,6437 S KENNETH AVE,2021,2807.22,10813,6437 S KENNETH AVE
13,Sidewalk Menu,6439 S AUSTIN AVE,2021,4080.44,10814,6439 S AUSTIN AVE
13,Sidewalk Menu,6441 S KOLIN AVE,2021,5361.92,10815,6441 S KOLIN AVE
13,Sidewalk Menu,6459 S KENNETH AVE,2021,1040.76,10816,6459 S KENNETH AVE
13,Sidewalk Menu,6500 S KNOX AVE,2021,14077.63,10817,6500 S KNOX AVE
13,Sidewalk Menu,6534 S KOSTNER AVE,2021,456.66,10818,6534 S KOSTNER AVE
13,Sidewalk Menu,6536 W 63RD ST,2021,1509.81,10819,6536 W 63RD ST
13,Sidewalk Menu,6537 S KEELER AVE,2021,1704.86,10820,6537 S KEELER AVE
13,Sidewalk Menu,6629 S KOMENSKY AVE,2021,2630.22,10822,6629 S KOMENSKY AVE
13,Sidewalk Menu,6650 S KEDVALE AVE,2021,559.32,10823,6650 S KEDVALE AVE
13,Sidewalk Menu,6651 S KILBOURN AVE,2021,4686.96,10824,6651 S KILBOURN AVE
13,Sidewalk Menu,6732 S KILBOURN AVE,2021,1006.54,10825,6732 S KILBOURN AVE
13,Sidewalk Menu,6816 S KEDVALE AVE,2021,1467.68,10826,6816 S KEDVALE AVE
13,Sidewalk Menu,6818 S KEDVALE AVE,2021,3375.98,10827,6818 S KEDVALE AVE
13,Sidewalk Menu,7115 S MILLARD AVE,2021,2553.52,10828,7115 S MILLARD AVE
13,Sidewalk Menu,7129 S MILLARD AVE,2021,2389.26,10829,7129 S MILLARD AVE
13,Sidewalk Menu,7226 S MILLARD AVE,2021,2155.86,10830,7226 S MILLARD AVE
13,Speed Indicator Signs,3837 W 71ST ST,2021,11000,10831,3837 W 71ST ST
13,Speed Indicator Signs,4528 W MARQUETTE RD,2021,14000,10832,4528 W MARQUETTE RD
13,Speed Indicator Signs,6200 S MASON AVE,2021,14000,10833,6200 S MASON AVE
13,Speed Indicator Signs,6211 W 59TH ST,2021,11000,10834,6211 W 59TH ST
13,Street Light Upgrade Menu,3625 W 70TH PL,2021,500,10837,3625 W 70TH PL
13,Street Light Upgrade Menu,3625 W MARQUETTE RD,2021,500,10838,3625 W MARQUETTE RD
13,Street Light Upgrade Menu,3755 W 69TH ST,2021,500,10839,3755 W 69TH ST
13,Street Light Upgrade Menu,4155 W 57TH ST,2021,491.07,10840,4155 W 57TH ST
13,Street Light Upgrade Menu,5758 S NEW ENGLAND AVE,2021,500,10841,5758 S NEW ENGLAND AVE
13,Street Light Upgrade Menu,5919 S MULLIGAN AVE,2021,500,10842,5919 S MULLIGAN AVE
13,Street Light Upgrade Menu,6018 S MOODY AVE,2021,500,10843,6018 S MOODY AVE
13,Street Light Upgrade Menu,6241 S MOODY AVE,2021,500,10844,6241 S MOODY AVE
13,Street Light Upgrade Menu,6318 S LOREL AVE,2021,500,10845,6318 S LOREL AVE
13,Street Light Upgrade Menu,6504 W 61ST ST,2021,500,10847,6504 W 61ST ST
13,Street Light Upgrade Menu,6550 S KOMENSKY AVE,2021,500,10848,6550 S KOMENSKY AVE
13,Street Light Upgrade Menu,7134 S AVERS AVE,2021,500,10849,7134 S AVERS AVE
13,Wentworth Park Dog Park Improvements,5625 S MOBILE AVE,2021,100000,10862,5625 S MOBILE AVE
13,West Lawn Park Dog Park Improvements,4233 W 65TH ST,2021,100000,10863,4233 W 65TH ST
13,1 POD Camera relocation - 6340 South Cicero,6340 S CICERO AVE,2022,1800,10864,6340 S CICERO AVE
13,Alley Apron Menu,5658 S MOODY AVE,2022,21973.02,10865,5658 S MOODY AVE
13,Bollard Menu,4007 W 63RD ST,2022,3450.73,10871,4007 W 63RD ST
13,Bollard Menu,5542 W 64TH PL,2022,2624.32,10872,5542 W 64TH PL
13,cm,5915 S NORMANDY AVE,2022,1338.36,10873,5915 S NORMANDY AVE
13,Concrete Alley Menu,5516 S AUSTIN AVE,2022,4755.4,10874,5516 S AUSTIN AVE
13,Floodlight Menu,4119 W 59TH ST,2022,950,10876,4119 W 59TH ST
13,Miscellaneous CDOT Projects,6000 S MELVINA AVE,2022,660,10877,6000 S MELVINA AVE
13,Miscellaneous CDOT Projects,6400 S LINDER AVE,2022,660,10878,6400 S LINDER AVE
13,Sidewalk Menu,3630 W 70TH PL,2022,2689.22,10879,3630 W 70TH PL
13,Sidewalk Menu,3636 W 70TH ST,2022,3672.1,10880,3636 W 70TH ST
13,Sidewalk Menu,3720 W 69TH PL,2022,3595.99,10881,3720 W 69TH PL
13,Sidewalk Menu,3747 W 65TH PL,2022,4949.22,10882,3747 W 65TH PL
13,Sidewalk Menu,3923 W 58TH ST,2022,3033.31,10883,3923 W 58TH ST
13,Sidewalk Menu,5559 S KOLMAR AVE,2022,15054.91,10884,5559 S KOLMAR AVE
13,Sidewalk Menu,5601 S KOLMAR AVE,2022,14345.26,10885,5601 S KOLMAR AVE
13,Sidewalk Menu,5700 S NAGLE AVE,2022,15316.05,10886,5700 S NAGLE AVE
13,Sidewalk Menu,5701 S KENNETH AVE,2022,3552.98,10887,5701 S KENNETH AVE
13,Sidewalk Menu,5713 W 64TH PL,2022,2865.69,10888,5713 W 64TH PL
13,Sidewalk Menu,5837 S SAYRE AVE,2022,7617.67,10889,5837 S SAYRE AVE
13,Sidewalk Menu,5950 S KOLMAR AVE,2022,1482.26,10890,5950 S KOLMAR AVE
13,Sidewalk Menu,6007 S KILDARE AVE,2022,2858.31,10891,6007 S KILDARE AVE
13,Sidewalk Menu,6022 S KOSTNER AVE,2022,2760.91,10892,6022 S KOSTNER AVE
13,Sidewalk Menu,6037 S MENARD AVE,2022,3905.03,10893,6037 S MENARD AVE
13,Sidewalk Menu,6043 S KILPATRICK AVE,2022,3772.46,10894,6043 S KILPATRICK AVE
13,Sidewalk Menu,6105 S KOLIN AVE,2022,5554.91,10895,6105 S KOLIN AVE
13,Sidewalk Menu,6120 S NORMANDY AVE,2022,3682.01,10896,6120 S NORMANDY AVE
13,Sidewalk Menu,6137 S MASSASOIT AVE,2022,4820.18,10897,6137 S MASSASOIT AVE
13,Sidewalk Menu,6140 S MAJOR AVE,2022,4274.26,10898,6140 S MAJOR AVE
13,Sidewalk Menu,6148 S MASSASOIT AVE,2022,5666.07,10899,6148 S MASSASOIT AVE
13,Sidewalk Menu,6151 W 63RD ST,2022,10474.62,10900,6151 W 63RD ST
13,Sidewalk Menu,6200 S NEENAH AVE,2022,1739.44,10901,6200 S NEENAH AVE
13,Sidewalk Menu,6215 S MENARD AVE,2022,3772.46,10902,6215 S MENARD AVE
13,Sidewalk Menu,6216 S MONITOR AVE,2022,5547.59,10903,6216 S MONITOR AVE
13,Sidewalk Menu,6321 S KARLOV AVE,2022,6763.23,10904,6321 S KARLOV AVE
13,Sidewalk Menu,6336 S KEDVALE AVE,2022,4544.65,10905,6336 S KEDVALE AVE
13,Sidewalk Menu,6358 S KILPATRICK AVE,2022,2044.94,10906,6358 S KILPATRICK AVE
13,Sidewalk Menu,6428 S KEATING AVE,2022,1391.81,10907,6428 S KEATING AVE
13,Sidewalk Menu,6453 S KILPATRICK AVE,2022,5698.28,10908,6453 S KILPATRICK AVE
13,Sidewalk Menu,6541 S KENNETH AVE,2022,6692.67,10909,6541 S KENNETH AVE
13,Sidewalk Menu,6545 S SPRINGFIELD AVE,2022,3983.09,10910,6545 S SPRINGFIELD AVE
13,Sidewalk Menu,6625 S KOMENSKY AVE,2022,3772.46,10911,6625 S KOMENSKY AVE
13,Sidewalk Menu,6649 S KOMENSKY AVE,2022,4502.76,10912,6649 S KOMENSKY AVE
13,Sidewalk Menu,7250 S HAMLIN AVE,2022,4977.89,10913,7250 S HAMLIN AVE
13,Speed Indicator Signs,3625 W MARQUETTE RD,2022,14000,10914,3625 W MARQUETTE RD
13,Speed Indicator Signs,5800 S NEENAH AVE,2022,14000,10915,5800 S NEENAH AVE
13,Street Light Upgrade Menu,3700 W 66TH ST,2022,500,10916,3700 W 66TH ST
13,Street Light Upgrade Menu,5536 S AUSTIN AVE,2022,500,10917,5536 S AUSTIN AVE
13,Street Light Upgrade Menu,5719 W 64TH PL,2022,500,10918,5719 W 64TH PL
13,Street Light Upgrade Menu,6244 S MENARD AVE,2022,500,10919,6244 S MENARD AVE
13,Street Light Upgrade Menu,6359 S LAPORTE AVE,2022,500,10920,6359 S LAPORTE AVE
13,Wentworth Park Dog Park Improvements,5625 S MOBILE AVE,2022,75000,10936,5625 S MOBILE AVE
13,Westlawn Park Dog Park Improvements,4233 W 65TH ST,2022,200000,10937,4233 W 65TH ST
14,Miscellaneous-CDOT,4601 S. Komensky,2005,5550,10955,4601 S. Komensky
14,Miscellaneous-CDOT,4546 S. Komensky,2005,1195,10956,4546 S. Komensky
14,Miscellaneous-CDOT,4519 S. Komensky,2005,5340,10957,4519 S. Komensky
14,Miscellaneous-CDOT,4511 S. Karlov,2005,1452,10959,4511 S. Karlov
14,Miscellaneous-CDOT,4611 S. Kedvale,2005,1708,10960,4611 S. Kedvale
14,Miscellaneous-CDOT,4504 S. Kedvale,2005,6034,10962,4504 S. Kedvale
14,Miscellaneous-CDOT,4606 S. Keeler,2005,4321,10963,4606 S. Keeler
14,Miscellaneous-CDOT,4605 S. Keeler,2005,8596,10964,4605 S. Keeler
14,Miscellaneous-CDOT,4338 S. Komensky,2005,1358,10965,4338 S. Komensky
14,Miscellaneous-CDOT,4313 S. Komensky,2005,6142,10966,4313 S. Komensky
14,Miscellaneous-CDOT,4459 S. Kedvale,2005,3877,10967,4459 S. Kedvale
14,Miscellaneous-CDOT,4415 S. Keeler,2005,6734,10968,4415 S. Keeler
14,Miscellaneous-CDOT,4531 S. Keeler,2005,6532,10969,4531 S. Keeler
14,Miscellaneous-CDOT,4431 S. Karlov,2005,5328,10970,4431 S. Karlov
14,Miscellaneous-CDOT,4543 S. Harding,2005,578,10972,4543 S. Harding
