ward,type,location,year,est_cost,id,point_location
39,Tree Planting in Ward,various locations,2018,10000,31844,various locations
40,Sidewalk Menu - Change Order,California (Gunnison Ainlsie),2010,598,32279,California (Gunnison Ainlsie)
41,Miscellaneous-CDOT,Devon at Normandy,2007,600,32849,Devon at Normandy
41,Miscellaneous-CDOT,Hiawatha Ave - multiple locations,2011,1700,33065,Hiawatha Ave - multiple locations
42,Miscellaneous-CDOT,Clinton - Fulton River District,2005,1485,33463,Clinton - Fulton River District
42,Miscellaneous-CDOT,Ohio Street Dog Park Fence,2006,11701,33529,Ohio Street Dog Park Fence
42,Miscellaneous-CDOT,Access Living Public Improvements,2006,75525,33530,Access Living Public Improvements
42,Street Lighting,MADISON-WACKER TO CANAL,2006,1600,33596,MADISON-WACKER TO CANAL
42,Miscellaneous-CDOT,LSD on north side of Cedar Street,2008,400,33687,LSD on north side of Cedar Street
42,Miscellaneous-Other,Michigan Ave. Planter maintenance,2008,77000,33735,Michigan Ave. Planter maintenance
42,In-Road State Law Stop for Pedestrians S,N STATE STDEAD END,2011,410,33824,N STATE STDEAD END
42,Miscellaneous-CDOT,LaSalle Plaza 335,2011,5121,33827,LaSalle Plaza 335
42,Miscellaneous Other,LaSalle Plaza 335,2012,979,33861,LaSalle Plaza 335
42,Miscellaneous Other,LaSalle Plaza 335,2013,6100,33923,LaSalle Plaza 335
43,Miscellaneous-Other,"CTA Fullerton Stop- Healy Stone Project. Menu 2003 ,2004 ,2005 ,",2005,6646,34366,"CTA Fullerton Stop- Healy Stone Project. Menu 2003 ,2004 ,2005 ,"
43,Pole Painting,INNER LAKESHORE-DIVISION(1200 N) to NORTH AVE (1600 N),2006,11200,34396,INNER LAKESHORE-DIVISION(1200 N) to NORTH AVE (1600 N)
43,Miscellaneous-CDOT,Lincoln Park West @ Dickens (Additional Work),2008,30000,34490,Lincoln Park West @ Dickens (Additional Work)
43,Miscellaneous-Other,CTA Fullerton Stop-healy Stone Project. Menu,2009,354,34605,CTA Fullerton Stop-healy Stone Project. Menu
44,Miscellaneous-Other,Center on Halsted,2006,350000,35292,Center on Halsted
44,Chicago Park District,Lakse Shore Dr. Diversey-Briar,2009,9000,35383,Lakse Shore Dr. Diversey-Briar
44,Curb & Gutter Menu,Melrose - Broadway to Lake Shore Dr,2012,3515,35488,Melrose - Broadway to Lake Shore Dr
44,Miscellaneous Other,Tree installation,2012,784,35537,Tree installation
44,Miscellaneous Other,108 signs will be posted in the designated areas of the ward,2013,10497,35568,108 signs will be posted in the designated areas of the ward
45,POD Camera,4956 Bell Plaine Ave,2007,24000,36149,4956 Bell Plaine Ave
46,Miscellaneous-Other,Wilson Yard Development,2005,63962,36797,Wilson Yard Development
46,Miscellaneous-CDOT,10 Decorative Benches,2006,27000,36803,10 Decorative Benches
46,Miscellaneous-Other,Wilson Yard Development,2006,120432,36821,Wilson Yard Development
46,Streetscape,20 Decorative Bench installation,2007,54000,36830,20 Decorative Bench installation
46,Miscellaneous-Other,Wilson Yard Development,2007,6009,36843,Wilson Yard Development
46,Miscellaneous-Other,Wilson Yard Development,2008,500117,36866,Wilson Yard Development
46,Miscellaneous-CDOT,Decorative Bench,2009,2100,36872,Decorative Bench
46,Chicago Park District,Clarendon Dog Friendly Area,2009,75000,36906,Clarendon Dog Friendly Area
46,Miscellaneous-Other,Wilson Yard Development,2009,59480,36907,Wilson Yard Development
46,In-Road State Law Stop for Pedestrians S,W LAWRENCE AVEDEAD END,2011,410,36942,W LAWRENCE AVEDEAD END
46,In-Road State Law Stop for Pedestrians S,W ADDISON STDEAD END,2011,410,36944,W ADDISON STDEAD END
46,In-Road State Law Stop for Pedestrians S,W MONTROSE AVEDEAD END,2011,410,36946,W MONTROSE AVEDEAD END
46,In-Road State Law Stop for Pedestrians S,W WILSON AVEDEAD END,2011,410,36947,W WILSON AVEDEAD END
46,Miscellaneous Other,30 Trees to be planted in the Ward,2012,13353,36992,30 Trees to be planted in the Ward
47,Miscellaneous-Other,Lane Tech,2006,25000,37385,Lane Tech
47,Miscellaneous-CDOT,Lincoln Ave at Cullom Ave,2008,900,37472,Lincoln Ave at Cullom Ave
47,Miscellaneous-CDOT,Damen @ Byron,2008,800,37474,Damen @ Byron
47,Miscellaneous-CDOT,Lawrence @ Campbell,2009,800,37543,Lawrence @ Campbell
47,Curb/Gutter Menu,W PATTERSON AVEDead End (4652 W)Dead End (4521 W),2011,90,37639,W PATTERSON AVEDead End (4652 W)Dead End (4521 W)
47,Miscellaneous Other,Various arterial Streets (in file) - Tree planting,2012,23765,37691,Various arterial Streets (in file) - Tree planting
47,Miscellaneous Other,Installation of four bike stations,2012,265000,37693,Installation of four bike stations
48,Miscellaneous-CDOT,Gravel Pave Alley surface,2006,150000,38376,Gravel Pave Alley surface
48,Schools,Senn Academy,2006,25000,38389,Senn Academy
48,Miscellaneous-CDOT,Foster Ave at Marine Drive,2007,1800,38399,Foster Ave at Marine Drive
48,Miscellaneous-CDOT,Foster at Lake Shore Dr. Sandblasting,2008,11000,38455,Foster at Lake Shore Dr. Sandblasting
48,Miscellaneous-CDOT,Broadway Avenue Study,2009,50000,38498,Broadway Avenue Study
48,Miscellaneous-CDOT,South Edgewater Study,2009,60000,38499,South Edgewater Study
48,Miscellaneous-Other,48 th Ward Retail Study,2009,26000,38523,48 th Ward Retail Study
48,POD Camera,Broadway at Thorndale,2009,13000,38524,Broadway at Thorndale
48,Miscellaneous-CDOT,Thorndale CTA Station (lighting),2010,31500,38530,Thorndale CTA Station (lighting)
48,Miscellaneous-Other,Edgewater Branch Library,2010,1000000,38535,Edgewater Branch Library
48,POD Camera,Sheridan on lightpole North of Thorndale,2010,20000,38538,Sheridan on lightpole North of Thorndale
48,Alley Apron Menu,N BROADWAYW ARDMORE AV (5800 N),2011,12462,38548,N BROADWAYW ARDMORE AV (5800 N)
48,POD Camera,Argy,2011,1800,38574,Argy
48,High Definition Camera,NA,2012,22500,38594,NA
48,Miscellaneous Other,Fence at 4919 N. Winthrop (City property),2013,10325,38609,Fence at 4919 N. Winthrop (City property)
49,Street Lighting,BELL-BIRCHWOOD TO HOWARD,2005,60000,39075,BELL-BIRCHWOOD TO HOWARD
49,Miscellaneous-CDOT,Tree Gates at 7300 N Oakley,2006,18500,39092,Tree Gates at 7300 N Oakley
49,Miscellaneous-Other,Gale Community Center,2006,400000,39113,Gale Community Center
49,Miscellaneous-CDOT,Morse Ave. Design,2007,65000,39134,Morse Ave. Design
49,Miscellaneous-CDOT,N. Clark St. (Benazir Bhutto Way Honorarily Sign),2008,102,39172,N. Clark St. (Benazir Bhutto Way Honorarily Sign)
49,Miscellaneous-CDOT,Honorary Sign Wayne Peters Ave,2008,51,39176,Honorary Sign Wayne Peters Ave
49,Chicago Park District,Capital Upgrades,2010,89790,39265,Capital Upgrades
49,CTA,"Benches, shelters- Red line stops Jarvis,Morse,Loyola (Final cost shown).",2010,59246,39266,"Benches, shelters- Red line stops Jarvis,Morse,Loyola (Final cost shown)."
49,Miscellaneous-Other,Solar Powered Garbage Containers - 8 locations. TPC =,2010,41000,39267,Solar Powered Garbage Containers - 8 locations. TPC =
49,Miscellaneous-Other,Murals in Rogers Park on CTA Viaducts,2010,78900,39268,Murals in Rogers Park on CTA Viaducts
49,Chicago Park District,Capital Upgrades,2011,89790,39305,Capital Upgrades
49,Miscellaneous-Other,Solar Powered Garbage Containers- 8 locations (201,2011,2628,39308,Solar Powered Garbage Containers- 8 locations (201
49,Miscellaneous Other,Lunt at RR (1600 W),2013,3228,39365,Lunt at RR (1600 W)
49,Miscellaneous Other,Estes at RR (1600 W),2013,3228,39366,Estes at RR (1600 W)
49,Miscellaneous Other,Touhy at RR (1600 W),2013,3228,39371,Touhy at RR (1600 W)
49,Miscellaneous Other,Birchwood at RR (1600 W),2013,3228,39372,Birchwood at RR (1600 W)
49,O Alley Apron Menu  R,N & N WOLCOTT AVE FROM & W CHASE AVE (7300 N) TO & N OGERS AVE (7340 N),2019,21289.73,39622,N & N WOLCOTT AVE FROM & W CHASE AVE (7300 N) TO & N OGERS AVE (7340 N)
49,O Sidewalk Menu  W,N & W SHERWIN AVE FROM 1200 W TO & N SHERIDAN RD (1300 ),2019,36487.23,39637,N & W SHERWIN AVE FROM 1200 W TO & N SHERIDAN RD (1300 )
49,O Sidewalk Menu  W,N & W SHERWIN AVE FROM 1200 W TO & N SHERIDAN RD (1300 ),2019,2343.46,39648,N & W SHERWIN AVE FROM 1200 W TO & N SHERIDAN RD (1300 )
49,O Street Resurfacing Menu  A,N & W JARVIS AVE FROM & N BELL AVE (2200 W) TO & N OAKLEY VE (2300 W),2019,34239.48,39657,N & W JARVIS AVE FROM & N BELL AVE (2200 W) TO & N OAKLEY VE (2300 W)
49,O Street Resurfacing Menu  W,N & W PRATT BLVD FROM 1051 W TO & N SHERIDAN RD (1200 ),2019,76768.71,39658,N & W PRATT BLVD FROM 1051 W TO & N SHERIDAN RD (1200 )
50,Miscellaneous-CDOT,6201 Monticello,2005,8568,39770,6201 Monticello
50,Chicago Park District,Parks,2005,700000,39785,Parks
