"ward","type","location","year","est_cost","main_street","from_street","to_street","from_intersection","to_intersection"
1,"Sidewalk Menu","ON N TALMAN AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N)",2014,3446,"N TALMAN AVE","W LE MOYNE ST ","W NORTH AVE ","N TALMAN AVE and W LE MOYNE ST ","N TALMAN AVE and W NORTH AVE "
1,"Sidewalk Menu","ON N WOLCOTT AVE FROM W DIVISION ST (1200 N) TO W CRYSTAL ST (1230 N)",2014,803,"N WOLCOTT AVE","W DIVISION ST ","W CRYSTAL ST ","N WOLCOTT AVE and W DIVISION ST ","N WOLCOTT AVE and W CRYSTAL ST "
1,"Street Bump Outs Menu","ON N ROCKWELL ST FROM W LYNDALE ST (2230 N) TO N MILWAUKEE AVE (2140 N)",2014,16910,"N ROCKWELL ST","W LYNDALE ST ","N MILWAUKEE AVE ","N ROCKWELL ST and W LYNDALE ST ","N ROCKWELL ST and N MILWAUKEE AVE "
1,"Street Resurfacing Menu","ON N PAULINA ST FROM W OHIO ST (600 N) TO W HURON ST (700 N)",2014,101222,"N PAULINA ST","W OHIO ST ","W HURON ST ","N PAULINA ST and W OHIO ST ","N PAULINA ST and W HURON ST "
1,"Street Resurfacing Menu","ON W HADDON AVE FROM N ROCKWELL ST (2600 W) TO N WASHTENAW AVE (2700 W)",2014,76257,"W HADDON AVE","N ROCKWELL ST ","N WASHTENAW AVE ","W HADDON AVE and N ROCKWELL ST ","W HADDON AVE and N WASHTENAW AVE "
1,"Street Resurfacing Menu","ON N OAKLEY AVE FROM W DIVISION ST (1200 N) TO W POTOMAC AVE (1300 N)",2014,69378,"N OAKLEY AVE","W DIVISION ST ","W POTOMAC AVE ","N OAKLEY AVE and W DIVISION ST ","N OAKLEY AVE and W POTOMAC AVE "
1,"Street Resurfacing Menu","ON N BISHOP ST FROM W CHICAGO AVE (800 N) TO W FRY ST (830 N)",2014,11377,"N BISHOP ST","W CHICAGO AVE ","W FRY ST ","N BISHOP ST and W CHICAGO AVE ","N BISHOP ST and W FRY ST "
1,"Street Resurfacing Menu","ON N MAPLEWOOD AVE FROM W WABANSIA AVE (1700 N) TO W BLOOMINGDALE AVE (1800 N)",2014,39671,"N MAPLEWOOD AVE","W WABANSIA AVE ","W BLOOMINGDALE AVE ","N MAPLEWOOD AVE and W WABANSIA AVE ","N MAPLEWOOD AVE and W BLOOMINGDALE AVE "
1,"Street Resurfacing Menu","ON W BELDEN AVE FROM N CAMPBELL AVE (2500 W) TO N MAPLEWOOD AVE (2600 W)",2014,7871,"W BELDEN AVE","N CAMPBELL AVE ","N MAPLEWOOD AVE ","W BELDEN AVE and N CAMPBELL AVE ","W BELDEN AVE and N MAPLEWOOD AVE "
1,"Street Resurfacing Menu","ON W CRYSTAL ST FROM N WOLCOTT AVE (1900 W) TO N DAMEN AVE (2000 W)",2014,36678,"W CRYSTAL ST","N WOLCOTT AVE ","N DAMEN AVE ","W CRYSTAL ST and N WOLCOTT AVE ","W CRYSTAL ST and N DAMEN AVE "
1,"Street Resurfacing Menu","ON W HOMER ST FROM N ALBANY AVE (3100 W) TO N KEDZIE AVE (3200 W)",2014,25875,"W HOMER ST","N ALBANY AVE ","N KEDZIE AVE ","W HOMER ST and N ALBANY AVE ","W HOMER ST and N KEDZIE AVE "
1,"Street Resurfacing Menu","ON W LYNDALE ST FROM N CALIFORNIA AVE (2800 W) TO N SACRAMENTO AVE (3000 W)",2014,92150,"W LYNDALE ST","N CALIFORNIA AVE ","N SACRAMENTO AVE ","W LYNDALE ST and N CALIFORNIA AVE ","W LYNDALE ST and N SACRAMENTO AVE "
1,"Street Resurfacing Menu","ON W HURON ST FROM N LEAVITT ST (2200 W) TO N WESTERN AVE (2400 W)",2014,136304,"W HURON ST","N LEAVITT ST ","N WESTERN AVE ","W HURON ST and N LEAVITT ST ","W HURON ST and N WESTERN AVE "
1,"Street Resurfacing Menu","ON W CRYSTAL ST FROM N HERMITAGE AVE (1730 W) TO N WOOD ST (1800 W)",2014,20829,"W CRYSTAL ST","N HERMITAGE AVE ","N WOOD ST ","W CRYSTAL ST and N HERMITAGE AVE ","W CRYSTAL ST and N WOOD ST "
1,"Street Resurfacing Menu","ON N HERMITAGE AVE FROM W CRYSTAL ST (1230 N) TO W ELLEN ST (1280 N)",2014,39628,"N HERMITAGE AVE","W CRYSTAL ST ","W ELLEN ST ","N HERMITAGE AVE and W CRYSTAL ST ","N HERMITAGE AVE and W ELLEN ST "
