"ward","type","location","year","est_cost","id","start_address","end_address"
26,"Alley Resurfacing Menu","3400-3462 W NORTH AVE",2019,32065.755,41746,"3400 W NORTH AVE","3462 W NORTH AVE"
26,"Alley Speed Hump Menu","3935-3959 W ARMITAGE AVE",2019,700,41747,"3935 W ARMITAGE AVE","3959 W ARMITAGE AVE"
26,"Alley Resurfacing Menu (1-1)","1458-1500 N KARLOV AVE",2020,13319.595,41754,"1458 N KARLOV AVE","1500 N KARLOV AVE"
26,"Alley Resurfacing Menu","3032-3054 W NORTH AVE",2020,16123.2533333333,41756,"3032 W NORTH AVE","3054 W NORTH AVE"
26,"Alley Resurfacing Menu","3932-3956 W DICKENS AVE",2020,5760.985,41761,"3932 W DICKENS AVE","3956 W DICKENS AVE"
26,"Street Resurfacing Menu","3943-3947 W CORTLAND ST",2020,13499.725,41798,"3943 W CORTLAND ST","3947 W CORTLAND ST"
26,"Alley Resurfacing Menu","3524-3556 W NORTH AVE",2021,16751.2333333333,41803,"3524 W NORTH AVE","3556 W NORTH AVE"
26,"Alley Resurfacing Menu","3601-3625 W NORTH AVE",2021,23147.435,41807,"3601 W NORTH AVE","3625 W NORTH AVE"
28,"Alley Speed Hump Menu","800-998 S CLAREMONT AVE",2016,1050,41928,"800 S CLAREMONT AVE","998 S CLAREMONT AVE"
28,"Miscellaneous CDOT Projects","16-17 S PULASKI RD",2019,3361.68176470588,41960,"16 S PULASKI RD","17 S PULASKI RD"
28,"Miscellaneous CDOT Projects","4003-4004 W LAKE ST",2019,3361.68176470588,41961,"4003 W LAKE ST","4004 W LAKE ST"
28,"Miscellaneous CDOT Projects","4041-4042 W LAKE ST",2019,3361.68176470588,41965,"4041 W LAKE ST","4042 W LAKE ST"
28,"Miscellaneous CDOT Projects","3932-3933 W JACKSON BLVD",2019,3361.68176470588,41975,"3932 W JACKSON BLVD","3933 W JACKSON BLVD"
29,"Alley Resurfacing Menu","4800-4900 W VAN BUREN ST",2022,35857.88,42081,"4800 W VAN BUREN ST","4900 W VAN BUREN ST"
29,"Street Light Pole for High Definition Camera Menu","1300-1400 N MAYFIELD AVE",2022,3000,42107,"1300 N MAYFIELD AVE","1400 N MAYFIELD AVE"
30,"Curb & Gutter Menu","2905-2949 N MULLIGAN AVE",2020,6213.085,42199,"2905 N MULLIGAN AVE","2949 N MULLIGAN AVE"
30,"Sidewalk Menu","2504-2506 N MANGO AVE",2022,5770.555,42269,"2504 N MANGO AVE","2506 N MANGO AVE"
31,"Alley Apron Menu","3112-3210 N LAMON AVE",2021,5988.675,42313,"3112 N LAMON AVE","3210 N LAMON AVE"
31,"Alley Apron Menu","2811-2815 N LINDER AVE",2021,6577.91,42315,"2811 N LINDER AVE","2815 N LINDER AVE"
31,"Street Resurfacing Menu","2740-2742 N RIDGEWAY AVE",2021,7252.48375,42342,"2740 N RIDGEWAY AVE","2742 N RIDGEWAY AVE"
31,"Street Light Upgrade Menu","2923-2925 N LONG AVE",2022,500,42387,"2923 N LONG AVE","2925 N LONG AVE"
32,"Alley Resurfacing Menu","1934-1954 W ARMITAGE AVE",2019,8385.86,42418,"1934 W ARMITAGE AVE","1954 W ARMITAGE AVE"
33,"Miscellaneous CDOT Projects","3000-3004 N ALBANY AVE",2018,875,42465,"3000 N ALBANY AVE","3004 N ALBANY AVE"
33,"Sidewalk Menu","3146-3150 W BARRY AVE",2018,30331.08,42467,"3146 W BARRY AVE","3150 W BARRY AVE"
33,"Sidewalk Menu","3147-3151 W BARRY AVE",2018,30331.08,42468,"3147 W BARRY AVE","3151 W BARRY AVE"
35,"Concrete Alley Menu","4253-4255 N ST LOUIS AVE",2019,3841.765,42574,"4253 N ST LOUIS AVE","4255 N ST LOUIS AVE"
39,"Curb & Gutter Menu","6375-6399 N LEHIGH AVE",2021,16204.775,42840,"6375 N LEHIGH AVE","6399 N LEHIGH AVE"
40,"Curb & Gutter Menu","2534-2558 W PETERSON AVE",2021,52000,42912,"2534 W PETERSON AVE","2558 W PETERSON AVE"
40,"Alley Resurfacing Menu","6100-6104 N SEELEY AVE",2022,6576.85,42918,"6100 N SEELEY AVE","6104 N SEELEY AVE"
43,"Miscellaneous CDOT Projects","433-435 W ROSLYN PL",2018,616.190476190476,43022,"433 W ROSLYN PL","435 W ROSLYN PL"
43,"Street Resurfacing Menu","2400-2500 N LAKEVIEW AVE",2020,51227.78,43065,"2400 N LAKEVIEW AVE","2500 N LAKEVIEW AVE"
44,"Alley Resurfacing Menu","3538-3550 N CLARK ST",2021,4608.785,43223,"3538 N CLARK ST","3550 N CLARK ST"
44,"Alley Resurfacing Menu","3154-3184 N CLARKST",2021,7070.74333333333,43225,"3154 N CLARKST","3184 N CLARKST"
44,"Alley Resurfacing Menu","850-918 W FLETCHER ST",2021,7070.74333333333,43226,"850 W FLETCHER ST","918 W FLETCHER ST"
44,"Miscellaneous CDOT Projects","2937-2951 N SHEFFIELD AVE",2021,2212.5,43242,"2937 N SHEFFIELD AVE","2951 N SHEFFIELD AVE"
44,"Sidewalk Menu","2935-2951 N SHEFFIELD AVE",2021,17817.455,43244,"2935 N SHEFFIELD AVE","2951 N SHEFFIELD AVE"
44,"Alley Resurfacing Menu","1115-1143 W PATTERSON AVE",2022,13924.14,43253,"1115 W PATTERSON AVE","1143 W PATTERSON AVE"
44,"Alley Resurfacing Menu","3335-3359 N HALSTED ST",2022,9281.22,43257,"3335 N HALSTED ST","3359 N HALSTED ST"
44,"Alley Resurfacing Menu","938-946 W OAKDALE AVE",2022,3500.905,43260,"938 W OAKDALE AVE","946 W OAKDALE AVE"
44,"Alley Resurfacing Menu","3309-3321 N CLARK ST",2022,2762.315,43263,"3309 N CLARK ST","3321 N CLARK ST"
44,"Alley Resurfacing Menu","3236-3258 N SOUTHPORT AVE",2022,5672.35,43265,"3236 N SOUTHPORT AVE","3258 N SOUTHPORT AVE"
44,"Alley Resurfacing Menu","1244-1254 WADDISON ST",2022,6576.85,43267,"1244 WADDISON ST","1254 WADDISON ST"
44,"Miscellaneous CDOT Projects","2937-2951 N SHEFFIELD AVE",2022,537.5,43269,"2937 N SHEFFIELD AVE","2951 N SHEFFIELD AVE"
47,"Curb & Gutter Menu","2231-2399 W SUNNYSIDE AVE",2018,18057.705,43361,"2231 W SUNNYSIDE AVE","2399 W SUNNYSIDE AVE"
