"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
2,"Pole Painting","S MICHIGAN AVE & E JACKSON DR (300 S) & E HARRISON ST (600 S)",2011,27000,1793,"300 S MICHIGAN AVE","600 S MICHIGAN AVE"
2,"Pole Painting","W 13TH ST & S ASHLAND AV (1600 W) & S PAULINA ST (1700 W)",2011,3000,1794,"1600 W 13TH ST","1700 W 13TH ST"
2,"Pole Painting","W HASTINGS ST & S ASHLAND AV (1600 W) & S PAULINA ST (1700 W)",2011,3000,1795,"1600 W HASTINGS ST","1700 W HASTINGS ST"
2,"Pole Painting","W 15TH ST & S ASHLAND AV (1600 W) & S PAULINA ST (1700 W)",2011,3000,1798,"1600 W 15TH ST","1700 W 15TH ST"
2,"Street Lighting","S WABASH AVE & E 25 ST (2505 S) & E 28 ST (2812 S)",2011,2100,1799,"2505 S WABASH AVE","2812 S WABASH AVE"
2,"Street Lighting","S UNION AVE & S DAN RYAN ENTR RP (1077 S) & S DAN RYAN ENTR RP (1250 S)",2011,3600,1801,"1077 S UNION AVE","1250 S UNION AVE"
2,"Street Lighting","W MONROE ST & E KENNEDY ENTR RP (713 W) & S DESPLAINES ST (640 W)",2011,2550,1802,"640 W MONROE ST","640 W MONROE ST"
2,"Street Lighting","W 13TH ST & S ASHLAND AV (1600 W) & S PAULINA ST (1700 W)",2011,2800,1805,"1600 W 13TH ST","1700 W 13TH ST"
2,"Street Lighting","W 15TH ST & S ASHLAND AV (1600 W) & S PAULINA ST (1700 W)",2011,2800,1810,"1600 W 15TH ST","1700 W 15TH ST"
2,"Street Lighting","W HASTINGS ST & S ASHLAND AV (1600 W) & S PAULINA ST (1700 W)",2011,2400,1812,"1600 W HASTINGS ST","1700 W HASTINGS ST"
2,"Street Lighting","W RANDOLPH ST & N DAMEN AV (2000 W) & N LEAVITT AV (2000 S)",2011,6300,1813,"2000 W RANDOLPH ST","2000 W RANDOLPH ST"
2,"Street Lighting","W MAYPOLE AVE & N DAMEN AV (2000 W) & N LEAVITT AV (2000 S)",2011,6300,1814,"2000 W MAYPOLE AVE","2000 W MAYPOLE AVE"
2,"Street Lighting","S CLINTON ST & W MONROE ST (100 S) & W ADAMS ST (200 S)",2011,2150,1817,"100 S CLINTON ST","200 S CLINTON ST"
2,"Alley Resurfacing Menu - Change Order","S LOOMIS ST & W TAYLOR ST (1000 S) & W FILLMORE ST (1050 S)",2011,7090,1820,"1000 S LOOMIS ST","1050 S LOOMIS ST"
2,"Curb/Gutter Menu","W FLOURNOY ST & S WESTERN AV (2400 W) & S OAKLEY BV (2300 W)",2011,177941,1822,"2400 W FLOURNOY ST","2300 W FLOURNOY ST"
2,"Sidewalk Menu","W MONROE ST & S SANGAMON ST (932 W) & S PEORIA ST (900 W)",2011,67782,1825,"932 W MONROE ST","900 W MONROE ST"
2,"Sidewalk Menu","W WARREN BLVD & N POLLOCK ST (2605 W) & N POLLOCK ST (2605 W)",2011,18486,1826,"2605 W WARREN BLVD","2605 W WARREN BLVD"
2,"Sidewalk Menu","S WABASH AVE & E 23 ST (2300 S) & E 24 ST (2400 S)",2011,43686,1827,"2300 S WABASH AVE","2400 S WABASH AVE"
2,"Sidewalk Menu","S SANGAMON ST & W MADISON ST (0 N) & W MONROE ST (100 S)",2011,102615,1828,"0 S SANGAMON ST","100 S SANGAMON ST"
