"ward","type","location","year","est_cost","id","start_location","end_location"
26,"Street Speed Hump Menu","N ST LOUIS AV-- W WABANSIA AV (1700 N) -to- W BLOOMINGDALE AV (1800 N) 2",2006,3500,20985,"N ST LOUIS AV AND W WABANSIA AV","N ST LOUIS AV AND W BLOOMINGDALE AV"
26,"Street Speed Hump Menu","N ST LOUIS AV-- W BLOOMINGDALE AV (1800 N) -to- W CORTLAND ST (1900 N) 2",2006,3500,20986,"N ST LOUIS AV AND W BLOOMINGDALE AV","N ST LOUIS AV AND W CORTLAND ST"
26,"Street Speed Hump Menu","N WASHTENAW AV-- W HIRSCH ST (1400 N) -to- W LE MOYNE ST (1500 N) 2",2006,5000,20987,"N WASHTENAW AV AND W HIRSCH ST","N WASHTENAW AV AND W LE MOYNE ST"
26,"Street Speed Hump Menu","W BEACH AV-- N SPAULDING AV (3300 W) -to- N HOMAN AV (3400 W) 2",2006,5000,20988,"W BEACH AV AND N SPAULDING AV","W BEACH AV AND N HOMAN AV"
26,"Street Speed Hump Menu","W BLOOMINGDALE AV-- N SAWYER AV (3240 W) -to- N SAWYER AV (3240 W) 1",2006,2500,20989,"W BLOOMINGDALE AV AND N SAWYER AV","W BLOOMINGDALE AV AND N SAWYER AV"
26,"Street Speed Hump Menu","W EVERGREEN AV-- N ROCKWELL ST (2600 W) -to- N WASHTENAW AV (2700 W) 2",2006,5000,20990,"W EVERGREEN AV AND N ROCKWELL ST","W EVERGREEN AV AND N WASHTENAW AV"
26,"Street Speed Hump Menu","W MCLEAN AV-- N CENTRAL PARK AV (3600 W) -to- N LAWNDALE AV (3700 W) 1",2006,2500,20991,"W MCLEAN AV AND N CENTRAL PARK AV","W MCLEAN AV AND N LAWNDALE AV"
26,"Street Speed Hump Menu","W OHIO ST-- N HOYNE AV (2100 W) -to- N LEAVITT ST (2200 W) 2",2006,5000,20992,"W OHIO ST AND N HOYNE AV","W OHIO ST AND N LEAVITT ST"
26,"Street Speed Hump Menu","W OHIO ST-- N LEAVITT ST (2200 W) -to- N OAKLEY BV (2300 W) 2",2006,5000,20993,"W OHIO ST AND N LEAVITT ST","W OHIO ST AND N OAKLEY BV"
26,"Street Speed Hump Menu","W POTOMAC AV-- N MONTICELLO AV (3634 W) -to- N LAWNDALE AV (3700 W) 1",2006,2500,20994,"W POTOMAC AV AND N MONTICELLO AV","W POTOMAC AV AND N LAWNDALE AV"
