"ward","type","location","year","est_cost","id","address"
1,"Sidewalk Menu","2346 W RICE ST",2019,4020.41,881,"2346 W RICE ST"
1,"Sidewalk Menu","2009 W SCHILLER ST",2019,67158,882,"2009 W SCHILLER ST"
1,"Sidewalk Menu","2346 W SUPERIOR ST",2019,949.49,883,"2346 W SUPERIOR ST"
1,"Sidewalk Menu","1832 N WASHTENAW AVE",2019,1387.01,886,"1832 N WASHTENAW AVE"
1,"Sidewalk Menu","1332 N WOLCOTT AVE",2019,1194.74,887,"1332 N WOLCOTT AVE"
1,"Street Light Upgrade Menu","2024 N STAVE ST",2019,500,888,"2024 N STAVE ST"
1,"Sidewalk Menu","1264 N WOOD ST",2019,2097.82,900,"1264 N WOOD ST"
1,"POD Camera Relocation","2536 W CORTLAND ST",2019,1800,901,"2536 W CORTLAND ST"
1,"Sidewalk Menu","1709 N FRANCISCO AVE",2020,5304.04,914,"1709 N FRANCISCO AVE"
1,"Sidewalk Menu","1713 N RICHMOND ST",2020,3198.96,917,"1713 N RICHMOND ST"
1,"Sidewalk Menu","2546 W HOMER ST",2020,28940.47,918,"2546 W HOMER ST"
1,"Curb & Gutter Menu","1219 N WOLCOTT AVE",2021,3527.32,954,"1219 N WOLCOTT AVE"
1,"Curb & Gutter Menu","1400 N OAKLEY BLVD",2021,63608.37,955,"1400 N OAKLEY BLVD"
1,"Curb & Gutter Menu","1656 W HURON ST",2021,26598.01,956,"1656 W HURON ST"
1,"Curb & Gutter Menu","1853 N KEDZIE AVE",2021,43251.43,957,"1853 N KEDZIE AVE"
1,"Curb & Gutter Menu","2350 W CHARLESTON ST",2021,35063.29,958,"2350 W CHARLESTON ST"
1,"Curb & Gutter Menu","2839 W FULLERTON AVE",2021,13921.58,959,"2839 W FULLERTON AVE"
1,"Maplewood Park Field House","1640 N MAPLEWOOD AVE",2021,324440.49,967,"1640 N MAPLEWOOD AVE"
1,"Miscellaneous CDOT Projects","2400 S WESTERN AVE",2021,660,968,"2400 S WESTERN AVE"
1,"Sidewalk Menu","1947 N ROCKWELL ST",2021,97271.71,969,"1947 N ROCKWELL ST"
1,"Sidewalk Menu","2656 W CORTLAND ST",2021,10544.01,970,"2656 W CORTLAND ST"
1,"Sidewalk Menu","529 N HARTLAND CT",2021,4622.65,971,"529 N HARTLAND CT"
1,"Street Resurfacing Menu","1500 W WALTON ST",2021,53111.55,974,"1500 W WALTON ST"
1,"Street Resurfacing Menu","1750 W DIVISION ST",2021,20349.41,975,"1750 W DIVISION ST"
1,"CPS Turf Field - James Otis School","525 N ARMOUR ST",2022,30000,999,"525 N ARMOUR ST"
1,"Curb & Gutter Menu","1651 W SUPERIOR ST",2022,6296.36,1000,"1651 W SUPERIOR ST"
1,"Curb & Gutter Menu","1656 W HURON ST",2022,32339.16,1001,"1656 W HURON ST"
1,"Curb & Gutter Menu","2759 N LEAVITT ST",2022,25646.12,1002,"2759 N LEAVITT ST"
1,"Sidewalk Menu","1111 N PAULINA ST",2022,3172.43,1007,"1111 N PAULINA ST"
1,"Sidewalk Menu","2348 W WALTON ST",2022,19209.99,1012,"2348 W WALTON ST"
1,"Sidewalk Menu","2601 W HADDON AVE",2022,15389.97,1013,"2601 W HADDON AVE"
1,"Sidewalk Menu","2726 W CHANAY ST",2022,4456.86,1014,"2726 W CHANAY ST"
2,"Bollard Menu","50 E 26 ST",2006,714,1057,"50 E 26 ST"
2,"Bollard Menu","625 W JACKSON BV",2006,4285,1058,"625 W JACKSON BV"
2,"Bollard Menu","260 E 35 ST",2007,714,1143,"260 E 35 ST"
2,"Guardrail Menu","2538 W FLOURNOY ST",2007,1700,1145,"2538 W FLOURNOY ST"
2,"Miscellaneous-CDOT","324 S. Desplaines - Firefighter sidewalk medallion",2007,10000,1149,"324 S. Desplaines - Firefighter sidewalk medallion"
2,"Bollard Menu","3449 S GILES AV",2008,714,1325,"3449 S GILES AV"
2,"Bollard Menu","600 W ROOSEVELT RD",2008,714,1326,"600 W ROOSEVELT RD"
2,"Miscellaneous-CDOT","2121 W. Washington",2008,202,1335,"2121 W. Washington"
2,"Miscellaneous-CDOT","557 W Polk",2008,4652,1337,"557 W Polk"
2,"Miscellaneous-CDOT","515 S Denvir",2008,17364,1338,"515 S Denvir"
2,"Miscellaneous-CDOT","2439 W Warren",2008,7963,1339,"2439 W Warren"
2,"Miscellaneous-CDOT","2637 W Warren",2008,48755,1340,"2637 W Warren"
2,"Miscellaneous-CDOT","2225 W Washington",2008,191,1343,"2225 W Washington"
2,"Miscellaneous-CDOT","2900 W. Wilcox Parkway",2008,409,1345,"2900 W. Wilcox Parkway"
2,"Miscellaneous-CDOT","1500 W. Adams Parkway",2008,2129,1346,"1500 W. Adams Parkway"
2,"Miscellaneous-CDOT","3001 W. Walnut Parkway",2008,248,1347,"3001 W. Walnut Parkway"
2,"Pole Painting","620 S FRANCISCO AV",2008,200,1377,"620 S FRANCISCO AV"
2,"Street Lighting","620 S FRANCISCO AV",2008,1200,1458,"620 S FRANCISCO AV"
2,"Street Lighting","2923 W WILCOX ST",2008,350,1459,"2923 W WILCOX ST"
2,"Street Lighting","2929 S WABASH AV",2008,500,1460,"2929 S WABASH AV"
2,"Street Lighting","2941 W WILCOX ST",2008,350,1461,"2941 W WILCOX ST"
2,"Street Lighting","2941 S WABASH AV",2008,500,1462,"2941 S WABASH AV"
2,"Street Lighting","2957 W WILCOX ST",2008,350,1463,"2957 W WILCOX ST"
2,"Bollard Menu","501 E CONGRESS PW",2009,714,1564,"501 E CONGRESS PW"
2,"Bollard Menu","500 W CONGRESS PW",2009,714,1565,"500 W CONGRESS PW"
2,"Bollard Menu","600 W TAYLOR ST",2009,1293,1566,"600 W TAYLOR ST"
2,"Miscellaneous-CDOT","1542 W Jackson",2009,41121,1572,"1542 W Jackson"
2,"Miscellaneous-CDOT","2301 S Michigan",2009,42878,1573,"2301 S Michigan"
2,"Miscellaneous-CDOT","1633 W Madison",2009,1835,1575,"1633 W Madison"
2,"Pole Painting","1400 S ASHLAND AV",2009,300,1583,"1400 S ASHLAND AV"
2,"Street Lighting","47 W POLK ST",2009,1000,1630,"47 W POLK ST"
2,"Street Lighting","741 S SANGAMON ST",2009,1000,1631,"741 S SANGAMON ST"
2,"Street Lighting","1124 S ASHLAND AV",2009,1000,1632,"1124 S ASHLAND AV"
2,"Street Lighting","1252 S WOLCOTT AV",2009,1000,1633,"1252 S WOLCOTT AV"
2,"Street Lighting","1400 S ASHLAND AV",2009,400,1634,"1400 S ASHLAND AV"
2,"Street Lighting","2401 S WABASH AV",2009,1000,1635,"2401 S WABASH AV"
2,"Street Lighting","2600 W WASHINGTON",2009,4000,1636,"2600 W WASHINGTON"
2,"Street Lighting","3043 W WASHINGTON",2009,1000,1637,"3043 W WASHINGTON"
2,"Street Lighting","7001 S CALUMET AV",2009,500,1638,"7001 S CALUMET AV"
2,"Bollard Menu","2040 W ADAMS ST",2010,2690,1742,"2040 W ADAMS ST"
2,"Guardrail Menu","2000 W MAYPOLE AV",2010,3185,1744,"2000 W MAYPOLE AV"
2,"Street Lighting","1319 S ASHLAND AV",2010,250,1810,"1319 S ASHLAND AV"
2,"Street Lighting","214 S OAKLEY AVE",2011,350,1886,"214 S OAKLEY AVE"
2,"Street Lighting","2000 S CALUMET AVE",2011,350,1890,"2000 S CALUMET AVE"
2,"Street Lighting","2832 W WARNER AVE",2011,350,1892,"2832 W WARNER AVE"
2,"Street Lighting","2323 W WARREN DR",2011,350,1893,"2323 W WARREN DR"
2,"Street Lighting","3500 S PRAIRIE AVE",2011,700,1894,"3500 S PRAIRIE AVE"
2,"Street Lighting","1628 W ADAMS BLVD",2011,350,1895,"1628 W ADAMS BLVD"
2,"Street Lighting","2671 W CATALPA AVE",2011,350,1897,"2671 W CATALPA AVE"
2,"Street Lighting","2351 W ADAMS ST",2011,350,1901,"2351 W ADAMS ST"
2,"Street Lighting","1543 W JACKSON BLVD",2011,350,1902,"1543 W JACKSON BLVD"
2,"Sidewalk Menu","800 S STATE ST",2012,3394,1947,"800 S STATE ST"
2,"Street Light Upgrade","317 S CAMPBELL AVE",2012,350,1989,"317 S CAMPBELL AVE"
2,"Street Light Upgrade","201 S ASHLAND AVE",2012,350,1990,"201 S ASHLAND AVE"
2,"Street Light Upgrade","157 S ASHLAND AVE",2012,350,1995,"157 S ASHLAND AVE"
2,"Street Light Upgrade","3550 S GILES AVE",2012,350,2000,"3550 S GILES AVE"
2,"Street Light Upgrade","1319 S STATE ST",2012,21000,2012,"1319 S STATE ST"
2,"Street Light Upgrade","547 S CLARK ST",2012,350,2013,"547 S CLARK ST"
2,"Miscellaneous Other","1319 S STATE ST",2013,34200,2042,"1319 S STATE ST"
2,"Miscellaneous Other","2830 W MADISON ST",2013,1185,2044,"2830 W MADISON ST"
2,"Miscellaneous Other","2624 W WILCOX ST",2013,18841,2123,"2624 W WILCOX ST"
2,"Alley Resurfacing Menu","955 W MONROE ST",2014,4147,2124,"955 W MONROE ST"
2,"Miscellaneous Other","2620 W WARREN BLVD",2014,16343,2132,"2620 W WARREN BLVD"
2,"Miscellaneous Other","2620 W MADISON ST",2014,19183,2134,"2620 W MADISON ST"
2,"Miscellaneous Other","2620 W MAYPOLE AVE",2014,16343,2135,"2620 W MAYPOLE AVE"
2,"Miscellaneous Other","2620 W WASHINGTON BLVD",2014,16343,2136,"2620 W WASHINGTON BLVD"
2,"In-Road State Law Stop","179 E CHESTNUT ST 1655 N SEDGWICK ST",2015,350,2198,"179 E CHESTNUT ST 1655 N SEDGWICK ST"
2,"Sidewalk Menu","1502 N HOYNE AVE",2015,5952,2200,"1502 N HOYNE AVE"
2,"Street Resurfacing Menu","1319 W WEBSTER AVE",2015,20879,2205,"1319 W WEBSTER AVE"
2,"Alley Apron Menu","1622 N NORTH PARK AVE",2016,8701.34,2227,"1622 N NORTH PARK AVE"
